"Country","Year","Influenza_activity","Dengue_activity","infant_mortality","life_expectancy","fertility","population","gdp","continent","region"
Argentina,2002,,,17.1,74.3,2.38,37889443,242076212334,Americas,South America
Argentina,2003,,,16.6,74.5,2.34,38309475,263468585945,Americas,South America
Argentina,2004,8843,1.533,16.0,75.0,2.31,38728778,287258675094,Americas,South America
Argentina,2005,8627,1.035,15.3,75.3,2.29,39145491,313626005874,Americas,South America
Argentina,2006,8966,1.0070000000000001,14.6,75.3,2.27,39558750,340177780212,Americas,South America
Argentina,2007,10267,5.569,14.1,75.2,2.25,39969903,369614509411,Americas,South America
Argentina,2008,9299,1.462,13.7,75.4,2.24,40381860,394594682115,Americas,South America
Argentina,2009,7952,16.739,13.4,75.6,2.23,40798641,397949689763,Americas,South America
Argentina,2010,6946,6.6209999999999996,13.0,75.8,2.22,41222875,434405530244,Americas,South America
Argentina,2011,5541,3.186,12.7,76.0,2.2,41655616,472935255184,Americas,South America
Argentina,2012,6155,2.082,12.3,76.1,2.19,42095224,,Americas,South America
Argentina,2013,6529,4.263,11.9,76.2,2.18,42538304,,Americas,South America
Argentina,2014,7073,2.767,11.5,76.3,2.16,42980026,,Americas,South America
Argentina,2015,4841,2.118,11.1,76.5,2.15,43416755,,Americas,South America
Australia,2002,,,5.0,80.3,1.76,19514385,442135393399,Oceania,Australia and New Zealand
Australia,2003,,,4.9,80.6,1.75,19735255,456603230864,Oceania,Australia and New Zealand
Australia,2004,,,4.9,80.9,1.76,19985475,475578723953,Oceania,Australia and New Zealand
Australia,2005,,,4.8,81.2,1.79,20274282,489651768692,Oceania,Australia and New Zealand
Australia,2006,18263,,4.7,81.4,1.82,20606228,504739869397,Oceania,Australia and New Zealand
Australia,2007,29574,,4.5,81.5,1.92,20975949,522729696645,Oceania,Australia and New Zealand
Australia,2008,25091,,4.4,81.6,1.96,21370348,542761040949,Oceania,Australia and New Zealand
Australia,2009,22796,,4.2,81.8,1.9,21770690,550622241459,Oceania,Australia and New Zealand
Australia,2010,12571,,4.1,82.0,1.89,22162863,563049439185,Oceania,Australia and New Zealand
Australia,2011,13138,,3.8,82.2,1.88,22542371,573453982173,Oceania,Australia and New Zealand
Australia,2012,27452,,3.6,82.4,1.89,22911375,,Oceania,Australia and New Zealand
