nonsense, comment,Comment,,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\Head_ADBF.csv,Header,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\AudioAdapt.exe
Stim/,StimDir,Stim/,DataDir
1,ITI,0.5,ISI,0.3,AISI,3,MaximumWait
8,Number Of Trials,14,NumberOfPasses,1,NumberOfBlocks
D,Right Button Label

Played at Trial, WaveFile, SVIA,RT,SPAC,RT,,RT,

2,bda2,1,0.522,1,0.535, 0 , 0 ,
 1,bda3,1,0.613,1,0.500, 0 , 0 ,
 5,bda4,1,0.690,1,1.225, 0 , 0 ,
 4,bda5,4,0.589,1,0.899, 0 , 0 ,
 7,bda6,4,0.639,4,1.133, 0 , 0 ,
 3,bda7,4,0.529,4,1.933, 0 , 0 ,
 0,bda8,4,0.607,4,1.232, 0 , 0 ,
 6,bda9,4,0.492,4,0.522, 0 , 0 ,
 2,bda2,1,0.500,1,0.668, 0 , 0 ,
 5,bda3,1,0.637,1,0.687, 0 , 0 ,
 3,bda4,1,0.566,1,0.912, 0 , 0 ,
 7,bda5,4,0.558,1,3.121, 0 , 0 ,
 1,bda6,4,0.528,1,0.648, 0 , 0 ,
 4,bda7,4,0.475,4,0.620, 0 , 0 ,
 6,bda8,4,0.435,4,0.533, 0 , 0 ,
 0,bda9,4,0.504,4,0.931, 0 , 0 ,
 4,bda2,1,0.432,1,0.574, 0 , 0 ,
 3,bda3,1,0.457,1,0.715, 0 , 0 ,
 2,bda4,1,0.544,1,0.645, 0 , 0 ,
 5,bda5,4,0.635,4,1.310, 0 , 0 ,
 1,bda6,4,0.794,4,1.743, 0 , 0 ,
 7,bda7,4,0.589,4,0.535, 0 , 0 ,
 0,bda8,4,0.476,4,0.646, 0 , 0 ,
 6,bda9,4,0.436,4,0.559, 0 , 0 ,
 1,bda2,1,0.488,1,0.526, 0 , 0 ,
 6,bda3,1,0.523,1,0.737, 0 , 0 ,
 3,bda4,1,0.414,1,0.527, 0 , 0 ,
 5,bda5,4,0.491,1,0.901, 0 , 0 ,
 2,bda6,4,0.490,1,0.600, 0 , 0 ,
 0,bda7,4,0.504,1,0.578, 0 , 0 ,
 7,bda8,4,0.517,4,0.500, 0 , 0 ,
 4,bda9,4,0.556,4,0.434, 0 , 0 ,
 6,bda2,1,0.532,1,0.710, 0 , 0 ,
 7,bda3,1,0.662,1,0.545, 0 , 0 ,
 4,bda4,1,0.406,1,0.625, 0 , 0 ,
 2,bda5,4,0.484,1,1.219, 0 , 0 ,
 5,bda6,4,0.361,1,1.001, 0 , 0 ,
 0,bda7,4,0.478,4,0.823, 0 , 0 ,
 1,bda8,4,0.791,4,1.090, 0 , 0 ,
 3,bda9,4,0.398,4,0.742, 0 , 0 ,
 3,bda2,1,0.473,1,0.462, 0 , 0 ,
 1,bda3,1,0.500,1,0.660, 0 , 0 ,
 5,bda4,1,0.598,1,0.561, 0 , 0 ,
 7,bda5,4,0.879,1,0.833, 0 , 0 ,
 2,bda6,4,0.391,4,0.917, 0 , 0 ,
 6,bda7,4,0.446,4,0.485, 0 , 0 ,
 0,bda8,4,0.416,4,0.504, 0 , 0 ,
 4,bda9,4,0.465,4,0.617, 0 , 0 ,
 1,bda2,1,0.388,1,0.549, 0 , 0 ,
 0,bda3,1,0.550,1,1.070, 0 , 0 ,
 6,bda4,1,0.446,1,0.576, 0 , 0 ,
 4,bda5,1,1.317,1,0.977, 0 , 0 ,
 2,bda6,4,0.363,4,1.840, 0 , 0 ,
 7,bda7,4,0.459,4,0.858, 0 , 0 ,
 3,bda8,4,0.357,4,0.447, 0 , 0 ,
 5,bda9,4,0.366,4,0.506, 0 , 0 ,
 6,bda2,1,0.445,1,0.590, 0 , 0 ,
 1,bda3,1,0.543,1,0.614, 0 , 0 ,
 3,bda4,1,0.465,1,0.745, 0 , 0 ,
 4,bda5,4,0.797,1,0.594, 0 , 0 ,
 2,bda6,4,0.446,4,0.740, 0 , 0 ,
 5,bda7,4,0.523,4,0.654, 0 , 0 ,
 0,bda8,4,0.584,4,1.147, 0 , 0 ,
 7,bda9,4,0.510,4,0.678, 0 , 0 ,
 1,bda2,1,0.570,1,0.623, 0 , 0 ,
 5,bda3,1,0.500,1,0.948, 0 , 0 ,
 7,bda4,1,0.675,1,0.555, 0 , 0 ,
 4,bda5,4,0.773,1,1.635, 0 , 0 ,
 6,bda6,4,0.501,1,0.970, 0 , 0 ,
 2,bda7,4,0.594,4,0.535, 0 , 0 ,
 0,bda8,4,0.459,4,0.715, 0 , 0 ,
 3,bda9,4,0.567,4,0.513, 0 , 0 ,
 5,bda2,1,0.588,1,0.524, 0 , 0 ,
 4,bda3,1,0.544,1,0.442, 0 , 0 ,
 6,bda4,1,0.480,1,0.473, 0 , 0 ,
 3,bda5,4,0.978,1,0.670, 0 , 0 ,
 0,bda6,4,0.488,4,1.258, 0 , 0 ,
 1,bda7,4,0.888,4,1.076, 0 , 0 ,
 7,bda8,4,0.436,4,0.600, 0 , 0 ,
 2,bda9,4,0.518,4,0.509, 0 , 0 ,
 5,bda2,1,0.490,1,0.532, 0 , 0 ,
 2,bda3,1,0.475,1,0.581, 0 , 0 ,
 3,bda4,1,0.722,1,0.578, 0 , 0 ,
 4,bda5,1,0.464,1,0.640, 0 , 0 ,
 1,bda6,4,0.799,1,0.492, 0 , 0 ,
 7,bda7,4,0.587,1,1.490, 0 , 0 ,
 6,bda8,4,0.465,4,0.470, 0 , 0 ,
 0,bda9,4,0.437,4,0.519, 0 , 0 ,
 2,bda2,1,0.398,1,0.469, 0 , 0 ,
 7,bda3,1,0.403,1,0.549, 0 , 0 ,
 5,bda4,1,0.592,1,0.704, 0 , 0 ,
 3,bda5,4,0.662,1,0.563, 0 , 0 ,
 0,bda6,4,0.628,1,0.670, 0 , 0 ,
 6,bda7,4,0.431,4,1.132, 0 , 0 ,
 4,bda8,4,0.461,4,0.685, 0 , 0 ,
 1,bda9,4,0.466,4,0.515, 0 , 0 ,
 3,bda2,1,0.497,1,0.628, 0 , 0 ,
 0,bda3,1,0.454,1,0.523, 0 , 0 ,
 1,bda4,1,0.454,1,0.525, 0 , 0 ,
 5,bda5,4,1.353,1,1.047, 0 , 0 ,
 2,bda6,4,0.332,1,0.593, 0 , 0 ,
 6,bda7,4,0.320,4,0.556, 0 , 0 ,
 7,bda8,4,0.283,4,0.501, 0 , 0 ,
 4,bda9,4,0.348,4,0.515, 0 , 0 ,
 3,bda2,1,0.470,1,0.433, 0 , 0 ,
 0,bda3,1,0.363,1,0.434, 0 , 0 ,
 7,bda4,1,0.545,1,0.448, 0 , 0 ,
 2,bda5,1,0.436,1,0.937, 0 , 0 ,
 6,bda6,4,0.489,4,1.451, 0 , 0 ,
 4,bda7,4,0.580,4,0.719, 0 , 0 ,
 5,bda8,4,0.368,4,0.467, 0 , 0 ,
 1,bda9,4,0.392,4,0.608, 0 , 0 ,
 
