nonsense, comment,Comment,,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\Head_ADBF.csv,Header,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\AudioAdapt.exe
Stim/,StimDir,Stim/,DataDir
1,ITI,0.5,ISI,0.3,AISI,3,MaximumWait
8,Number Of Trials,14,NumberOfPasses,1,NumberOfBlocks
D,Right Button Label

Played at Trial, WaveFile, ,RT,GBIS,RT,CPAR,RT,

3,bda2, 0 , 0 ,1,0.465,1,0.451,
 5,bda3, 0 , 0 ,1,0.363,1,0.459,
 6,bda4, 0 , 0 ,1,0.432,1,0.732,
 1,bda5, 0 , 0 ,1,0.482,1,1.829,
 4,bda6, 0 , 0 ,1,0.901,4,0.978,
 2,bda7, 0 , 0 ,4,0.763,4,0.739,
 0,bda8, 0 , 0 ,4,0.749,1,0.816,
 7,bda9, 0 , 0 ,4,0.432,4,0.915,
 0,bda2, 0 , 0 ,1,0.603,1,1.081,
 5,bda3, 0 , 0 ,1,0.505,1,0.401,
 1,bda4, 0 , 0 ,1,0.397,1,0.380,
 3,bda5, 0 , 0 ,1,0.506,1,0.398,
 6,bda6, 0 , 0 ,4,0.681,1,0.566,
 4,bda7, 0 , 0 ,4,0.447,1,0.517,
 2,bda8, 0 , 0 ,4,0.842,4,0.387,
 7,bda9, 0 , 0 ,4,0.551,4,0.348,
 3,bda2, 0 , 0 ,1,0.394,1,0.357,
 1,bda3, 0 , 0 ,1,0.420,1,0.480,
 4,bda4, 0 , 0 ,1,0.430,1,0.444,
 2,bda5, 0 , 0 ,1,0.445,1,0.565,
 5,bda6, 0 , 0 ,1,0.412,1,0.531,
 7,bda7, 0 , 0 ,1,0.454,4,0.573,
 0,bda8, 0 , 0 ,1,0.470,4,0.307,
 6,bda9, 0 , 0 ,4,0.503,4,0.315,
 6,bda2, 0 , 0 ,1,0.379,1,0.396,
 0,bda3, 0 , 0 ,1,0.373,1,0.436,
 5,bda4, 0 , 0 ,1,0.378,1,0.459,
 7,bda5, 0 , 0 ,1,0.479,1,0.445,
 4,bda6, 0 , 0 ,4,0.637,1,0.332,
 2,bda7, 0 , 0 ,1,0.662,4,0.900,
 1,bda8, 0 , 0 ,4,0.641,4,0.514,
 3,bda9, 0 , 0 ,4,0.633,4,0.448,
 2,bda2, 0 , 0 ,1,0.530,1,0.716,
 7,bda3, 0 , 0 ,1,0.347,1,0.595,
 5,bda4, 0 , 0 ,1,0.560,1,0.630,
 0,bda5, 0 , 0 ,4,0.272,1,0.614,
 6,bda6, 0 , 0 ,4,0.549,1,0.883,
 4,bda7, 0 , 0 ,1,0.680,1,1.023,
 1,bda8, 0 , 0 ,4,0.564,4,0.485,
 3,bda9, 0 , 0 ,1,0.680,4,0.618,
 5,bda2, 0 , 0 ,1,0.510,1,0.497,
 3,bda3, 0 , 0 ,1,0.402,1,0.625,
 0,bda4, 0 , 0 ,1,0.454,1,1.393,
 4,bda5, 0 , 0 ,1,0.644,4,1.010,
 6,bda6, 0 , 0 ,1,0.820,4,0.842,
 2,bda7, 0 , 0 ,4,0.751,4,1.015,
 1,bda8, 0 , 0 ,4,0.848,4,0.600,
 7,bda9, 0 , 0 ,4,0.721,4,0.685,
 0,bda2, 0 , 0 ,1,0.402,1,0.786,
 4,bda3, 0 , 0 ,1,0.496,1,0.531,
 2,bda4, 0 , 0 ,1,0.406,1,0.444,
 6,bda5, 0 , 0 ,4,0.395,1,0.531,
 7,bda6, 0 , 0 ,1,0.356,1,0.528,
 3,bda7, 0 , 0 ,4,0.404,4,0.426,
 5,bda8, 0 , 0 ,1,0.463,4,0.580,
 1,bda9, 0 , 0 ,4,0.433,1,0.507,
 5,bda2, 0 , 0 ,1,0.550,1,0.609,
 1,bda3, 0 , 0 ,1,0.671,1,0.749,
 3,bda4, 0 , 0 ,1,0.701,1,1.093,
 6,bda5, 0 , 0 ,1,0.595,1,0.802,
 4,bda6, 0 , 0 ,1,0.418,1,1.133,
 2,bda7, 0 , 0 ,4,0.743,4,0.902,
 0,bda8, 0 , 0 ,4,0.367,1,1.206,
 7,bda9, 0 , 0 ,4,0.425,4,0.843,
 5,bda2, 0 , 0 ,1,0.565,1,0.552,
 1,bda3, 0 , 0 ,1,0.558,1,0.905,
 3,bda4, 0 , 0 ,4,0.587,1,0.674,
 0,bda5, 0 , 0 ,1,0.523,1,1.279,
 6,bda6, 0 , 0 ,1,0.446,1,0.717,
 2,bda7, 0 , 0 ,1,1.118,4,1.870,
 7,bda8, 0 , 0 ,4,0.330,4,0.496,
 4,bda9, 0 , 0 ,4,0.531,4,0.638,
 1,bda2, 0 , 0 ,1,0.263,1,0.558,
 5,bda3, 0 , 0 ,1,0.532,1,1.071,
 2,bda4, 0 , 0 ,1,0.305,1,1.204,
 4,bda5, 0 , 0 ,4,0.769,1,0.845,
 0,bda6, 0 , 0 ,4,0.538,4,1.299,
 6,bda7, 0 , 0 ,4,0.664,4,1.042,
 3,bda8, 0 , 0 ,1,0.633,4,0.848,
 7,bda9, 0 , 0 ,4,0.648,4,0.412,
 7,bda2, 0 , 0 ,1,0.453,1,0.827,
 4,bda3, 0 , 0 ,1,0.421,1,0.622,
 0,bda4, 0 , 0 ,1,0.466,1,0.582,
 2,bda5, 0 , 0 ,1,0.236,1,0.625,
 5,bda6, 0 , 0 ,4,0.723,1,1.062,
 6,bda7, 0 , 0 ,4,0.570,4,0.586,
 1,bda8, 0 , 0 ,4,0.442,4,0.600,
 3,bda9, 0 , 0 ,4,0.752,4,0.556,
 3,bda2, 0 , 0 ,1,0.478,1,0.506,
 2,bda3, 0 , 0 ,1,0.471,1,0.574,
 1,bda4, 0 , 0 ,1,0.482,1,0.582,
 0,bda5, 0 , 0 ,1,0.758,1,1.062,
 4,bda6, 0 , 0 ,1,0.503,4,0.632,
 5,bda7, 0 , 0 ,4,0.488,1,0.835,
 7,bda8, 0 , 0 ,4,0.357,4,0.536,
 6,bda9, 0 , 0 ,4,0.441,4,0.422,
 4,bda2, 0 , 0 ,1,0.532,1,0.643,
 5,bda3, 0 , 0 ,1,0.424,1,0.536,
 6,bda4, 0 , 0 ,1,0.431,1,0.528,
 7,bda5, 0 , 0 ,4,0.461,1,0.683,
 0,bda6, 0 , 0 ,1,0.466,1,0.830,
 3,bda7, 0 , 0 ,4,0.624,4,0.307,
 2,bda8, 0 , 0 ,4,0.692,4,0.574,
 1,bda9, 0 , 0 ,1,0.468,4,0.509,
 6,bda2, 0 , 0 ,1,0.497,1,0.612,
 5,bda3, 0 , 0 ,1,0.429,1,0.490,
 7,bda4, 0 , 0 ,1,0.415,1,0.605,
 0,bda5, 0 , 0 ,1,0.454,1,0.523,
 4,bda6, 0 , 0 ,4,0.498,1,0.483,
 2,bda7, 0 , 0 ,4,0.572,1,0.652,
 1,bda8, 0 , 0 ,4,0.791,1,0.734,
 3,bda9, 0 , 0 ,4,0.557,4,0.508,
 
