nonsense, comment,Comment,,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\Head_ADBF.csv,Header,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\AudioAdapt.exe
Stim/,StimDir,Stim/,DataDir
1,ITI,0.5,ISI,0.3,AISI,3,MaximumWait
8,Number Of Trials,14,NumberOfPasses,1,NumberOfBlocks
D,Right Button Label

Played at Trial, WaveFile, ,RT,,RT,JCIA,RT,

2,bda2, 0 , 0 , 0 , 0 ,1,0.275,
 4,bda3, 0 , 0 , 0 , 0 ,1,0.308,
 0,bda4, 0 , 0 , 0 , 0 ,1,0.861,
 1,bda5, 0 , 0 , 0 , 0 ,1,0.492,
 7,bda6, 0 , 0 , 0 , 0 ,1,0.404,
 3,bda7, 0 , 0 , 0 , 0 ,1,0.302,
 5,bda8, 0 , 0 , 0 , 0 ,1,0.360,
 6,bda9, 0 , 0 , 0 , 0 ,4,0.575,
 0,bda2, 0 , 0 , 0 , 0 ,1,0.728,
 2,bda3, 0 , 0 , 0 , 0 ,1,0.580,
 1,bda4, 0 , 0 , 0 , 0 ,4,0.883,
 3,bda5, 0 , 0 , 0 , 0 ,1,0.302,
 5,bda6, 0 , 0 , 0 , 0 ,4,0.511,
 4,bda7, 0 , 0 , 0 , 0 ,4,0.640,
 6,bda8, 0 , 0 , 0 , 0 ,4,0.446,
 7,bda9, 0 , 0 , 0 , 0 ,4,0.919,
 2,bda2, 0 , 0 , 0 , 0 ,1,0.385,
 0,bda3, 0 , 0 , 0 , 0 ,1,0.575,
 4,bda4, 0 , 0 , 0 , 0 ,1,1.390,
 7,bda5, 0 , 0 , 0 , 0 ,1,0.334,
 3,bda6, 0 , 0 , 0 , 0 ,1,0.399,
 1,bda7, 0 , 0 , 0 , 0 ,4,0.693,
 5,bda8, 0 , 0 , 0 , 0 ,4,0.432,
 6,bda9, 0 , 0 , 0 , 0 ,1,0.367,
 5,bda2, 0 , 0 , 0 , 0 ,1,0.477,
 3,bda3, 0 , 0 , 0 , 0 ,1,0.371,
 1,bda4, 0 , 0 , 0 , 0 ,1,0.553,
 6,bda5, 0 , 0 , 0 , 0 ,4,0.467,
 2,bda6, 0 , 0 , 0 , 0 ,1,0.336,
 0,bda7, 0 , 0 , 0 , 0 ,4,0.616,
 7,bda8, 0 , 0 , 0 , 0 ,4,0.433,
 4,bda9, 0 , 0 , 0 , 0 ,4,0.525,
 3,bda2, 0 , 0 , 0 , 0 ,1,0.359,
 2,bda3, 0 , 0 , 0 , 0 ,1,0.452,
 6,bda4, 0 , 0 , 0 , 0 ,1,0.498,
 5,bda5, 0 , 0 , 0 , 0 ,1,0.565,
 1,bda6, 0 , 0 , 0 , 0 ,4,0.585,
 0,bda7, 0 , 0 , 0 , 0 ,4,0.683,
 4,bda8, 0 , 0 , 0 , 0 ,1,0.591,
 7,bda9, 0 , 0 , 0 , 0 ,4,0.488,
 2,bda2, 0 , 0 , 0 , 0 ,1,0.466,
 5,bda3, 0 , 0 , 0 , 0 ,1,0.618,
 6,bda4, 0 , 0 , 0 , 0 ,1,0.996,
 1,bda5, 0 , 0 , 0 , 0 ,1,0.592,
 0,bda6, 0 , 0 , 0 , 0 ,1,0.642,
 7,bda7, 0 , 0 , 0 , 0 ,4,0.437,
 4,bda8, 0 , 0 , 0 , 0 ,4,0.527,
 3,bda9, 0 , 0 , 0 , 0 ,4,1.048,
 4,bda2, 0 , 0 , 0 , 0 ,1,0.812,
 7,bda3, 0 , 0 , 0 , 0 ,1,0.626,
 5,bda4, 0 , 0 , 0 , 0 ,1,1.132,
 3,bda5, 0 , 0 , 0 , 0 ,1,0.488,
 6,bda6, 0 , 0 , 0 , 0 ,1,1.411,
 2,bda7, 0 , 0 , 0 , 0 ,1,0.598,
 0,bda8, 0 , 0 , 0 , 0 ,4,0.713,
 1,bda9, 0 , 0 , 0 , 0 ,4,0.847,
 7,bda2, 0 , 0 , 0 , 0 ,1,0.377,
 1,bda3, 0 , 0 , 0 , 0 ,1,0.481,
 2,bda4, 0 , 0 , 0 , 0 ,1,0.363,
 4,bda5, 0 , 0 , 0 , 0 ,1,0.430,
 5,bda6, 0 , 0 , 0 , 0 ,4,0.173,
 3,bda7, 0 , 0 , 0 , 0 ,1,0.414,
 6,bda8, 0 , 0 , 0 , 0 ,4,0.567,
 0,bda9, 0 , 0 , 0 , 0 ,4,1.541,
 2,bda2, 0 , 0 , 0 , 0 ,1,0.370,
 0,bda3, 0 , 0 , 0 , 0 ,1,0.232,
 3,bda4, 0 , 0 , 0 , 0 ,1,1.240,
 1,bda5, 0 , 0 , 0 , 0 ,1,0.259,
 7,bda6, 0 , 0 , 0 , 0 ,4,0.228,
 6,bda7, 0 , 0 , 0 , 0 ,1,0.382,
 4,bda8, 0 , 0 , 0 , 0 ,4,0.294,
 5,bda9, 0 , 0 , 0 , 0 ,4,0.254,
 4,bda2, 0 , 0 , 0 , 0 ,1,0.455,
 0,bda3, 0 , 0 , 0 , 0 ,1,0.404,
 2,bda4, 0 , 0 , 0 , 0 ,1,0.409,
 3,bda5, 0 , 0 , 0 , 0 ,1,0.399,
 7,bda6, 0 , 0 , 0 , 0 ,4,1.319,
 5,bda7, 0 , 0 , 0 , 0 ,1,0.386,
 1,bda8, 0 , 0 , 0 , 0 ,4,0.405,
 6,bda9, 0 , 0 , 0 , 0 ,4,0.356,
 1,bda2, 0 , 0 , 0 , 0 ,1,0.510,
 6,bda3, 0 , 0 , 0 , 0 ,1,1.463,
 7,bda4, 0 , 0 , 0 , 0 ,1,0.473,
 4,bda5, 0 , 0 , 0 , 0 ,4,0.197,
 3,bda6, 0 , 0 , 0 , 0 ,4,0.826,
 0,bda7, 0 , 0 , 0 , 0 ,1,0.418,
 5,bda8, 0 , 0 , 0 , 0 ,1,0.317,
 2,bda9, 0 , 0 , 0 , 0 ,1,0.512,
 0,bda2, 0 , 0 , 0 , 0 ,1,0.973,
 5,bda3, 0 , 0 , 0 , 0 ,1,0.590,
 4,bda4, 0 , 0 , 0 , 0 ,1,0.513,
 6,bda5, 0 , 0 , 0 , 0 ,1,0.373,
 7,bda6, 0 , 0 , 0 , 0 ,1,0.380,
 1,bda7, 0 , 0 , 0 , 0 ,4,0.475,
 2,bda8, 0 , 0 , 0 , 0 ,1,0.315,
 3,bda9, 0 , 0 , 0 , 0 ,1,0.415,
