nonsense, comment,Comment,,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\Head_ADBF.csv,Header,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\AudioAdapt.exe
Stim/,StimDir,Stim/,DataDir
1,ITI,0.5,ISI,0.3,AISI,3,MaximumWait
8,Number Of Trials,14,NumberOfPasses,1,NumberOfBlocks
D,Right Button Label

Played at Trial, WaveFile, HFRE,RT,,RT,,RT,

1,bda2,1,0.384, 0 , 0 , 0 , 0 ,
 2,bda3,1,1.585, 0 , 0 , 0 , 0 ,
 3,bda4,1,1.169, 0 , 0 , 0 , 0 ,
 6,bda5,1,0.633, 0 , 0 , 0 , 0 ,
 5,bda6,4,1.206, 0 , 0 , 0 , 0 ,
 7,bda7,4,0.647, 0 , 0 , 0 , 0 ,
 0,bda8,4,0.980, 0 , 0 , 0 , 0 ,
 4,bda9,4,0.426, 0 , 0 , 0 , 0 ,
 7,bda2,1,0.419, 0 , 0 , 0 , 0 ,
 3,bda3,1,0.494, 0 , 0 , 0 , 0 ,
 1,bda4,1,0.704, 0 , 0 , 0 , 0 ,
 5,bda5,1,1.330, 0 , 0 , 0 , 0 ,
 2,bda6,4,1.001, 0 , 0 , 0 , 0 ,
 4,bda7,1,0.842, 0 , 0 , 0 , 0 ,
 6,bda8,4,0.674, 0 , 0 , 0 , 0 ,
 0,bda9,4,0.862, 0 , 0 , 0 , 0 ,
 5,bda2,1,0.625, 0 , 0 , 0 , 0 ,
 3,bda3,1,0.402, 0 , 0 , 0 , 0 ,
 7,bda4,1,0.528, 0 , 0 , 0 , 0 ,
 4,bda5,4,0.416, 0 , 0 , 0 , 0 ,
 0,bda6,4,0.562, 0 , 0 , 0 , 0 ,
 2,bda7,4,0.586, 0 , 0 , 0 , 0 ,
 1,bda8,4,0.482, 0 , 0 , 0 , 0 ,
 6,bda9,4,0.580, 0 , 0 , 0 , 0 ,
 1,bda2,1,0.627, 0 , 0 , 0 , 0 ,
 6,bda3,1,2.241, 0 , 0 , 0 , 0 ,
 0,bda4,4,0.592, 0 , 0 , 0 , 0 ,
 5,bda5,4,0.491, 0 , 0 , 0 , 0 ,
 3,bda6,4,1.009, 0 , 0 , 0 , 0 ,
 2,bda7,4,0.871, 0 , 0 , 0 , 0 ,
 7,bda8,4,0.639, 0 , 0 , 0 , 0 ,
 4,bda9,4,0.501, 0 , 0 , 0 , 0 ,
 2,bda2,1,0.416, 0 , 0 , 0 , 0 ,
 5,bda3,1,0.463, 0 , 0 , 0 , 0 ,
 7,bda4,1,0.707, 0 , 0 , 0 , 0 ,
 6,bda5,1,0.516, 0 , 0 , 0 , 0 ,
 1,bda6,4,0.520, 0 , 0 , 0 , 0 ,
 3,bda7,4,0.617, 0 , 0 , 0 , 0 ,
 0,bda8,4,0.506, 0 , 0 , 0 , 0 ,
 4,bda9,4,0.641, 0 , 0 , 0 , 0 ,
 6,bda2,1,0.429, 0 , 0 , 0 , 0 ,
 5,bda3,1,0.528, 0 , 0 , 0 , 0 ,
 3,bda4,1,0.521, 0 , 0 , 0 , 0 ,
 7,bda5,1,0.759, 0 , 0 , 0 , 0 ,
 1,bda6,1,0.749, 0 , 0 , 0 , 0 ,
 4,bda7,4,0.588, 0 , 0 , 0 , 0 ,
 2,bda8,4,0.768, 0 , 0 , 0 , 0 ,
 0,bda9,4,0.610, 0 , 0 , 0 , 0 ,
 0,bda2,1,0.564, 0 , 0 , 0 , 0 ,
 7,bda3,1,0.363, 0 , 0 , 0 , 0 ,
 1,bda4,1,0.442, 0 , 0 , 0 , 0 ,
 5,bda5,4,0.427, 0 , 0 , 0 , 0 ,
 6,bda6,1,0.603, 0 , 0 , 0 , 0 ,
 2,bda7,1,0.904, 0 , 0 , 0 , 0 ,
 4,bda8,4,0.547, 0 , 0 , 0 , 0 ,
 3,bda9,4,0.411, 0 , 0 , 0 , 0 ,
 4,bda2,1,0.429, 0 , 0 , 0 , 0 ,
 2,bda3,1,0.425, 0 , 0 , 0 , 0 ,
 1,bda4,1,0.564, 0 , 0 , 0 , 0 ,
 5,bda5,1,0.563, 0 , 0 , 0 , 0 ,
 0,bda6,4,1.113, 0 , 0 , 0 , 0 ,
 3,bda7,4,0.647, 0 , 0 , 0 , 0 ,
 6,bda8,4,0.434, 0 , 0 , 0 , 0 ,
 7,bda9,4,0.365, 0 , 0 , 0 , 0 ,
 3,bda2,1,0.432, 0 , 0 , 0 , 0 ,
 2,bda3,1,0.446, 0 , 0 , 0 , 0 ,
 7,bda4,1,0.421, 0 , 0 , 0 , 0 ,
 1,bda5,1,0.568, 0 , 0 , 0 , 0 ,
 0,bda6,4,0.650, 0 , 0 , 0 , 0 ,
 5,bda7,4,0.471, 0 , 0 , 0 , 0 ,
 4,bda8,4,0.475, 0 , 0 , 0 , 0 ,
