nonsense, comment,Comment,,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\Head_ADBF.csv,Header,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\AudioAdapt.exe
Stim/,StimDir,Stim/,DataDir
1,ITI,0.5,ISI,0.3,AISI,3,MaximumWait
8,Number Of Trials,14,NumberOfPasses,1,NumberOfBlocks
D,Right Button Label

Played at Trial, WaveFile, BLIN,RT,,RT,,RT,

0,bda2,1,0.598, 0 , 0 , 0 , 0 ,
 5,bda3,1,0.340, 0 , 0 , 0 , 0 ,
 7,bda4,1,0.316, 0 , 0 , 0 , 0 ,
 3,bda5,1,0.577, 0 , 0 , 0 , 0 ,
 6,bda6,4,0.489, 0 , 0 , 0 , 0 ,
 4,bda7,4,0.400, 0 , 0 , 0 , 0 ,
 2,bda8,4,0.400, 0 , 0 , 0 , 0 ,
 1,bda9,4,0.375, 0 , 0 , 0 , 0 ,
 7,bda2,1,0.412, 0 , 0 , 0 , 0 ,
 0,bda3,1,0.481, 0 , 0 , 0 , 0 ,
 3,bda4,1,0.559, 0 , 0 , 0 , 0 ,
 4,bda5,1,0.470, 0 , 0 , 0 , 0 ,
 2,bda6,1,0.595, 0 , 0 , 0 , 0 ,
 6,bda7,4,0.381, 0 , 0 , 0 , 0 ,
 1,bda8,4,0.391, 0 , 0 , 0 , 0 ,
 5,bda9,4,0.538, 0 , 0 , 0 , 0 ,
 2,bda2,1,0.496, 0 , 0 , 0 , 0 ,
 4,bda3,1,0.441, 0 , 0 , 0 , 0 ,
 7,bda4,1,0.675, 0 , 0 , 0 , 0 ,
 6,bda5,1,0.582, 0 , 0 , 0 , 0 ,
 1,bda6,4,0.639, 0 , 0 , 0 , 0 ,
 3,bda7,4,0.434, 0 , 0 , 0 , 0 ,
 0,bda8,4,0.398, 0 , 0 , 0 , 0 ,
 5,bda9,4,0.421, 0 , 0 , 0 , 0 ,
 6,bda2,1,0.496, 0 , 0 , 0 , 0 ,
 2,bda3,1,0.479, 0 , 0 , 0 , 0 ,
 3,bda4,1,0.840, 0 , 0 , 0 , 0 ,
 4,bda5,1,0.470, 0 , 0 , 0 , 0 ,
 7,bda6,4,0.412, 0 , 0 , 0 , 0 ,
 1,bda7,4,0.456, 0 , 0 , 0 , 0 ,
 0,bda8,4,0.719, 0 , 0 , 0 , 0 ,
 5,bda9,4,0.487, 0 , 0 , 0 , 0 ,
 5,bda2,1,0.566, 0 , 0 , 0 , 0 ,
 6,bda3,1,0.453, 0 , 0 , 0 , 0 ,
 1,bda4,1,0.496, 0 , 0 , 0 , 0 ,
