nonsense, comment,Comment,,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\Head_ADBF.csv,Header,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\AudioAdapt.exe
Stim/,StimDir,Stim/,DataDir
1,ITI,0.5,ISI,0.3,AISI,3,MaximumWait
8,Number Of Trials,14,NumberOfPasses,1,NumberOfBlocks
D,Right Button Label

Played at Trial, WaveFile, DMCL,RT,,RT,,RT,

1,bda2,1,0.589, 0 , 0 , 0 , 0 ,
 3,bda3,1,0.710, 0 , 0 , 0 , 0 ,
 0,bda4,1,0.409, 0 , 0 , 0 , 0 ,
 6,bda5,1,0.726, 0 , 0 , 0 , 0 ,
 5,bda6,4,0.437, 0 , 0 , 0 , 0 ,
 7,bda7,4,0.592, 0 , 0 , 0 , 0 ,
 4,bda8,4,0.377, 0 , 0 , 0 , 0 ,
 2,bda9,4,0.459, 0 , 0 , 0 , 0 ,
 7,bda2,1,0.521, 0 , 0 , 0 , 0 ,
 3,bda3,1,0.621, 0 , 0 , 0 , 0 ,
 0,bda4,1,0.488, 0 , 0 , 0 , 0 ,
 5,bda5,1,0.868, 0 , 0 , 0 , 0 ,
 1,bda6,4,0.461, 0 , 0 , 0 , 0 ,
 6,bda7,4,0.426, 0 , 0 , 0 , 0 ,
 2,bda8,4,0.395, 0 , 0 , 0 , 0 ,
 4,bda9,4,0.613, 0 , 0 , 0 , 0 ,
 5,bda2,1,0.572, 0 , 0 , 0 , 0 ,
 7,bda3,1,0.506, 0 , 0 , 0 , 0 ,
 6,bda4,1,0.389, 0 , 0 , 0 , 0 ,
 4,bda5,1,0.521, 0 , 0 , 0 , 0 ,
 3,bda6,4,0.590, 0 , 0 , 0 , 0 ,
 0,bda7,4,0.997, 0 , 0 , 0 , 0 ,
 2,bda8,4,0.475, 0 , 0 , 0 , 0 ,
 1,bda9,4,0.619, 0 , 0 , 0 , 0 ,
 4,bda2,1,0.571, 0 , 0 , 0 , 0 ,
 6,bda3,1,0.610, 0 , 0 , 0 , 0 ,
 2,bda4,1,0.567, 0 , 0 , 0 , 0 ,
 7,bda5,1,0.522, 0 , 0 , 0 , 0 ,
 3,bda6,4,1.219, 0 , 0 , 0 , 0 ,
 0,bda7,4,0.379, 0 , 0 , 0 , 0 ,
 5,bda8,4,0.630, 0 , 0 , 0 , 0 ,
 1,bda9,4,0.482, 0 , 0 , 0 , 0 ,
 6,bda2,1,0.600, 0 , 0 , 0 , 0 ,
 5,bda3,1,0.635, 0 , 0 , 0 , 0 ,
 0,bda4,1,0.473, 0 , 0 , 0 , 0 ,
 3,bda5,1,1.705, 0 , 0 , 0 , 0 ,
 1,bda6,4,0.406, 0 , 0 , 0 , 0 ,
 4,bda7,4,0.710, 0 , 0 , 0 , 0 ,
 7,bda8,4,0.805, 0 , 0 , 0 , 0 ,
 2,bda9,4,0.498, 0 , 0 , 0 , 0 ,
 4,bda2,1,0.546, 0 , 0 , 0 , 0 ,
 5,bda3,1,0.514, 0 , 0 , 0 , 0 ,
 2,bda4,1,0.522, 0 , 0 , 0 , 0 ,
 7,bda5,4,0.664, 0 , 0 , 0 , 0 ,
 1,bda6,4,0.570, 0 , 0 , 0 , 0 ,
 0,bda7,4,0.437, 0 , 0 , 0 , 0 ,
 6,bda8,4,0.442, 0 , 0 , 0 , 0 ,
 3,bda9,4,0.473, 0 , 0 , 0 , 0 ,
 4,bda2,1,0.499, 0 , 0 , 0 , 0 ,
 0,bda3,1,0.578, 0 , 0 , 0 , 0 ,
 7,bda4,1,0.448, 0 , 0 , 0 , 0 ,
 3,bda5,4,0.406, 0 , 0 , 0 , 0 ,
 5,bda6,4,1.000, 0 , 0 , 0 , 0 ,
 1,bda7,4,0.410, 0 , 0 , 0 , 0 ,
 6,bda8,4,0.465, 0 , 0 , 0 , 0 ,
 2,bda9,4,0.493, 0 , 0 , 0 , 0 ,
 0,bda2,1,0.655, 0 , 0 , 0 , 0 ,
 2,bda3,1,0.370, 0 , 0 , 0 , 0 ,
 4,bda4,1,0.539, 0 , 0 , 0 , 0 ,
 6,bda5,4,0.555, 0 , 0 , 0 , 0 ,
 3,bda6,4,0.449, 0 , 0 , 0 , 0 ,
 1,bda7,4,0.587, 0 , 0 , 0 , 0 ,
 7,bda8,4,0.393, 0 , 0 , 0 , 0 ,
 5,bda9,4,0.423, 0 , 0 , 0 , 0 ,
 2,bda2,1,0.493, 0 , 0 , 0 , 0 ,
 4,bda3,1,0.589, 0 , 0 , 0 , 0 ,
 6,bda4,1,0.568, 0 , 0 , 0 , 0 ,
 3,bda5,4,0.561, 0 , 0 , 0 , 0 ,
 0,bda6,4,0.469, 0 , 0 , 0 , 0 ,
 7,bda7,4,0.523, 0 , 0 , 0 , 0 ,
 1,bda8,4,0.525, 0 , 0 , 0 , 0 ,
 5,bda9,4,0.529, 0 , 0 , 0 , 0 ,
 7,bda2,1,0.406, 0 , 0 , 0 , 0 ,
 3,bda3,1,0.478, 0 , 0 , 0 , 0 ,
 5,bda4,1,0.453, 0 , 0 , 0 , 0 ,
 6,bda5,4,1.019, 0 , 0 , 0 , 0 ,
 0,bda6,4,0.448, 0 , 0 , 0 , 0 ,
 2,bda7,4,0.547, 0 , 0 , 0 , 0 ,
 1,bda8,4,0.559, 0 , 0 , 0 , 0 ,
 4,bda9,4,0.945, 0 , 0 , 0 , 0 ,
 1,bda2,1,0.460, 0 , 0 , 0 , 0 ,
 4,bda3,1,1.115, 0 , 0 , 0 , 0 ,
 5,bda4,1,0.755, 0 , 0 , 0 , 0 ,
 0,bda5,4,0.618, 0 , 0 , 0 , 0 ,
 6,bda6,4,0.500, 0 , 0 , 0 , 0 ,
 3,bda7,4,0.448, 0 , 0 , 0 , 0 ,
 2,bda8,4,0.471, 0 , 0 , 0 , 0 ,
 7,bda9,4,0.645, 0 , 0 , 0 , 0 ,
 6,bda2,1,0.690, 0 , 0 , 0 , 0 ,
 1,bda3,1,0.598, 0 , 0 , 0 , 0 ,
 0,bda4,1,0.539, 0 , 0 , 0 , 0 ,
