nonsense, comment,Comment,,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\Head_ADBF.csv,Header,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\AudioAdapt.exe
Stim/,StimDir,Stim/,DataDir
1,ITI,0.5,ISI,0.3,AISI,3,MaximumWait
8,Number Of Trials,14,NumberOfPasses,1,NumberOfBlocks
D,Right Button Label

Played at Trial, WaveFile, GDOM,RT,,RT,ECUN,RT,

6,bda2,1,0.646, 0 , 0 ,1,0.597,
 5,bda3,4,0.608, 0 , 0 ,1,0.503,
 1,bda4,1,0.461, 0 , 0 ,1,0.475,
 2,bda5,1,0.796, 0 , 0 ,4,0.455,
 7,bda6,4,0.422, 0 , 0 ,1,1.080,
 4,bda7,4,0.508, 0 , 0 ,4,0.465,
 0,bda8,4,0.574, 0 , 0 ,4,0.690,
 3,bda9,4,0.434, 0 , 0 ,4,0.475,
 0,bda2,1,0.564, 0 , 0 ,1,0.674,
 3,bda3,1,0.343, 0 , 0 ,1,0.473,
 7,bda4,1,0.438, 0 , 0 ,4,0.377,
 4,bda5,4,0.467, 0 , 0 ,4,0.563,
 6,bda6,4,0.466, 0 , 0 ,4,0.352,
 5,bda7,4,0.357, 0 , 0 ,4,0.344,
 2,bda8,4,0.494, 0 , 0 ,4,0.337,
 1,bda9,4,0.438, 0 , 0 ,4,0.493,
 1,bda2,1,0.438, 0 , 0 ,1,0.553,
 7,bda3,1,0.661, 0 , 0 ,1,0.553,
 0,bda4,1,0.418, 0 , 0 ,1,0.547,
 6,bda5,1,0.513, 0 , 0 ,4,0.507,
 3,bda6,1,0.417, 0 , 0 ,4,0.473,
 4,bda7,1,0.432, 0 , 0 ,4,0.876,
 2,bda8,4,0.420, 0 , 0 ,4,0.769,
 5,bda9,4,0.441, 0 , 0 ,1,0.416,
 2,bda2,1,0.547, 0 , 0 ,1,0.575,
 6,bda3,1,0.501, 0 , 0 ,1,0.639,
 0,bda4,1,0.637, 0 , 0 ,1,0.740,
 1,bda5,1,0.371, 0 , 0 ,4,0.534,
 7,bda6,1,0.563, 0 , 0 ,4,0.477,
 5,bda7,4,0.408, 0 , 0 ,4,0.594,
 4,bda8,4,0.609, 0 , 0 ,4,0.704,
 3,bda9,4,0.433, 0 , 0 ,4,0.493,
 2,bda2,1,0.431, 0 , 0 ,1,0.441,
 5,bda3,1,0.456, 0 , 0 ,1,0.522,
 3,bda4,4,0.881, 0 , 0 ,4,0.836,
 7,bda5,1,0.401, 0 , 0 ,4,0.317,
 1,bda6,4,0.701, 0 , 0 ,4,0.431,
 0,bda7,1,0.627, 0 , 0 ,4,0.457,
 4,bda8,4,0.430, 0 , 0 ,4,0.746,
 6,bda9,4,0.491, 0 , 0 ,4,0.438,
 1,bda2,1,0.385, 0 , 0 ,1,0.620,
 2,bda3,1,0.781, 0 , 0 ,1,0.667,
 6,bda4,4,0.399, 0 , 0 ,1,1.049,
 0,bda5,1,0.513, 0 , 0 ,4,0.433,
 5,bda6,4,0.423, 0 , 0 ,4,0.381,
 4,bda7,1,0.534, 0 , 0 ,1,0.449,
 7,bda8,4,0.405, 0 , 0 ,4,0.494,
 3,bda9,4,0.454, 0 , 0 ,4,0.331,
 0,bda2,1,0.656, 0 , 0 ,1,0.718,
 3,bda3,1,0.573, 0 , 0 ,4,0.348,
