nonsense, comment,Comment,,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\Head_ADBF.csv,Header,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\AudioAdapt.exe
Stim/,StimDir,Stim/,DataDir
1,ITI,0.5,ISI,0.3,AISI,3,MaximumWait
8,Number Of Trials,14,NumberOfPasses,1,NumberOfBlocks
D,Right Button Label

Played at Trial, WaveFile, TTYS,RT,CBLU,RT,RWILL,RT,

3,bda2,1,1.726,1,0.527,1,0.475,
 2,bda3,1,1.569,1,0.459,1,0.487,
 0,bda4,1,1.687,1,0.485,1,0.545,
 1,bda5,1,2.137,4,1.071,1,0.597,
 5,bda6,1,1.757,1,0.616,4,0.518,
 4,bda7,1,1.602,4,0.720,4,0.416,
 6,bda8,1,1.466,4,0.624,4,0.509,
 7,bda9,1,1.323,4,0.535,4,0.555,
 7,bda2,1,0.263,1,0.458,1,0.598,
 0,bda3,1,0.747,1,0.395,1,0.456,
 3,bda4,1,0.246,1,0.430,1,0.575,
 2,bda5,1,0.269,1,0.384,1,0.581,
 5,bda6,1,0.133,4,0.661,4,0.716,
 6,bda7,1,0.210,4,0.452,4,0.477,
 4,bda8,1,0.240,4,0.622,4,0.432,
 1,bda9,1,0.407,1,0.958,4,0.556,
 1,bda2,1,0.932,1,0.545,1,0.504,
 6,bda3,1,0.297,1,0.904,1,0.571,
 5,bda4,1,0.891,1,0.436,1,0.660,
 3,bda5,1,0.830,1,0.407,1,0.512,
 0,bda6,1,0.713,1,0.379,4,0.725,
 2,bda7,1,0.155,4,0.552,4,0.471,
 4,bda8,1,0.882,4,0.380,4,0.431,
 7,bda9,1,0.664,4,0.340,4,0.553,
 6,bda2,1,0.307,1,0.658,1,0.537,
 4,bda3,1,0.364,1,0.493,1,0.607,
 0,bda4,1,0.214,1,0.275,1,0.670,
 5,bda5,1,0.488,1,0.330,1,0.595,
 2,bda6,1,0.311,4,0.394,4,0.418,
 7,bda7,1,0.185,4,0.377,4,0.520,
 3,bda8,1,0.339,4,0.471,4,0.601,
 1,bda9,1,0.953,4,0.376,4,0.442,
 2,bda2,1,0.050,1,0.496,4,0.475,
 3,bda3,1,0.101,1,0.345,1,0.455,
 7,bda4,1,0.322,1,0.515,1,0.561,
 1,bda5,1,0.237,1,0.459,4,0.598,
 0,bda6,1,0.315,1,0.418,4,0.434,
 6,bda7,1,0.528,4,0.622,4,0.590,
 5,bda8,1,1.286,4,0.502,4,0.437,
 4,bda9,1,0.087,4,0.432,4,0.451,
 4,bda2,1,0.437,1,0.403,1,0.573,
