nonsense, comment,Comment,,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\Head_ADBF.csv,Header,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\AudioAdapt.exe
Stim/,StimDir,Stim/,DataDir
1,ITI,0.5,ISI,0.3,AISI,3,MaximumWait
8,Number Of Trials,14,NumberOfPasses,1,NumberOfBlocks
D,Right Button Label

Played at Trial, WaveFile, EMOR,RT,BPAR,RT,RWON,RT,

1,bda2,1,0.513,1,0.400,1,0.497,
 4,bda3,1,0.481,1,0.537,1,0.679,
 7,bda4,1,0.505,1,0.507,1,0.630,
 0,bda5,1,0.562,1,0.462,1,0.491,
 3,bda6,4,0.462,4,0.630,4,0.417,
 5,bda7,4,0.311,1,0.465,4,0.326,
 6,bda8,4,0.313,4,0.763,4,0.331,
 2,bda9,4,0.311,4,0.438,4,0.350,
 2,bda2,1,0.429,1,0.479,1,0.394,
 4,bda3,1,0.342,1,0.373,1,0.428,
 3,bda4,1,0.487,1,0.503,1,0.829,
 6,bda5,1,0.448,1,0.792,1,0.723,
 0,bda6,4,0.494,1,0.590,4,0.607,
 1,bda7,4,0.426,4,0.583,4,0.394,
 5,bda8,4,0.492,4,0.503,4,0.387,
 7,bda9,4,0.339,4,0.421,4,0.385,
 2,bda2,1,0.351,1,0.389,1,0.458,
 0,bda3,1,0.510,1,0.480,1,0.432,
 5,bda4,1,0.515,1,0.461,1,0.728,
 7,bda5,4,0.221,1,0.388,1,0.726,
 4,bda6,4,0.375,4,0.419,4,0.492,
 6,bda7,4,0.298,4,0.413,4,0.334,
 3,bda8,4,0.326,4,0.372,4,0.469,
 1,bda9,4,0.382,4,0.374,4,0.408,
 3,bda2,1,0.340,1,0.349,1,0.465,
 7,bda3,1,0.317,1,0.342,1,0.392,
 5,bda4,1,0.372,1,0.294,1,0.465,
 0,bda5,1,0.892,1,0.492,1,0.715,
 2,bda6,4,0.401,4,0.357,4,0.392,
 1,bda7,4,0.322,4,0.514,4,0.465,
 6,bda8,4,0.320,4,0.350,4,0.425,
 4,bda9,4,0.383,4,0.461,4,0.471,
 0,bda2,1,0.456,1,0.494,1,0.617,
 7,bda3,1,0.354,1,0.378,1,0.482,
 5,bda4,1,0.365,1,0.382,1,0.441,
 3,bda5,4,0.491,1,0.298,1,0.497,
 6,bda6,4,0.457,4,0.437,1,0.609,
 4,bda7,4,0.294,4,0.488,4,0.396,
 2,bda8,4,0.441,4,0.566,4,0.385,
 1,bda9,4,0.305,4,0.415,4,0.370,
 5,bda2,1,0.514,1,0.436,1,0.475,
 0,bda3,1,0.264,1,0.374,1,0.562,
 2,bda4,1,0.504,1,0.374,1,0.566,
 1,bda5,4,0.325,1,0.451,1,0.541,
 6,bda6,4,0.321,4,0.428,4,0.578,
 7,bda7,4,0.669,4,0.557,4,0.828,
 4,bda8,4,0.231,4,0.363,4,0.421,
 3,bda9,4,0.379,4,0.396,4,0.397,
 4,bda2,1,0.394,1,0.425,1,0.570,
 0,bda3,1,0.311,1,0.315,1,0.463,
 2,bda4,1,0.351,1,0.367,1,0.375,
 7,bda5,1,0.356,4,0.226,1,0.373,
 6,bda6,4,0.829,1,0.984,4,0.798,
 3,bda7,4,0.173,1,0.312,4,0.363,
 1,bda8,4,0.169,4,0.272,4,0.390,
 5,bda9,4,0.262,4,0.347,4,0.426,
 3,bda2,1,0.373,1,0.323,1,0.488,
 7,bda3,1,0.352,1,0.419,1,0.531,
 2,bda4,1,0.574,1,0.466,1,0.778,
 1,bda5,4,1.118,4,0.791,1,1.386,
 6,bda6,4,0.562,1,0.492,4,0.447,
 0,bda7,4,0.141,4,0.399,4,0.387,
 5,bda8,4,0.288,4,0.454,4,0.398,
 4,bda9,4,0.516,4,0.512,4,0.519,
 6,bda2,1,0.335,1,0.441,1,0.483,
 1,bda3,1,0.471,1,0.502,1,0.416,
 4,bda4,1,0.469,1,0.459,1,0.525,
 7,bda5,4,0.407,1,0.450,1,0.718,
 5,bda6,1,0.383,1,0.473,4,0.396,
 3,bda7,4,0.354,4,0.565,4,0.397,
 2,bda8,4,0.510,4,0.524,4,0.452,
 0,bda9,4,0.618,4,0.364,4,0.387,
 2,bda2,1,0.523,1,0.500,1,0.569,
 0,bda3,1,0.391,1,0.436,1,0.481,
 6,bda4,1,0.667,1,0.735,1,1.116,
 4,bda5,4,0.523,1,0.534,1,0.393,
 3,bda6,4,0.405,1,0.431,1,0.935,
 7,bda7,4,0.519,4,0.415,4,0.369,
 1,bda8,4,0.416,4,0.455,4,0.455,
