nonsense, comment,Comment,,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\Head_ADBF.csv,Header,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\AudioAdapt.exe
Stim/,StimDir,Stim/,DataDir
1,ITI,0.5,ISI,0.3,AISI,3,MaximumWait
8,Number Of Trials,14,NumberOfPasses,1,NumberOfBlocks
D,Right Button Label

Played at Trial, WaveFile, ASAV,RT,,RT,RCHE,RT,

6,bda2,1,0.479, 0 , 0 ,1,0.312,
 3,bda3,1,0.498, 0 , 0 ,1,0.291,
 4,bda4,1,0.533, 0 , 0 ,1,0.478,
 1,bda5,1,0.440, 0 , 0 ,1,0.614,
 0,bda6,1,0.567, 0 , 0 ,1,0.363,
 5,bda7,1,0.481, 0 , 0 ,4,0.372,
 2,bda8,1,0.912, 0 , 0 ,4,0.580,
 7,bda9,4,0.702, 0 , 0 ,4,0.286,
 3,bda2,1,0.435, 0 , 0 ,1,0.375,
 5,bda3,4,0.452, 0 , 0 ,1,0.524,
 0,bda4,1,0.519, 0 , 0 ,1,0.314,
 2,bda5,1,0.348, 0 , 0 ,1,0.502,
 6,bda6,1,0.595, 0 , 0 ,1,0.318,
 7,bda7,1,0.643, 0 , 0 ,4,0.310,
 4,bda8,1,0.518, 0 , 0 ,4,0.304,
 1,bda9,4,0.644, 0 , 0 ,4,0.305,
 0,bda2,1,0.328, 0 , 0 ,1,0.430,
 5,bda3,1,0.508, 0 , 0 ,1,0.417,
 6,bda4,1,0.539, 0 , 0 ,1,0.293,
 1,bda5,4,0.468, 0 , 0 ,1,0.353,
 2,bda6,4,0.596, 0 , 0 ,1,0.276,
 7,bda7,4,0.510, 0 , 0 ,4,0.555,
 4,bda8,4,0.607, 0 , 0 ,4,0.331,
 3,bda9,4,0.496, 0 , 0 ,4,0.239,
 5,bda2,1,0.496, 0 , 0 ,1,0.288,
 0,bda3,1,0.404, 0 , 0 ,1,0.524,
 4,bda4,1,0.501, 0 , 0 ,1,0.381,
 6,bda5,1,0.468, 0 , 0 ,1,0.302,
 1,bda6,4,0.801, 0 , 0 ,1,0.336,
 7,bda7,4,0.678, 0 , 0 ,4,0.791,
 2,bda8,4,0.749, 0 , 0 ,4,0.266,
 3,bda9,1,0.500, 0 , 0 ,4,0.359,
 4,bda2,1,0.353, 0 , 0 ,1,0.329,
 3,bda3,1,0.524, 0 , 0 ,1,0.515,
 0,bda4,1,0.398, 0 , 0 ,1,0.292,
 2,bda5,1,0.414, 0 , 0 ,1,0.616,
 5,bda6,4,0.840, 0 , 0 ,4,0.826,
 6,bda7,1,0.474, 0 , 0 ,4,0.334,
 1,bda8,1,0.499, 0 , 0 ,4,0.406,
 7,bda9,4,0.549, 0 , 0 ,4,0.312,
 1,bda2,1,0.350, 0 , 0 ,1,0.499,
 5,bda3,1,0.461, 0 , 0 ,1,0.490,
 4,bda4,1,0.363, 0 , 0 ,1,0.367,
 2,bda5,1,0.390, 0 , 0 ,1,0.404,
 3,bda6,4,0.407, 0 , 0 ,1,0.462,
 0,bda7,1,0.501, 0 , 0 ,4,0.291,
 7,bda8,4,0.812, 0 , 0 ,4,0.360,
 6,bda9,4,0.593, 0 , 0 ,4,0.261,
 5,bda2,1,0.584, 0 , 0 ,1,0.333,
 6,bda3,1,0.777, 0 , 0 ,1,0.347,
 3,bda4,4,0.429, 0 , 0 ,1,0.348,
 0,bda5,1,0.681, 0 , 0 ,1,0.543,
 2,bda6,4,0.751, 0 , 0 ,1,0.595,
 7,bda7,1,0.432, 0 , 0 ,1,0.653,
 4,bda8,1,0.919, 0 , 0 ,4,0.428,
 1,bda9,1,0.349, 0 , 0 ,4,0.338,
 1,bda2,1,0.302, 0 , 0 ,1,0.766,
 7,bda3,1,0.639, 0 , 0 ,1,0.907,
 5,bda4,1,0.333, 0 , 0 ,1,0.422,
 4,bda5,4,0.505, 0 , 0 ,1,0.644,
 0,bda6,1,0.451, 0 , 0 ,4,0.381,
 2,bda7,4,0.682, 0 , 0 ,4,0.402,
 6,bda8,1,0.355, 0 , 0 ,4,0.353,
 3,bda9,4,0.635, 0 , 0 ,4,0.353,
 7,bda2,1,0.566, 0 , 0 ,1,0.504,
 2,bda3,1,0.442, 0 , 0 ,1,0.348,
 1,bda4,1,0.344, 0 , 0 ,1,0.542,
 3,bda5,4,0.786, 0 , 0 ,1,0.391,
 0,bda6,1,0.757, 0 , 0 ,1,0.534,
 6,bda7,1,0.564, 0 , 0 ,4,0.465,
 4,bda8,4,0.628, 0 , 0 ,4,0.315,
 5,bda9,1,0.410, 0 , 0 ,4,0.773,
 5,bda2,4,0.297, 0 , 0 ,1,0.692,
 1,bda3,1,0.459, 0 , 0 ,1,0.334,
