nonsense, comment,Comment,,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\Head_ADBF.csv,Header,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\AudioAdapt.exe
Stim/,StimDir,Stim/,DataDir
1,ITI,0.5,ISI,0.3,AISI,3,MaximumWait
8,Number Of Trials,14,NumberOfPasses,1,NumberOfBlocks
D,Right Button Label

Played at Trial, WaveFile, NRAM,RT,,RT,KJOL,RT,

0,bda2,1,0.776, 0 , 0 ,1,0.444,
 2,bda3,1,0.644, 0 , 0 ,1,0.460,
 3,bda4,1,0.505, 0 , 0 ,1,0.328,
 4,bda5,1,0.477, 0 , 0 ,1,0.592,
 5,bda6,1,0.409, 0 , 0 ,1,0.513,
 6,bda7,1,0.516, 0 , 0 ,1,0.461,
 7,bda8,1,0.999, 0 , 0 ,1,0.423,
 1,bda9,4,0.555, 0 , 0 ,4,0.406,
 3,bda2,1,0.871, 0 , 0 ,4,0.464,
 6,bda3,1,0.757, 0 , 0 ,1,0.297,
 0,bda4,1,0.585, 0 , 0 ,1,0.561,
 5,bda5,1,1.440, 0 , 0 ,1,0.446,
 4,bda6,1,0.467, 0 , 0 ,4,0.464,
 2,bda7,4,1.195, 0 , 0 ,1,0.658,
 7,bda8,4,2.419, 0 , 0 ,1,0.480,
 1,bda9,1,0.808, 0 , 0 ,4,0.339,
 1,bda2,4,0.956, 0 , 0 ,1,0.416,
 5,bda3,1,1.881, 0 , 0 ,1,0.560,
 6,bda4,4,1.432, 0 , 0 ,1,0.391,
 2,bda5,1,1.218, 0 , 0 ,1,0.389,
 7,bda6,1,0.982, 0 , 0 ,4,0.366,
 4,bda7,1,0.711, 0 , 0 ,4,0.319,
 3,bda8,1,0.665, 0 , 0 ,4,0.425,
 0,bda9,1,2.015, 0 , 0 ,4,0.266,
 6,bda2,1,0.683, 0 , 0 ,1,0.625,
 0,bda3,1,1.581, 0 , 0 ,4,0.470,
 7,bda4,1,0.654, 0 , 0 ,1,0.505,
 5,bda5,1,0.621, 0 , 0 ,4,0.654,
 2,bda6,4,1.071, 0 , 0 ,1,0.480,
 3,bda7,4,2.411, 0 , 0 ,4,0.564,
 1,bda8,4,0.780, 0 , 0 ,4,1.062,
 4,bda9,4,0.729, 0 , 0 ,4,0.521,
 5,bda2,1,0.550, 0 , 0 ,1,0.559,
 1,bda3,1,0.884, 0 , 0 ,1,0.449,
 4,bda4,1,0.894, 0 , 0 ,1,0.728,
 6,bda5,1,0.567, 0 , 0 ,1,0.497,
 7,bda6,1,1.392, 0 , 0 ,1,0.486,
 2,bda7,1,2.490, 0 , 0 ,1,0.653,
 0,bda8,1,1.418, 0 , 0 ,4,0.391,
 3,bda9,1,1.413, 0 , 0 ,4,0.339,
 0,bda2,1,1.636, 0 , 0 ,4,0.419,
 4,bda3,1,0.464, 0 , 0 ,4,0.371,
 5,bda4,1,0.644, 0 , 0 ,4,0.354,
 7,bda5,1,0.472, 0 , 0 ,4,0.352,
 3,bda6,4,1.454, 0 , 0 ,4,0.449,
 1,bda7,4,1.020, 0 , 0 ,1,0.508,
 2,bda8,4,0.673, 0 , 0 ,4,0.365,
 6,bda9,1,0.729, 0 , 0 ,4,0.592,
 5,bda2,1,0.930, 0 , 0 ,1,0.692,
 0,bda3,1,1.046, 0 , 0 ,1,0.422,
 3,bda4,1,0.555, 0 , 0 ,1,0.423,
 1,bda5,1,0.464, 0 , 0 ,1,0.551,
 7,bda6,4,1.655, 0 , 0 ,4,0.327,
 6,bda7,4,1.382, 0 , 0 ,1,0.799,
 4,bda8,4,0.517, 0 , 0 ,4,0.654,
 2,bda9,4,0.536, 0 , 0 ,4,0.337,
 6,bda2,1,0.436, 0 , 0 ,1,0.523,
 2,bda3,1,0.480, 0 , 0 ,1,0.524,
 0,bda4,1,0.776, 0 , 0 ,1,0.481,
 3,bda5,1,0.556, 0 , 0 ,4,0.456,
 5,bda6,4,0.685, 0 , 0 ,4,0.404,
 4,bda7,4,1.781, 0 , 0 ,4,0.412,
 7,bda8,4,1.343, 0 , 0 ,4,0.315,
 1,bda9,4,0.496, 0 , 0 ,4,0.407,
 6,bda2,1,0.438, 0 , 0 ,1,0.349,
 4,bda3,1,0.719, 0 , 0 ,4,0.450,
 1,bda4,1,0.439, 0 , 0 ,1,0.603,
 3,bda5,1,0.455, 0 , 0 ,4,0.308,
 5,bda6,1,0.675, 0 , 0 ,4,0.796,
 0,bda7,4,0.637, 0 , 0 ,4,0.327,
 2,bda8,4,1.310, 0 , 0 ,4,1.309,
 7,bda9,4,0.345, 0 , 0 ,4,0.381,
 4,bda2,1,0.834, 0 , 0 ,1,2.320,
 2,bda3,1,0.513, 0 , 0 ,1,0.816,
 5,bda4,1,1.349, 0 , 0 ,1,1.030,
 0,bda5,4,1.313, 0 , 0 ,1,0.710,
 1,bda6,4,1.407, 0 , 0 ,1,0.982,
 7,bda7,4,1.295, 0 , 0 ,1,1.756,
 6,bda8,4,0.776, 0 , 0 ,4,1.659,
 3,bda9,4,1.030, 0 , 0 ,4,1.044,
