nonsense, comment,Comment,,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\Head_ADBF.csv,Header,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\AudioAdapt.exe
Stim/,StimDir,Stim/,DataDir
1,ITI,0.5,ISI,0.3,AISI,3,MaximumWait
8,Number Of Trials,14,NumberOfPasses,1,NumberOfBlocks
D,Right Button Label

Played at Trial, WaveFile, NKIM,RT,BNGU,RT,,RT,

7,bda2,1,0.533,1,0.394, 0 , 0 ,
 2,bda3,1,0.535,1,0.465, 0 , 0 ,
 3,bda4,1,1.091,1,0.547, 0 , 0 ,
 1,bda5,1,0.613,1,0.659, 0 , 0 ,
 5,bda6,4,0.444,1,0.653, 0 , 0 ,
 6,bda7,4,0.497,4,0.520, 0 , 0 ,
 0,bda8,4,0.465,4,0.533, 0 , 0 ,
 4,bda9,4,1.176,4,1.086, 0 , 0 ,
 6,bda2,1,0.436,1,0.420, 0 , 0 ,
 7,bda3,1,0.392,1,0.394, 0 , 0 ,
 2,bda4,1,0.443,1,0.457, 0 , 0 ,
 3,bda5,4,0.505,1,0.424, 0 , 0 ,
 0,bda6,1,0.530,1,0.408, 0 , 0 ,
 1,bda7,1,0.371,1,0.477, 0 , 0 ,
 4,bda8,4,0.712,4,1.107, 0 , 0 ,
 5,bda9,4,0.572,4,0.613, 0 , 0 ,
 5,bda2,1,0.526,1,0.644, 0 , 0 ,
 0,bda3,1,0.445,1,0.413, 0 , 0 ,
 2,bda4,1,0.495,1,0.409, 0 , 0 ,
 4,bda5,4,0.571,1,0.436, 0 , 0 ,
 3,bda6,4,0.518,1,0.337, 0 , 0 ,
 7,bda7,4,1.028,1,1.263, 0 , 0 ,
 1,bda8,4,0.603,1,0.663, 0 , 0 ,
 6,bda9,4,0.485,4,0.563, 0 , 0 ,
 6,bda2,1,0.451,1,0.992, 0 , 0 ,
 3,bda3,1,0.485,1,0.594, 0 , 0 ,
 0,bda4,1,0.477,1,0.471, 0 , 0 ,
 7,bda5,1,0.462,1,0.491, 0 , 0 ,
 4,bda6,4,0.536,4,0.755, 0 , 0 ,
 5,bda7,4,0.558,4,0.669, 0 , 0 ,
 1,bda8,4,0.918,1,0.754, 0 , 0 ,
 2,bda9,4,0.468,4,0.450, 0 , 0 ,
 1,bda2,1,0.461,1,0.460, 0 , 0 ,
 4,bda3,1,0.518,1,0.770, 0 , 0 ,
 2,bda4,1,0.637,1,0.443, 0 , 0 ,
 5,bda5,4,0.525,1,0.453, 0 , 0 ,
 3,bda6,4,0.478,1,0.507, 0 , 0 ,
 7,bda7,4,0.469,4,0.579, 0 , 0 ,
 6,bda8,4,0.440,4,0.549, 0 , 0 ,
 0,bda9,4,0.455,4,0.403, 0 , 0 ,
 1,bda2,1,0.475,1,0.466, 0 , 0 ,
 3,bda3,1,0.947,1,0.729, 0 , 0 ,
 0,bda4,1,0.439,1,0.507, 0 , 0 ,
 6,bda5,4,0.553,1,0.674, 0 , 0 ,
 5,bda6,4,0.452,1,0.693, 0 , 0 ,
 7,bda7,4,0.463,4,0.376, 0 , 0 ,
 2,bda8,4,0.506,4,0.425, 0 , 0 ,
 4,bda9,4,0.416,4,0.528, 0 , 0 ,
 6,bda2,1,0.456,1,0.519, 0 , 0 ,
 1,bda3,1,0.449,1,0.485, 0 , 0 ,
 5,bda4,1,0.468,1,0.577, 0 , 0 ,
 3,bda5,1,0.578,4,0.448, 0 , 0 ,
 2,bda6,1,0.572,1,0.498, 0 , 0 ,
 0,bda7,4,0.444,4,0.336, 0 , 0 ,
 7,bda8,4,0.564,1,1.255, 0 , 0 ,
 4,bda9,4,0.483,4,0.363, 0 , 0 ,
 3,bda2,1,0.418,1,0.439, 0 , 0 ,
 5,bda3,1,0.451,1,0.405, 0 , 0 ,
