nonsense, comment,Comment,,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\Head_ADBF.csv,Header,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\AudioAdapt.exe
Stim/,StimDir,Stim/,DataDir
1,ITI,0.5,ISI,0.3,AISI,3,MaximumWait
8,Number Of Trials,14,NumberOfPasses,1,NumberOfBlocks
D,Right Button Label

Played at Trial, WaveFile, ,RT,,RT,WKHA,RT,

3,bda2, 0 , 0 , 0 , 0 ,1,0.491,
 1,bda3, 0 , 0 , 0 , 0 ,1,0.610,
 4,bda4, 0 , 0 , 0 , 0 ,1,0.625,
 2,bda5, 0 , 0 , 0 , 0 ,1,0.723,
 5,bda6, 0 , 0 , 0 , 0 ,4,0.799,
 6,bda7, 0 , 0 , 0 , 0 ,4,0.588,
 7,bda8, 0 , 0 , 0 , 0 ,4,0.550,
 0,bda9, 0 , 0 , 0 , 0 ,4,0.490,
 0,bda2, 0 , 0 , 0 , 0 ,1,0.921,
 4,bda3, 0 , 0 , 0 , 0 ,1,0.527,
 5,bda4, 0 , 0 , 0 , 0 ,1,0.474,
 1,bda5, 0 , 0 , 0 , 0 ,1,0.419,
 6,bda6, 0 , 0 , 0 , 0 ,4,1.710,
 2,bda7, 0 , 0 , 0 , 0 ,4,0.528,
 7,bda8, 0 , 0 , 0 , 0 ,4,0.388,
 3,bda9, 0 , 0 , 0 , 0 ,4,0.463,
 6,bda2, 0 , 0 , 0 , 0 ,1,0.628,
 3,bda3, 0 , 0 , 0 , 0 ,1,0.571,
 5,bda4, 0 , 0 , 0 , 0 ,1,0.517,
 4,bda5, 0 , 0 , 0 , 0 ,1,0.551,
 0,bda6, 0 , 0 , 0 , 0 ,4,0.588,
 2,bda7, 0 , 0 , 0 , 0 ,4,0.937,
 7,bda8, 0 , 0 , 0 , 0 ,4,0.885,
 1,bda9, 0 , 0 , 0 , 0 ,4,0.727,
 4,bda2, 0 , 0 , 0 , 0 ,1,0.628,
 5,bda3, 0 , 0 , 0 , 0 ,1,0.721,
 0,bda4, 0 , 0 , 0 , 0 ,1,0.571,
 3,bda5, 0 , 0 , 0 , 0 ,4,0.712,
 2,bda6, 0 , 0 , 0 , 0 ,4,0.641,
