nonsense, comment,Comment,,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\Head_ADBF.csv,Header,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\AudioAdapt.exe
Stim/,StimDir,Stim/,DataDir
1,ITI,0.5,ISI,0.3,AISI,3,MaximumWait
8,Number Of Trials,14,NumberOfPasses,1,NumberOfBlocks
D,Right Button Label

Played at Trial, WaveFile, KPAO,RT,ANAP,RT,,RT,

4,bda2,1,0.467,1,0.426, 0 , 0 ,
 3,bda3,1,0.440,1,0.403, 0 , 0 ,
 6,bda4,1,0.446,1,0.400, 0 , 0 ,
 0,bda5,1,0.556,4,0.653, 0 , 0 ,
 5,bda6,1,0.854,4,0.838, 0 , 0 ,
 2,bda7,1,0.527,4,0.438, 0 , 0 ,
 1,bda8,1,0.593,4,0.461, 0 , 0 ,
 7,bda9,4,0.557,4,0.373, 0 , 0 ,
 2,bda2,1,0.410,1,0.434, 0 , 0 ,
 1,bda3,1,0.439,1,0.480, 0 , 0 ,
 4,bda4,1,1.023,1,1.385, 0 , 0 ,
 0,bda5,1,0.530,1,0.468, 0 , 0 ,
 5,bda6,1,0.500,4,0.408, 0 , 0 ,
 7,bda7,4,0.516,4,0.390, 0 , 0 ,
 3,bda8,4,0.452,4,0.413, 0 , 0 ,
 6,bda9,4,0.482,4,0.390, 0 , 0 ,
 7,bda2,1,0.539,1,0.520, 0 , 0 ,
 4,bda3,1,0.500,1,0.435, 0 , 0 ,
 6,bda4,1,0.470,1,0.425, 0 , 0 ,
 5,bda5,1,0.633,1,0.449, 0 , 0 ,
 3,bda6,1,0.654,4,0.424, 0 , 0 ,
 1,bda7,4,0.612,4,0.381, 0 , 0 ,
 0,bda8,4,0.580,4,0.394, 0 , 0 ,
 2,bda9,4,0.852,4,0.879, 0 , 0 ,
 3,bda2,1,0.624,1,0.446, 0 , 0 ,
 0,bda3,1,0.476,1,0.413, 0 , 0 ,
 5,bda4,1,0.421,1,0.670, 0 , 0 ,
 1,bda5,1,1.011,1,1.162, 0 , 0 ,
 2,bda6,4,0.569,4,0.368, 0 , 0 ,
 7,bda7,4,0.518,4,0.455, 0 , 0 ,
 6,bda8,4,0.630,4,0.404, 0 , 0 ,
 4,bda9,4,0.472,4,0.394, 0 , 0 ,
 1,bda2,1,0.512,1,0.438, 0 , 0 ,
 5,bda3,1,0.923,1,0.503, 0 , 0 ,
 2,bda4,1,0.507,1,0.532, 0 , 0 ,
 0,bda5,1,0.387,1,0.516, 0 , 0 ,
 7,bda6,1,0.444,4,0.432, 0 , 0 ,
 3,bda7,1,0.738,4,0.395, 0 , 0 ,
 4,bda8,4,0.451,4,0.410, 0 , 0 ,
 6,bda9,4,0.577,4,0.411, 0 , 0 ,
 4,bda2,1,0.634,1,0.425, 0 , 0 ,
 0,bda3,1,0.438,1,0.616, 0 , 0 ,
 6,bda4,1,0.464,1,0.442, 0 , 0 ,
 5,bda5,1,0.443,1,0.457, 0 , 0 ,
 1,bda6,1,1.054,4,0.430, 0 , 0 ,
 3,bda7,4,0.750,4,0.361, 0 , 0 ,
 2,bda8,4,0.529,4,0.430, 0 , 0 ,
 7,bda9,4,0.552,4,0.362, 0 , 0 ,
 4,bda2,1,0.411,1,0.364, 0 , 0 ,
 6,bda3,1,0.352,1,0.317, 0 , 0 ,
 0,bda4,1,0.414,1,0.368, 0 , 0 ,
 5,bda5,1,0.381,1,0.348, 0 , 0 ,
 1,bda6,1,0.856,4,0.793, 0 , 0 ,
 2,bda7,1,0.562,4,0.419, 0 , 0 ,
 3,bda8,4,0.513,4,0.435, 0 , 0 ,
 7,bda9,4,0.561,4,0.346, 0 , 0 ,
 1,bda2,1,0.413,1,0.579, 0 , 0 ,
 2,bda3,1,1.368,1,0.748, 0 , 0 ,
 5,bda4,1,0.624,1,0.440, 0 , 0 ,
 3,bda5,1,0.480,4,0.541, 0 , 0 ,
 6,bda6,1,0.495,4,0.402, 0 , 0 ,
 4,bda7,4,0.602,4,0.381, 0 , 0 ,
 7,bda8,4,0.501,4,0.424, 0 , 0 ,
 0,bda9,4,0.637,4,0.414, 0 , 0 ,
 6,bda2,1,0.452,1,0.574, 0 , 0 ,
 5,bda3,1,0.589,1,0.403, 0 , 0 ,
 1,bda4,1,0.501,1,0.492, 0 , 0 ,
 7,bda5,1,0.452,1,0.539, 0 , 0 ,
 4,bda6,1,0.562,4,0.382, 0 , 0 ,
 0,bda7,4,0.761,4,0.357, 0 , 0 ,
 3,bda8,4,1.213,4,0.595, 0 , 0 ,
 2,bda9,4,0.541,4,0.445, 0 , 0 ,
 3,bda2,1,0.533,1,0.492, 0 , 0 ,
