nonsense, comment,Comment,,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\Head_ADBF.csv,Header,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\AudioAdapt.exe
Stim/,StimDir,Stim/,DataDir
1,ITI,0.5,ISI,0.3,AISI,3,MaximumWait
8,Number Of Trials,14,NumberOfPasses,1,NumberOfBlocks
D,Right Button Label

Played at Trial, WaveFile, SHAN,RT,MBUT,RT,,RT,

0,bda2,1,0.640,1,0.958, 0 , 0 ,
 2,bda3,1,0.432,1,0.357, 0 , 0 ,
 4,bda4,1,0.524,1,0.393, 0 , 0 ,
 6,bda5,1,0.449,1,0.306, 0 , 0 ,
 1,bda6,4,0.478,4,0.449, 0 , 0 ,
 5,bda7,4,0.509,4,0.418, 0 , 0 ,
 7,bda8,4,0.434,4,0.404, 0 , 0 ,
 3,bda9,4,0.426,4,0.363, 0 , 0 ,
 0,bda2,1,0.735,1,1.218, 0 , 0 ,
 1,bda3,1,0.451,1,0.448, 0 , 0 ,
 5,bda4,1,0.518,1,0.554, 0 , 0 ,
 7,bda5,1,0.464,1,0.452, 0 , 0 ,
 6,bda6,1,0.527,1,0.505, 0 , 0 ,
 2,bda7,4,0.492,4,0.698, 0 , 0 ,
 3,bda8,4,0.455,1,0.523, 0 , 0 ,
 4,bda9,4,0.466,4,0.394, 0 , 0 ,
 4,bda2,1,0.474,1,0.421, 0 , 0 ,
 1,bda3,1,0.536,1,0.533, 0 , 0 ,
 5,bda4,1,0.521,4,0.421, 0 , 0 ,
 2,bda5,1,0.480,1,0.368, 0 , 0 ,
 6,bda6,1,0.880,1,0.947, 0 , 0 ,
 7,bda7,4,0.591,1,0.474, 0 , 0 ,
 3,bda8,4,0.409,4,0.774, 0 , 0 ,
 0,bda9,4,0.449,4,0.529, 0 , 0 ,
 0,bda2,1,0.732,1,1.070, 0 , 0 ,
 5,bda3,1,0.376,1,0.470, 0 , 0 ,
 3,bda4,1,0.512,1,0.393, 0 , 0 ,
 4,bda5,1,0.455,1,0.544, 0 , 0 ,
 6,bda6,4,0.469,4,0.587, 0 , 0 ,
 2,bda7,4,0.457,4,0.548, 0 , 0 ,
 7,bda8,4,0.431,4,0.471, 0 , 0 ,
 1,bda9,4,0.415,4,0.420, 0 , 0 ,
 0,bda2,1,0.652,1,1.213, 0 , 0 ,
 3,bda3,1,0.484,1,0.467, 0 , 0 ,
 4,bda4,1,0.435,1,0.402, 0 , 0 ,
 1,bda5,1,0.612,1,0.457, 0 , 0 ,
 7,bda6,1,0.655,1,0.676, 0 , 0 ,
 2,bda7,1,0.701,4,0.515, 0 , 0 ,
 6,bda8,4,0.433,4,0.441, 0 , 0 ,
 5,bda9,4,0.439,4,0.434, 0 , 0 ,
 4,bda2,1,0.490,1,0.510, 0 , 0 ,
 0,bda3,1,0.461,1,0.463, 0 , 0 ,
 6,bda4,1,0.447,1,0.460, 0 , 0 ,
 7,bda5,1,0.451,1,0.401, 0 , 0 ,
 3,bda6,1,0.921,1,0.909, 0 , 0 ,
 2,bda7,4,0.434,4,0.469, 0 , 0 ,
 1,bda8,4,0.430,4,0.459, 0 , 0 ,
 5,bda9,4,0.407,4,0.396, 0 , 0 ,
 0,bda2,1,0.653,1,1.207, 0 , 0 ,
 1,bda3,1,0.561,1,0.445, 0 , 0 ,
 6,bda4,1,0.445,1,0.298, 0 , 0 ,
 4,bda5,1,0.449,1,0.418, 0 , 0 ,
 2,bda6,4,0.536,4,0.420, 0 , 0 ,
