nonsense, comment,Comment,,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\Head_ADBF.csv,Header,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\AudioAdapt.exe
Stim/,StimDir,Stim/,DataDir
1,ITI,0.5,ISI,0.3,AISI,3,MaximumWait
8,Number Of Trials,14,NumberOfPasses,1,NumberOfBlocks
D,Right Button Label

Played at Trial, WaveFile, ,RT,,RT,CALB,RT,

3,bda2, 0 , 0 , 0 , 0 ,1,0.509,
 4,bda3, 0 , 0 , 0 , 0 ,1,0.482,
 7,bda4, 0 , 0 , 0 , 0 ,1,0.451,
 0,bda5, 0 , 0 , 0 , 0 ,1,0.594,
 5,bda6, 0 , 0 , 0 , 0 ,1,0.515,
 6,bda7, 0 , 0 , 0 , 0 ,4,0.428,
 2,bda8, 0 , 0 , 0 , 0 ,4,0.490,
 1,bda9, 0 , 0 , 0 , 0 ,4,0.504,
 7,bda2, 0 , 0 , 0 , 0 ,1,0.492,
 5,bda3, 0 , 0 , 0 , 0 ,1,0.424,
 2,bda4, 0 , 0 , 0 , 0 ,1,0.540,
 4,bda5, 0 , 0 , 0 , 0 ,1,0.511,
 3,bda6, 0 , 0 , 0 , 0 ,1,0.518,
 6,bda7, 0 , 0 , 0 , 0 ,1,0.544,
 1,bda8, 0 , 0 , 0 , 0 ,4,0.453,
 0,bda9, 0 , 0 , 0 , 0 ,4,0.586,
 1,bda2, 0 , 0 , 0 , 0 ,1,0.484,
 5,bda3, 0 , 0 , 0 , 0 ,1,0.474,
 3,bda4, 0 , 0 , 0 , 0 ,1,0.451,
 2,bda5, 0 , 0 , 0 , 0 ,1,0.524,
 6,bda6, 0 , 0 , 0 , 0 ,1,0.487,
 0,bda7, 0 , 0 , 0 , 0 ,4,0.432,
 7,bda8, 0 , 0 , 0 , 0 ,4,0.472,
 4,bda9, 0 , 0 , 0 , 0 ,4,0.512,
 6,bda2, 0 , 0 , 0 , 0 ,1,0.466,
 1,bda3, 0 , 0 , 0 , 0 ,1,0.505,
 0,bda4, 0 , 0 , 0 , 0 ,1,0.544,
 7,bda5, 0 , 0 , 0 , 0 ,1,0.469,
 5,bda6, 0 , 0 , 0 , 0 ,1,0.581,
 2,bda7, 0 , 0 , 0 , 0 ,1,0.739,
 3,bda8, 0 , 0 , 0 , 0 ,4,0.807,
 4,bda9, 0 , 0 , 0 , 0 ,4,0.516,
 0,bda2, 0 , 0 , 0 , 0 ,1,0.744,
 1,bda3, 0 , 0 , 0 , 0 ,1,0.587,
 4,bda4, 0 , 0 , 0 , 0 ,1,0.481,
 5,bda5, 0 , 0 , 0 , 0 ,1,0.450,
 3,bda6, 0 , 0 , 0 , 0 ,1,1.063,
 2,bda7, 0 , 0 , 0 , 0 ,4,0.494,
 7,bda8, 0 , 0 , 0 , 0 ,1,0.442,
 6,bda9, 0 , 0 , 0 , 0 ,4,0.471,
 3,bda2, 0 , 0 , 0 , 0 ,1,0.392,
 0,bda3, 0 , 0 , 0 , 0 ,1,0.510,
 5,bda4, 0 , 0 , 0 , 0 ,1,0.394,
 1,bda5, 0 , 0 , 0 , 0 ,1,0.736,
 6,bda6, 0 , 0 , 0 , 0 ,1,0.909,
 4,bda7, 0 , 0 , 0 , 0 ,4,0.369,
 7,bda8, 0 , 0 , 0 , 0 ,4,0.381,
 2,bda9, 0 , 0 , 0 , 0 ,4,0.452,
 2,bda2, 0 , 0 , 0 , 0 ,1,0.466,
 5,bda3, 0 , 0 , 0 , 0 ,1,0.454,
 3,bda4, 0 , 0 , 0 , 0 ,1,0.533,
 6,bda5, 0 , 0 , 0 , 0 ,4,0.715,
 4,bda6, 0 , 0 , 0 , 0 ,1,0.698,
 7,bda7, 0 , 0 , 0 , 0 ,4,0.445,
 1,bda8, 0 , 0 , 0 , 0 ,4,0.487,
 0,bda9, 0 , 0 , 0 , 0 ,4,0.548,
 3,bda2, 0 , 0 , 0 , 0 ,1,0.472,
 5,bda3, 0 , 0 , 0 , 0 ,1,0.556,
 6,bda4, 0 , 0 , 0 , 0 ,1,0.508,
 2,bda5, 0 , 0 , 0 , 0 ,1,0.574,
 1,bda6, 0 , 0 , 0 , 0 ,1,0.423,
 0,bda7, 0 , 0 , 0 , 0 ,4,0.523,
 7,bda8, 0 , 0 , 0 , 0 ,4,0.471,
 4,bda9, 0 , 0 , 0 , 0 ,4,0.523,
 4,bda2, 0 , 0 , 0 , 0 ,1,0.446,
 2,bda3, 0 , 0 , 0 , 0 ,1,0.434,
 6,bda4, 0 , 0 , 0 , 0 ,1,0.451,
 1,bda5, 0 , 0 , 0 , 0 ,1,0.499,
 3,bda6, 0 , 0 , 0 , 0 ,4,0.857,
 5,bda7, 0 , 0 , 0 , 0 ,4,0.416,
