nonsense, comment,Comment,,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\Head_ADBF.csv,Header,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\AudioAdapt.exe
Stim/,StimDir,Stim/,DataDir
1,ITI,0.5,ISI,0.3,AISI,3,MaximumWait
8,Number Of Trials,14,NumberOfPasses,1,NumberOfBlocks
D,Right Button Label

Played at Trial, WaveFile, ESAM,RT,SWON,RT,MZHA,RT,

0,bda2,1,0.616,1,0.761,1,0.536,
 3,bda3,1,0.509,1,0.426,1,0.373,
 4,bda4,1,0.453,1,0.409,1,0.429,
 5,bda5,1,0.522,1,0.506,4,0.438,
 1,bda6,1,0.514,1,0.536,4,0.419,
 7,bda7,1,0.516,4,0.453,4,0.385,
 6,bda8,4,0.399,4,0.544,4,0.420,
 2,bda9,4,0.515,4,0.376,4,0.394,
 0,bda2,1,0.924,1,0.561,1,0.531,
 7,bda3,1,0.454,1,0.412,1,0.450,
 5,bda4,1,0.430,1,0.368,1,0.423,
 3,bda5,1,0.454,4,0.368,4,0.415,
 1,bda6,1,0.510,4,0.422,4,0.402,
 6,bda7,4,0.555,4,0.562,4,0.405,
 2,bda8,4,0.413,4,0.393,4,0.408,
 4,bda9,4,0.513,4,0.393,4,0.402,
 0,bda2,1,0.710,1,0.694,1,0.490,
 3,bda3,1,0.555,1,0.365,1,0.426,
 5,bda4,1,0.451,1,0.485,4,0.734,
 2,bda5,1,0.444,1,0.779,4,0.362,
 1,bda6,1,0.625,4,0.409,4,0.371,
 6,bda7,4,0.704,4,0.421,4,0.408,
 7,bda8,4,0.520,4,0.401,4,0.350,
 4,bda9,4,0.438,4,0.484,4,0.448,
 5,bda2,1,0.441,1,0.373,1,0.575,
 7,bda3,1,0.661,1,0.512,1,0.420,
 2,bda4,1,0.448,1,0.399,1,0.538,
 3,bda5,1,0.444,1,0.457,1,0.525,
 4,bda6,1,0.483,4,0.430,4,0.455,
 1,bda7,1,0.785,4,0.582,4,0.684,
 0,bda8,4,0.420,4,0.541,4,0.375,
 6,bda9,4,0.398,4,0.409,4,0.496,
 5,bda2,1,0.482,1,0.576,1,0.419,
 4,bda3,1,0.502,1,0.725,1,0.440,
 3,bda4,1,0.382,1,0.539,1,0.582,
 1,bda5,1,0.353,1,0.831,4,0.512,
 0,bda6,1,0.418,4,0.512,4,0.440,
 6,bda7,1,0.612,4,0.488,4,0.549,
 2,bda8,4,0.423,4,0.455,4,0.412,
 7,bda9,4,0.354,4,0.443,4,0.500,
 0,bda2,1,0.837,1,1.158,1,0.579,
 3,bda3,1,0.406,1,0.386,1,0.372,
 6,bda4,1,0.439,1,0.321,1,0.433,
 4,bda5,1,0.666,1,0.537,4,0.466,
 1,bda6,1,0.338,4,0.619,4,0.427,
 7,bda7,1,0.536,1,0.352,4,0.426,
 2,bda8,4,0.403,4,0.406,4,0.430,
 5,bda9,4,0.323,4,0.394,4,0.365,
 4,bda2,1,0.383,1,0.356,1,0.485,
 6,bda3,1,0.456,1,0.350,1,0.479,
 0,bda4,1,0.558,1,0.398,1,0.595,
 7,bda5,1,0.427,1,0.385,4,0.539,
 1,bda6,1,0.453,4,0.711,4,0.546,
 5,bda7,1,0.525,1,0.663,4,0.328,
 2,bda8,1,0.425,4,0.382,4,0.446,
 3,bda9,4,0.355,4,0.433,4,0.469,
 2,bda2,1,0.410,1,0.350,1,0.372,
 7,bda3,1,0.465,1,0.361,1,0.518,
 3,bda4,1,0.719,1,0.472,4,0.950,
 5,bda5,1,0.479,1,0.481,1,0.457,
 4,bda6,1,0.327,4,0.441,4,0.440,
 0,bda7,1,0.382,4,0.469,4,0.389,
 6,bda8,1,0.576,4,0.372,4,0.357,
 1,bda9,4,0.519,4,0.371,4,0.517,
 7,bda2,1,0.559,1,0.412,1,0.482,
 3,bda3,1,0.495,1,0.430,1,0.496,
 4,bda4,1,0.542,1,0.415,1,0.579,
 2,bda5,1,0.432,4,0.361,1,0.397,
 1,bda6,1,0.370,4,0.521,1,0.556,
 6,bda7,4,0.507,4,0.397,4,0.474,
 0,bda8,4,0.458,4,0.448,4,0.381,
 5,bda9,4,0.572,4,0.503,4,0.491,
 2,bda2,1,0.449,1,0.367,1,0.388,
 4,bda3,1,0.363,1,0.369,1,0.793,
 3,bda4,1,0.601,1,0.555,1,0.629,
 0,bda5,1,0.438,1,0.642,4,0.508,
 6,bda6,1,0.681,4,0.427,4,0.408,
 1,bda7,4,0.714,4,0.477,4,0.442,
 7,bda8,4,0.419,4,0.373,4,0.392,
 5,bda9,4,0.551,4,0.496,4,0.424,
 2,bda2,1,0.432,1,0.364,1,0.444,
 6,bda3,1,0.428,1,0.299,1,0.479,
 7,bda4,1,0.542,1,0.498,1,0.536,
 1,bda5,1,0.465,1,0.431,1,0.528,
 3,bda6,1,0.537,4,0.438,4,0.486,
 5,bda7,4,0.549,4,0.366,4,0.461,
 0,bda8,4,0.497,4,0.391,4,0.422,
 4,bda9,4,0.351,4,0.388,4,0.442,
 6,bda2,1,0.464,1,0.381,1,0.423,
 0,bda3,1,0.374,1,0.378,1,0.376,
 3,bda4,1,0.522,1,0.362,1,0.452,
 4,bda5,1,0.469,1,0.476,1,0.438,
