:BF:ID:,Comment,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\Head_IDBF.csv,Header
500,ITI,3000,MaximumWait
8,Number Of Trials,18,NumberOfPasses,1,NumberOfBlocks
B,Left Button Label,D,Right Button Label
Played at Trial,AudioWaveFile1,SVIA,RT,SPAC,RT,,RT,
0,bda2.wav,1,883,1,1495,0,0,
1,bda3.wav,1,717,1,669,0,0,
4,bda4.wav,1,1938,1,547,0,0,
3,bda5.wav,1,1586,1,1066,0,0,
2,bda6.wav,1,1391,4,2258,0,0,
5,bda7.wav,1,1856,4,718,0,0,
7,bda8.wav,4,811,4,713,0,0,
6,bda9.wav,4,809,4,785,0,0,
1,bda2.wav,1,582,1,703,0,0,
0,bda3.wav,1,611,1,551,0,0,
6,bda4.wav,1,512,1,715,0,0,
3,bda5.wav,4,561,1,1158,0,0,
7,bda6.wav,4,844,4,713,0,0,
2,bda7.wav,4,680,4,572,0,0,
5,bda8.wav,4,478,4,544,0,0,
4,bda9.wav,4,569,4,609,0,0,
7,bda2.wav,1,674,1,845,0,0,
3,bda3.wav,1,621,1,613,0,0,
0,bda4.wav,1,595,1,585,0,0,
2,bda5.wav,1,775,1,599,0,0,
1,bda6.wav,4,721,4,556,0,0,
5,bda7.wav,4,540,4,763,0,0,
4,bda8.wav,4,663,4,687,0,0,
6,bda9.wav,4,641,4,637,0,0,
3,bda2.wav,1,505,1,493,0,0,
5,bda3.wav,1,880,1,572,0,0,
2,bda4.wav,1,678,1,695,0,0,
1,bda5.wav,1,645,1,838,0,0,
7,bda6.wav,4,896,1,780,0,0,
6,bda7.wav,4,562,4,705,0,0,
0,bda8.wav,4,465,4,581,0,0,
4,bda9.wav,4,440,4,595,0,0,
5,bda2.wav,1,455,1,626,0,0,
7,bda3.wav,1,490,1,471,0,0,
3,bda4.wav,1,471,1,1034,0,0,
0,bda5.wav,4,792,1,792,0,0,
1,bda6.wav,4,520,4,1053,0,0,
6,bda7.wav,4,543,4,589,0,0,
4,bda8.wav,4,465,4,586,0,0,
2,bda9.wav,4,451,4,586,0,0,
0,bda2.wav,1,567,1,815,0,0,
7,bda3.wav,1,456,1,689,0,0,
1,bda4.wav,1,629,1,375,0,0,
4,bda5.wav,1,481,1,856,0,0,
2,bda6.wav,4,437,1,476,0,0,
6,bda7.wav,4,437,4,366,0,0,
5,bda8.wav,4,424,4,371,0,0,
3,bda9.wav,4,407,4,489,0,0,
2,bda2.wav,1,814,1,430,0,0,
1,bda3.wav,1,557,1,438,0,0,
0,bda4.wav,1,885,1,733,0,0,
4,bda5.wav,4,482,1,1202,0,0,
5,bda6.wav,4,498,1,530,0,0,
3,bda7.wav,4,507,1,994,0,0,
6,bda8.wav,4,421,4,527,0,0,
7,bda9.wav,4,500,4,623,0,0,
2,bda2.wav,1,454,1,628,0,0,
6,bda3.wav,1,422,1,544,0,0,
4,bda4.wav,1,501,1,503,0,0,
0,bda5.wav,4,426,1,722,0,0,
5,bda6.wav,4,457,1,891,0,0,
1,bda7.wav,4,589,4,913,0,0,
3,bda8.wav,4,556,4,484,0,0,
7,bda9.wav,4,375,4,548,0,0,
6,bda2.wav,1,448,1,419,0,0,
2,bda3.wav,1,681,1,364,0,0,
5,bda4.wav,1,474,1,504,0,0,
7,bda5.wav,1,1023,1,345,0,0,
0,bda6.wav,1,678,1,544,0,0,
4,bda7.wav,4,681,1,471,0,0,
1,bda8.wav,4,385,4,539,0,0,
3,bda9.wav,4,593,4,423,0,0,
4,bda2.wav,1,588,1,581,0,0,
0,bda3.wav,1,496,1,542,0,0,
2,bda4.wav,1,492,1,976,0,0,
7,bda5.wav,1,614,1,893,0,0,
1,bda6.wav,4,1360,4,661,0,0,
