:BF:ID:,Comment,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\Head_IDBF.csv,Header
500,ITI,3000,MaximumWait
8,Number Of Trials,18,NumberOfPasses,1,NumberOfBlocks
B,Left Button Label,D,Right Button Label
Played at Trial,AudioWaveFile1,,RT,GBIS,RT,CPAR,RT,
0,bda2.wav,0,0,1,922,1,1608,
2,bda3.wav,0,0,1,565,1,590,
6,bda4.wav,0,0,1,924,1,743,
1,bda5.wav,0,0,4,1104,4,613,
5,bda6.wav,0,0,4,794,1,373,
7,bda7.wav,0,0,1,861,1,686,
4,bda8.wav,0,0,4,1122,4,652,
3,bda9.wav,0,0,4,518,1,445,
1,bda2.wav,0,0,1,491,1,404,
7,bda3.wav,0,0,1,472,1,554,
0,bda4.wav,0,0,1,515,1,613,
5,bda5.wav,0,0,1,579,1,660,
4,bda6.wav,0,0,1,948,1,481,
2,bda7.wav,0,0,4,607,4,455,
3,bda8.wav,0,0,4,422,1,306,
6,bda9.wav,0,0,4,611,4,408,
4,bda2.wav,0,0,1,475,1,475,
5,bda3.wav,0,0,1,438,1,431,
6,bda4.wav,0,0,1,492,1,479,
2,bda5.wav,0,0,1,602,1,694,
0,bda6.wav,0,0,4,782,1,406,
1,bda7.wav,0,0,4,773,1,484,
7,bda8.wav,0,0,4,649,1,512,
3,bda9.wav,0,0,4,387,4,493,
7,bda2.wav,0,0,1,551,1,584,
3,bda3.wav,0,0,1,450,1,253,
5,bda4.wav,0,0,1,412,1,400,
0,bda5.wav,0,0,1,452,1,349,
6,bda6.wav,0,0,1,526,1,697,
4,bda7.wav,0,0,4,408,4,240,
1,bda8.wav,0,0,4,475,4,274,
2,bda9.wav,0,0,4,469,4,611,
5,bda2.wav,0,0,1,401,1,491,
7,bda3.wav,0,0,1,421,1,624,
0,bda4.wav,0,0,1,655,1,726,
3,bda5.wav,0,0,1,465,1,657,
2,bda6.wav,0,0,1,637,4,616,
4,bda7.wav,0,0,4,536,4,338,
6,bda8.wav,0,0,4,481,1,631,
1,bda9.wav,0,0,4,537,4,671,
7,bda2.wav,0,0,1,453,1,527,
6,bda3.wav,0,0,1,477,1,521,
3,bda4.wav,0,0,1,485,1,525,
2,bda5.wav,0,0,1,500,1,559,
1,bda6.wav,0,0,1,614,1,645,
0,bda7.wav,0,0,1,445,4,1108,
5,bda8.wav,0,0,1,473,4,655,
4,bda9.wav,0,0,4,527,4,337,
6,bda2.wav,0,0,1,469,1,753,
5,bda3.wav,0,0,1,635,1,509,
2,bda4.wav,0,0,1,509,1,445,
4,bda5.wav,0,0,1,722,4,856,
7,bda6.wav,0,0,1,559,4,802,
