:BF:ID:,Comment,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\Head_IDBF.csv,Header
500,ITI,3000,MaximumWait
8,Number Of Trials,18,NumberOfPasses,1,NumberOfBlocks
B,Left Button Label,D,Right Button Label
Played at Trial,AudioWaveFile1,,RT,,RT,JCIA,RT,
1,bda2.wav,0,0,0,0,1,343,
5,bda3.wav,0,0,0,0,1,1256,
2,bda4.wav,0,0,0,0,1,539,
4,bda5.wav,0,0,0,0,1,459,
3,bda6.wav,0,0,0,0,1,551,
6,bda7.wav,0,0,0,0,1,596,
0,bda8.wav,0,0,0,0,1,449,
7,bda9.wav,0,0,0,0,4,732,
1,bda2.wav,0,0,0,0,1,518,
3,bda3.wav,0,0,0,0,1,387,
4,bda4.wav,0,0,0,0,1,420,
2,bda5.wav,0,0,0,0,1,485,
0,bda6.wav,0,0,0,0,1,337,
7,bda7.wav,0,0,0,0,1,673,
5,bda8.wav,0,0,0,0,4,645,
6,bda9.wav,0,0,0,0,4,504,
6,bda2.wav,0,0,0,0,1,485,
5,bda3.wav,0,0,0,0,1,441,
3,bda4.wav,0,0,0,0,1,438,
0,bda5.wav,0,0,0,0,1,519,
1,bda6.wav,0,0,0,0,1,450,
2,bda7.wav,0,0,0,0,1,687,
4,bda8.wav,0,0,0,0,1,852,
7,bda9.wav,0,0,0,0,4,426,
5,bda2.wav,0,0,0,0,1,401,
1,bda3.wav,0,0,0,0,1,573,
0,bda4.wav,0,0,0,0,1,469,
4,bda5.wav,0,0,0,0,1,309,
6,bda6.wav,0,0,0,0,1,477,
7,bda7.wav,0,0,0,0,1,439,
2,bda8.wav,0,0,0,0,1,484,
3,bda9.wav,0,0,0,0,1,569,
6,bda2.wav,0,0,0,0,1,379,
7,bda3.wav,0,0,0,0,1,478,
3,bda4.wav,0,0,0,0,1,379,
4,bda5.wav,0,0,0,0,1,420,
2,bda6.wav,0,0,0,0,1,495,
0,bda7.wav,0,0,0,0,1,1325,
5,bda8.wav,0,0,0,0,4,865,
1,bda9.wav,0,0,0,0,4,962,
2,bda2.wav,0,0,0,0,1,523,
1,bda3.wav,0,0,0,0,1,589,
5,bda4.wav,0,0,0,0,1,654,
7,bda5.wav,0,0,0,0,1,590,
3,bda6.wav,0,0,0,0,1,871,
4,bda7.wav,0,0,0,0,4,651,
6,bda8.wav,0,0,0,0,4,633,
0,bda9.wav,0,0,0,0,4,462,
1,bda2.wav,0,0,0,0,1,484,
0,bda3.wav,0,0,0,0,1,413,
5,bda4.wav,0,0,0,0,1,416,
7,bda5.wav,0,0,0,0,1,436,
2,bda6.wav,0,0,0,0,1,548,
3,bda7.wav,0,0,0,0,1,476,
6,bda8.wav,0,0,0,0,4,367,
4,bda9.wav,0,0,0,0,4,355,
5,bda2.wav,0,0,0,0,4,550,
0,bda3.wav,0,0,0,0,1,669,
6,bda4.wav,0,0,0,0,1,574,
2,bda5.wav,0,0,0,0,1,590,
3,bda6.wav,0,0,0,0,1,702,
4,bda7.wav,0,0,0,0,1,427,
1,bda8.wav,0,0,0,0,4,740,
7,bda9.wav,0,0,0,0,4,361,
0,bda2.wav,0,0,0,0,1,471,
3,bda3.wav,0,0,0,0,1,658,
1,bda4.wav,0,0,0,0,1,461,
5,bda5.wav,0,0,0,0,1,520,
2,bda6.wav,0,0,0,0,4,653,
4,bda7.wav,0,0,0,0,4,702,
6,bda8.wav,0,0,0,0,1,931,
7,bda9.wav,0,0,0,0,4,532,
2,bda2.wav,0,0,0,0,1,722,
5,bda3.wav,0,0,0,0,1,483,
3,bda4.wav,0,0,0,0,1,443,
0,bda5.wav,0,0,0,0,1,523,
6,bda6.wav,0,0,0,0,1,414,
1,bda7.wav,0,0,0,0,4,542,
4,bda8.wav,0,0,0,0,4,496,
7,bda9.wav,0,0,0,0,4,502,
3,bda2.wav,0,0,0,0,1,332,
2,bda3.wav,0,0,0,0,1,287,
0,bda4.wav,0,0,0,0,1,487,
1,bda5.wav,0,0,0,0,1,493,
4,bda6.wav,0,0,0,0,1,953,
5,bda7.wav,0,0,0,0,4,1591,
7,bda8.wav,0,0,0,0,1,753,
6,bda9.wav,0,0,0,0,4,632,
1,bda2.wav,0,0,0,0,1,726,
7,bda3.wav,0,0,0,0,4,532,
2,bda4.wav,0,0,0,0,1,758,
0,bda5.wav,0,0,0,0,1,367,
6,bda6.wav,0,0,0,0,1,587,
4,bda7.wav,0,0,0,0,4,816,
3,bda8.wav,0,0,0,0,4,699,
5,bda9.wav,0,0,0,0,4,428,
6,bda2.wav,0,0,0,0,1,377,
1,bda3.wav,0,0,0,0,1,624,
2,bda4.wav,0,0,0,0,1,541,
0,bda5.wav,0,0,0,0,1,499,
5,bda6.wav,0,0,0,0,1,329,
3,bda7.wav,0,0,0,0,4,605,
7,bda8.wav,0,0,0,0,1,597,
4,bda9.wav,0,0,0,0,4,754,
0,bda2.wav,0,0,0,0,1,513,
5,bda3.wav,0,0,0,0,1,329,
7,bda4.wav,0,0,0,0,1,299,
6,bda5.wav,0,0,0,0,1,374,
2,bda6.wav,0,0,0,0,1,474,
4,bda7.wav,0,0,0,0,1,522,
3,bda8.wav,0,0,0,0,1,427,
1,bda9.wav,0,0,0,0,4,970,
0,bda2.wav,0,0,0,0,1,515,
6,bda3.wav,0,0,0,0,1,419,
7,bda4.wav,0,0,0,0,1,386,
3,bda5.wav,0,0,0,0,1,446,
1,bda6.wav,0,0,0,0,4,757,
2,bda7.wav,0,0,0,0,1,639,
4,bda8.wav,0,0,0,0,4,332,
5,bda9.wav,0,0,0,0,4,289,
2,bda2.wav,0,0,0,0,1,505,
6,bda3.wav,0,0,0,0,1,532,
0,bda4.wav,0,0,0,0,1,390,
7,bda5.wav,0,0,0,0,1,443,
4,bda6.wav,0,0,0,0,1,264,
5,bda7.wav,0,0,0,0,1,424,
1,bda8.wav,0,0,0,0,4,497,
3,bda9.wav,0,0,0,0,4,577,
0,bda2.wav,0,0,0,0,1,558,
6,bda3.wav,0,0,0,0,1,316,
5,bda4.wav,0,0,0,0,1,454,
7,bda5.wav,0,0,0,0,1,451,
4,bda6.wav,0,0,0,0,1,210,
3,bda7.wav,0,0,0,0,1,501,
1,bda8.wav,0,0,0,0,4,563,
2,bda9.wav,0,0,0,0,4,335,
1,bda2.wav,0,0,0,0,1,544,
4,bda3.wav,0,0,0,0,1,396,
0,bda4.wav,0,0,0,0,1,592,
6,bda5.wav,0,0,0,0,1,370,
7,bda6.wav,0,0,0,0,1,520,
5,bda7.wav,0,0,0,0,1,359,
2,bda8.wav,0,0,0,0,4,538,
3,bda9.wav,0,0,0,0,4,495,
