:BF:ID:,Comment,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\Head_IDBF.csv,Header
500,ITI,3000,MaximumWait
8,Number Of Trials,18,NumberOfPasses,1,NumberOfBlocks
B,Left Button Label,D,Right Button Label
Played at Trial,AudioWaveFile1,,RT,,RT,CSOL,RT,
3,bda2.wav,0,0,0,0,1,725,
1,bda3.wav,0,0,0,0,1,1162,
0,bda4.wav,0,0,0,0,1,556,
6,bda5.wav,0,0,0,0,1,1521,
2,bda6.wav,0,0,0,0,4,1037,
7,bda7.wav,0,0,0,0,4,966,
4,bda8.wav,0,0,0,0,4,695,
5,bda9.wav,0,0,0,0,4,725,
3,bda2.wav,0,0,0,0,1,676,
6,bda3.wav,0,0,0,0,1,664,
0,bda4.wav,0,0,0,0,1,479,
1,bda5.wav,0,0,0,0,1,526,
2,bda6.wav,0,0,0,0,1,1036,
7,bda7.wav,0,0,0,0,1,781,
4,bda8.wav,0,0,0,0,4,697,
5,bda9.wav,0,0,0,0,4,455,
5,bda2.wav,0,0,0,0,1,979,
0,bda3.wav,0,0,0,0,1,742,
6,bda4.wav,0,0,0,0,1,808,
2,bda5.wav,0,0,0,0,1,793,
1,bda6.wav,0,0,0,0,4,1422,
3,bda7.wav,0,0,0,0,1,828,
7,bda8.wav,0,0,0,0,1,796,
4,bda9.wav,0,0,0,0,4,698,
0,bda2.wav,0,0,0,0,1,749,
1,bda3.wav,0,0,0,0,1,792,
7,bda4.wav,0,0,0,0,1,829,
6,bda5.wav,0,0,0,0,1,765,
2,bda6.wav,0,0,0,0,1,903,
3,bda7.wav,0,0,0,0,4,827,
4,bda8.wav,0,0,0,0,4,1800,
5,bda9.wav,0,0,0,0,4,590,
5,bda2.wav,0,0,0,0,1,915,
2,bda3.wav,0,0,0,0,1,980,
1,bda4.wav,0,0,0,0,1,723,
0,bda5.wav,0,0,0,0,1,791,
7,bda6.wav,0,0,0,0,4,1037,
6,bda7.wav,0,0,0,0,1,1067,
4,bda8.wav,0,0,0,0,4,831,
3,bda9.wav,0,0,0,0,4,1017,
5,bda2.wav,0,0,0,0,1,901,
0,bda3.wav,0,0,0,0,1,666,
4,bda4.wav,0,0,0,0,1,585,
3,bda5.wav,0,0,0,0,1,599,
1,bda6.wav,0,0,0,0,4,945,
2,bda7.wav,0,0,0,0,4,1694,
7,bda8.wav,0,0,0,0,4,963,
6,bda9.wav,0,0,0,0,4,1238,
3,bda2.wav,0,0,0,0,1,842,
5,bda3.wav,0,0,0,0,1,588,
