:BF:ID:,Comment,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\Head_IDBF.csv,Header
500,ITI,3000,MaximumWait
8,Number Of Trials,18,NumberOfPasses,1,NumberOfBlocks
B,Left Button Label,D,Right Button Label
Played at Trial,AudioWaveFile1,HFRE,RT,,RT,,RT,
7,bda2.wav,1,627,0,0,0,0,
2,bda3.wav,4,449,0,0,0,0,
0,bda4.wav,1,934,0,0,0,0,
5,bda5.wav,1,1452,0,0,0,0,
6,bda6.wav,4,806,0,0,0,0,
3,bda7.wav,4,2084,0,0,0,0,
1,bda8.wav,1,1036,0,0,0,0,
4,bda9.wav,4,1023,0,0,0,0,
6,bda2.wav,1,1502,0,0,0,0,
2,bda3.wav,4,651,0,0,0,0,
7,bda4.wav,1,2249,0,0,0,0,
3,bda5.wav,1,1193,0,0,0,0,
4,bda6.wav,1,1558,0,0,0,0,
1,bda7.wav,4,2660,0,0,0,0,
5,bda8.wav,4,1718,0,0,0,0,
0,bda9.wav,4,1024,0,0,0,0,
6,bda2.wav,1,1016,0,0,0,0,
5,bda3.wav,1,514,0,0,0,0,
7,bda4.wav,1,870,0,0,0,0,
0,bda5.wav,4,1337,0,0,0,0,
4,bda6.wav,1,807,0,0,0,0,
3,bda7.wav,1,1466,0,0,0,0,
2,bda8.wav,4,980,0,0,0,0,
1,bda9.wav,4,1303,0,0,0,0,
2,bda2.wav,1,489,0,0,0,0,
1,bda3.wav,1,523,0,0,0,0,
5,bda4.wav,1,957,0,0,0,0,
3,bda5.wav,4,1074,0,0,0,0,
6,bda6.wav,1,576,0,0,0,0,
7,bda7.wav,4,884,0,0,0,0,
0,bda8.wav,4,655,0,0,0,0,
4,bda9.wav,4,466,0,0,0,0,
3,bda2.wav,1,549,0,0,0,0,
4,bda3.wav,1,532,0,0,0,0,
0,bda4.wav,1,580,0,0,0,0,
7,bda5.wav,1,537,0,0,0,0,
6,bda6.wav,1,920,0,0,0,0,
1,bda7.wav,4,558,0,0,0,0,
2,bda8.wav,4,527,0,0,0,0,
5,bda9.wav,4,505,0,0,0,0,
1,bda2.wav,1,517,0,0,0,0,
4,bda3.wav,1,473,0,0,0,0,
0,bda4.wav,1,440,0,0,0,0,
7,bda5.wav,1,602,0,0,0,0,
5,bda6.wav,1,528,0,0,0,0,
3,bda7.wav,4,676,0,0,0,0,
2,bda8.wav,4,463,0,0,0,0,
6,bda9.wav,4,499,0,0,0,0,
7,bda2.wav,1,488,0,0,0,0,
1,bda3.wav,1,481,0,0,0,0,
6,bda4.wav,1,492,0,0,0,0,
0,bda5.wav,1,594,0,0,0,0,
2,bda6.wav,1,447,0,0,0,0,
4,bda7.wav,4,643,0,0,0,0,
5,bda8.wav,4,536,0,0,0,0,
3,bda9.wav,4,481,0,0,0,0,
2,bda2.wav,1,477,0,0,0,0,
6,bda3.wav,1,514,0,0,0,0,
7,bda4.wav,1,540,0,0,0,0,
4,bda5.wav,1,528,0,0,0,0,
5,bda6.wav,1,558,0,0,0,0,
1,bda7.wav,4,549,0,0,0,0,
0,bda8.wav,4,439,0,0,0,0,
3,bda9.wav,4,498,0,0,0,0,
6,bda2.wav,1,506,0,0,0,0,
4,bda3.wav,1,603,0,0,0,0,
1,bda4.wav,1,429,0,0,0,0,
2,bda5.wav,1,561,0,0,0,0,
7,bda6.wav,4,1125,0,0,0,0,
5,bda7.wav,4,691,0,0,0,0,
0,bda8.wav,4,519,0,0,0,0,
3,bda9.wav,4,450,0,0,0,0,
2,bda2.wav,1,592,0,0,0,0,
3,bda3.wav,1,749,0,0,0,0,
4,bda4.wav,1,518,0,0,0,0,
7,bda5.wav,1,551,0,0,0,0,
6,bda6.wav,1,494,0,0,0,0,
0,bda7.wav,4,539,0,0,0,0,
5,bda8.wav,4,465,0,0,0,0,
1,bda9.wav,4,456,0,0,0,0,
1,bda2.wav,1,539,0,0,0,0,
2,bda3.wav,1,449,0,0,0,0,
7,bda4.wav,1,412,0,0,0,0,
5,bda5.wav,1,481,0,0,0,0,
6,bda6.wav,1,487,0,0,0,0,
3,bda7.wav,4,522,0,0,0,0,
4,bda8.wav,4,415,0,0,0,0,
0,bda9.wav,4,347,0,0,0,0,
5,bda2.wav,1,417,0,0,0,0,
2,bda3.wav,1,481,0,0,0,0,
4,bda4.wav,1,487,0,0,0,0,
6,bda5.wav,1,594,0,0,0,0,
7,bda6.wav,4,1341,0,0,0,0,
1,bda7.wav,4,503,0,0,0,0,
3,bda8.wav,4,448,0,0,0,0,
0,bda9.wav,4,615,0,0,0,0,
3,bda2.wav,1,468,0,0,0,0,
0,bda3.wav,1,435,0,0,0,0,
1,bda4.wav,1,572,0,0,0,0,
7,bda5.wav,1,474,0,0,0,0,
2,bda6.wav,1,963,0,0,0,0,
4,bda7.wav,4,449,0,0,0,0,
5,bda8.wav,4,480,0,0,0,0,
6,bda9.wav,4,488,0,0,0,0,
7,bda2.wav,1,527,0,0,0,0,
0,bda3.wav,1,436,0,0,0,0,
2,bda4.wav,1,462,0,0,0,0,
1,bda5.wav,1,777,0,0,0,0,
4,bda6.wav,4,716,0,0,0,0,
5,bda7.wav,4,472,0,0,0,0,
6,bda8.wav,4,515,0,0,0,0,
3,bda9.wav,4,567,0,0,0,0,
