:BF:ID:,Comment,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\Head_IDBF.csv,Header
500,ITI,3000,MaximumWait
8,Number Of Trials,18,NumberOfPasses,1,NumberOfBlocks
B,Left Button Label,D,Right Button Label
Played at Trial,AudioWaveFile1,BLIN,RT,,RT,,RT,
1,bda2.wav,1,392,0,0,0,0,
4,bda3.wav,1,828,0,0,0,0,
2,bda4.wav,1,448,0,0,0,0,
7,bda5.wav,1,539,0,0,0,0,
5,bda6.wav,4,540,0,0,0,0,
0,bda7.wav,4,451,0,0,0,0,
6,bda8.wav,4,444,0,0,0,0,
3,bda9.wav,4,504,0,0,0,0,
7,bda2.wav,4,372,0,0,0,0,
6,bda3.wav,1,564,0,0,0,0,
2,bda4.wav,1,451,0,0,0,0,
0,bda5.wav,1,484,0,0,0,0,
5,bda6.wav,4,536,0,0,0,0,
4,bda7.wav,4,533,0,0,0,0,
3,bda8.wav,4,553,0,0,0,0,
1,bda9.wav,4,324,0,0,0,0,
7,bda2.wav,1,483,0,0,0,0,
4,bda3.wav,1,564,0,0,0,0,
5,bda4.wav,1,501,0,0,0,0,
0,bda5.wav,1,499,0,0,0,0,
3,bda6.wav,1,490,0,0,0,0,
2,bda7.wav,4,591,0,0,0,0,
6,bda8.wav,4,446,0,0,0,0,
1,bda9.wav,4,492,0,0,0,0,
1,bda2.wav,1,582,0,0,0,0,
0,bda3.wav,1,567,0,0,0,0,
4,bda4.wav,1,517,0,0,0,0,
6,bda5.wav,1,548,0,0,0,0,
7,bda6.wav,4,449,0,0,0,0,
5,bda7.wav,4,373,0,0,0,0,
3,bda8.wav,4,567,0,0,0,0,
2,bda9.wav,4,426,0,0,0,0,
6,bda2.wav,1,570,0,0,0,0,
2,bda3.wav,1,759,0,0,0,0,
0,bda4.wav,1,545,0,0,0,0,
4,bda5.wav,1,978,0,0,0,0,
7,bda6.wav,4,506,0,0,0,0,
3,bda7.wav,4,406,0,0,0,0,
1,bda8.wav,4,538,0,0,0,0,
5,bda9.wav,4,581,0,0,0,0,
2,bda2.wav,1,1120,0,0,0,0,
1,bda3.wav,1,568,0,0,0,0,
7,bda4.wav,1,500,0,0,0,0,
0,bda5.wav,4,1476,0,0,0,0,
6,bda6.wav,4,486,0,0,0,0,
3,bda7.wav,4,461,0,0,0,0,
4,bda8.wav,4,636,0,0,0,0,
5,bda9.wav,4,381,0,0,0,0,
3,bda2.wav,1,551,0,0,0,0,
1,bda3.wav,1,582,0,0,0,0,
0,bda4.wav,4,1672,0,0,0,0,
6,bda5.wav,1,629,0,0,0,0,
2,bda6.wav,4,674,0,0,0,0,
7,bda7.wav,4,443,0,0,0,0,
5,bda8.wav,4,507,0,0,0,0,
4,bda9.wav,4,445,0,0,0,0,
2,bda2.wav,4,346,0,0,0,0,
6,bda3.wav,4,493,0,0,0,0,
4,bda4.wav,1,533,0,0,0,0,
7,bda5.wav,1,705,0,0,0,0,
1,bda6.wav,4,682,0,0,0,0,
3,bda7.wav,1,514,0,0,0,0,
5,bda8.wav,4,319,0,0,0,0,
0,bda9.wav,4,756,0,0,0,0,
2,bda2.wav,1,500,0,0,0,0,
1,bda3.wav,1,377,0,0,0,0,
7,bda4.wav,1,788,0,0,0,0,
6,bda5.wav,1,530,0,0,0,0,
0,bda6.wav,4,570,0,0,0,0,
5,bda7.wav,4,397,0,0,0,0,
3,bda8.wav,4,318,0,0,0,0,
4,bda9.wav,4,370,0,0,0,0,
4,bda2.wav,1,516,0,0,0,0,
5,bda3.wav,1,600,0,0,0,0,
0,bda4.wav,1,541,0,0,0,0,
3,bda5.wav,4,417,0,0,0,0,
1,bda6.wav,4,468,0,0,0,0,
2,bda7.wav,4,544,0,0,0,0,
6,bda8.wav,4,411,0,0,0,0,
7,bda9.wav,4,388,0,0,0,0,
2,bda2.wav,1,535,0,0,0,0,
7,bda3.wav,1,572,0,0,0,0,
6,bda4.wav,1,542,0,0,0,0,
5,bda5.wav,1,557,0,0,0,0,
0,bda6.wav,4,458,0,0,0,0,
1,bda7.wav,4,422,0,0,0,0,
3,bda8.wav,4,482,0,0,0,0,
4,bda9.wav,4,351,0,0,0,0,
0,bda2.wav,1,708,0,0,0,0,
1,bda3.wav,1,529,0,0,0,0,
3,bda4.wav,1,506,0,0,0,0,
2,bda5.wav,1,390,0,0,0,0,
7,bda6.wav,4,655,0,0,0,0,
6,bda7.wav,4,398,0,0,0,0,
5,bda8.wav,4,382,0,0,0,0,
4,bda9.wav,4,326,0,0,0,0,
1,bda2.wav,1,514,0,0,0,0,
3,bda3.wav,1,456,0,0,0,0,
6,bda4.wav,1,502,0,0,0,0,
0,bda5.wav,1,215,0,0,0,0,
4,bda6.wav,4,444,0,0,0,0,
5,bda7.wav,4,443,0,0,0,0,
2,bda8.wav,4,351,0,0,0,0,
7,bda9.wav,4,466,0,0,0,0,
4,bda2.wav,1,439,0,0,0,0,
3,bda3.wav,1,309,0,0,0,0,
1,bda4.wav,1,467,0,0,0,0,
5,bda5.wav,1,499,0,0,0,0,
2,bda6.wav,4,638,0,0,0,0,
0,bda7.wav,4,593,0,0,0,0,
6,bda8.wav,4,306,0,0,0,0,
7,bda9.wav,4,474,0,0,0,0,
0,bda2.wav,1,422,0,0,0,0,
7,bda3.wav,1,328,0,0,0,0,
6,bda4.wav,1,440,0,0,0,0,
3,bda5.wav,1,366,0,0,0,0,
5,bda6.wav,4,531,0,0,0,0,
4,bda7.wav,4,326,0,0,0,0,
2,bda8.wav,4,405,0,0,0,0,
1,bda9.wav,4,519,0,0,0,0,
0,bda2.wav,1,439,0,0,0,0,
