:BF:ID:,Comment,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\Head_IDBF.csv,Header
500,ITI,3000,MaximumWait
8,Number Of Trials,18,NumberOfPasses,1,NumberOfBlocks
B,Left Button Label,D,Right Button Label
Played at Trial,AudioWaveFile1,DMCL,RT,,RT,,RT,
1,bda2.wav,1,436,0,0,0,0,
2,bda3.wav,1,851,0,0,0,0,
4,bda4.wav,1,620,0,0,0,0,
0,bda5.wav,4,426,0,0,0,0,
5,bda6.wav,1,676,0,0,0,0,
7,bda7.wav,4,555,0,0,0,0,
6,bda8.wav,4,464,0,0,0,0,
3,bda9.wav,4,550,0,0,0,0,
0,bda2.wav,1,1097,0,0,0,0,
5,bda3.wav,1,392,0,0,0,0,
6,bda4.wav,1,392,0,0,0,0,
4,bda5.wav,1,405,0,0,0,0,
3,bda6.wav,4,432,0,0,0,0,
2,bda7.wav,4,675,0,0,0,0,
1,bda8.wav,4,588,0,0,0,0,
7,bda9.wav,4,385,0,0,0,0,
0,bda2.wav,1,599,0,0,0,0,
5,bda3.wav,1,441,0,0,0,0,
3,bda4.wav,1,422,0,0,0,0,
1,bda5.wav,4,534,0,0,0,0,
2,bda6.wav,4,352,0,0,0,0,
6,bda7.wav,4,441,0,0,0,0,
4,bda8.wav,4,380,0,0,0,0,
7,bda9.wav,4,453,0,0,0,0,
6,bda2.wav,1,445,0,0,0,0,
3,bda3.wav,1,377,0,0,0,0,
1,bda4.wav,1,708,0,0,0,0,
7,bda5.wav,4,559,0,0,0,0,
2,bda6.wav,4,407,0,0,0,0,
0,bda7.wav,4,385,0,0,0,0,
5,bda8.wav,4,367,0,0,0,0,
4,bda9.wav,4,473,0,0,0,0,
1,bda2.wav,1,339,0,0,0,0,
3,bda3.wav,1,329,0,0,0,0,
6,bda4.wav,1,426,0,0,0,0,
4,bda5.wav,1,570,0,0,0,0,
0,bda6.wav,4,335,0,0,0,0,
7,bda7.wav,4,408,0,0,0,0,
5,bda8.wav,4,548,0,0,0,0,
2,bda9.wav,4,409,0,0,0,0,
6,bda2.wav,1,563,0,0,0,0,
2,bda3.wav,1,419,0,0,0,0,
1,bda4.wav,1,604,0,0,0,0,
7,bda5.wav,1,598,0,0,0,0,
5,bda6.wav,4,595,0,0,0,0,
0,bda7.wav,4,517,0,0,0,0,
3,bda8.wav,4,404,0,0,0,0,
4,bda9.wav,4,353,0,0,0,0,
6,bda2.wav,1,383,0,0,0,0,
7,bda3.wav,1,551,0,0,0,0,
0,bda4.wav,1,350,0,0,0,0,
2,bda5.wav,1,704,0,0,0,0,
4,bda6.wav,4,605,0,0,0,0,
3,bda7.wav,4,383,0,0,0,0,
5,bda8.wav,4,608,0,0,0,0,
1,bda9.wav,4,580,0,0,0,0,
1,bda2.wav,1,423,0,0,0,0,
0,bda3.wav,1,605,0,0,0,0,
2,bda4.wav,1,720,0,0,0,0,
3,bda5.wav,1,484,0,0,0,0,
4,bda6.wav,1,734,0,0,0,0,
5,bda7.wav,4,1038,0,0,0,0,
6,bda8.wav,4,1085,0,0,0,0,
7,bda9.wav,4,765,0,0,0,0,
0,bda2.wav,1,391,0,0,0,0,
4,bda3.wav,1,646,0,0,0,0,
3,bda4.wav,1,439,0,0,0,0,
6,bda5.wav,1,715,0,0,0,0,
2,bda6.wav,4,426,0,0,0,0,
7,bda7.wav,4,402,0,0,0,0,
1,bda8.wav,4,414,0,0,0,0,
5,bda9.wav,4,420,0,0,0,0,
6,bda2.wav,1,369,0,0,0,0,
0,bda3.wav,1,252,0,0,0,0,
1,bda4.wav,4,565,0,0,0,0,
3,bda5.wav,4,363,0,0,0,0,
2,bda6.wav,4,684,0,0,0,0,
5,bda7.wav,4,706,0,0,0,0,
4,bda8.wav,4,366,0,0,0,0,
7,bda9.wav,4,513,0,0,0,0,
4,bda2.wav,1,707,0,0,0,0,
6,bda3.wav,1,418,0,0,0,0,
0,bda4.wav,1,525,0,0,0,0,
7,bda5.wav,4,716,0,0,0,0,
2,bda6.wav,4,602,0,0,0,0,
1,bda7.wav,4,540,0,0,0,0,
3,bda8.wav,4,578,0,0,0,0,
5,bda9.wav,4,561,0,0,0,0,
4,bda2.wav,1,682,0,0,0,0,
7,bda3.wav,1,630,0,0,0,0,
5,bda4.wav,1,486,0,0,0,0,
3,bda5.wav,1,395,0,0,0,0,
1,bda6.wav,4,701,0,0,0,0,
6,bda7.wav,4,532,0,0,0,0,
0,bda8.wav,4,405,0,0,0,0,
2,bda9.wav,4,896,0,0,0,0,
4,bda2.wav,1,450,0,0,0,0,
5,bda3.wav,1,509,0,0,0,0,
2,bda4.wav,1,542,0,0,0,0,
3,bda5.wav,1,1201,0,0,0,0,
7,bda6.wav,4,384,0,0,0,0,
0,bda7.wav,4,747,0,0,0,0,
6,bda8.wav,4,530,0,0,0,0,
1,bda9.wav,4,477,0,0,0,0,
7,bda2.wav,1,655,0,0,0,0,
5,bda3.wav,1,538,0,0,0,0,
4,bda4.wav,1,388,0,0,0,0,
2,bda5.wav,4,580,0,0,0,0,
1,bda6.wav,4,727,0,0,0,0,
3,bda7.wav,4,938,0,0,0,0,
6,bda8.wav,4,862,0,0,0,0,
0,bda9.wav,4,506,0,0,0,0,
7,bda2.wav,1,567,0,0,0,0,
3,bda3.wav,1,643,0,0,0,0,
5,bda4.wav,1,638,0,0,0,0,
1,bda5.wav,1,643,0,0,0,0,
0,bda6.wav,4,522,0,0,0,0,
2,bda7.wav,4,378,0,0,0,0,
4,bda8.wav,4,694,0,0,0,0,
6,bda9.wav,4,439,0,0,0,0,
0,bda2.wav,1,462,0,0,0,0,
6,bda3.wav,1,610,0,0,0,0,
5,bda4.wav,1,490,0,0,0,0,
3,bda5.wav,4,555,0,0,0,0,
1,bda6.wav,4,423,0,0,0,0,
2,bda7.wav,4,663,0,0,0,0,
4,bda8.wav,4,449,0,0,0,0,
7,bda9.wav,1,657,0,0,0,0,
5,bda2.wav,1,570,0,0,0,0,
4,bda3.wav,1,456,0,0,0,0,
7,bda4.wav,1,557,0,0,0,0,
6,bda5.wav,4,558,0,0,0,0,
1,bda6.wav,4,590,0,0,0,0,
0,bda7.wav,4,575,0,0,0,0,
2,bda8.wav,4,605,0,0,0,0,
3,bda9.wav,4,636,0,0,0,0,
5,bda2.wav,1,564,0,0,0,0,
6,bda3.wav,1,482,0,0,0,0,
3,bda4.wav,1,478,0,0,0,0,
4,bda5.wav,1,954,0,0,0,0,
0,bda6.wav,4,401,0,0,0,0,
1,bda7.wav,4,617,0,0,0,0,
2,bda8.wav,4,510,0,0,0,0,
7,bda9.wav,4,345,0,0,0,0,
