:BF:ID:,Comment,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\Head_IDBF.csv,Header
500,ITI,3000,MaximumWait
8,Number Of Trials,18,NumberOfPasses,1,NumberOfBlocks
B,Left Button Label,D,Right Button Label
Played at Trial,AudioWaveFile1,GDOM,RT,,RT,ECUN,RT,
0,bda2.wav,1,859,0,0,1,1134,
4,bda3.wav,1,359,0,0,1,722,
6,bda4.wav,1,386,0,0,1,736,
5,bda5.wav,1,473,0,0,1,696,
7,bda6.wav,4,757,0,0,4,719,
1,bda7.wav,4,389,0,0,4,528,
3,bda8.wav,4,491,0,0,4,632,
2,bda9.wav,4,375,0,0,4,523,
0,bda2.wav,1,354,0,0,1,615,
4,bda3.wav,1,540,0,0,1,700,
1,bda4.wav,1,402,0,0,4,731,
2,bda5.wav,4,316,0,0,1,1465,
5,bda6.wav,4,493,0,0,1,782,
6,bda7.wav,4,360,0,0,1,834,
7,bda8.wav,4,439,0,0,1,934,
3,bda9.wav,4,334,0,0,1,1195,
0,bda2.wav,1,581,0,0,1,1402,
4,bda3.wav,1,403,0,0,1,937,
2,bda4.wav,1,527,0,0,4,2032,
3,bda5.wav,1,430,0,0,4,1539,
1,bda6.wav,4,474,0,0,4,1293,
7,bda7.wav,4,303,0,0,4,756,
6,bda8.wav,4,287,0,0,4,667,
5,bda9.wav,4,485,0,0,4,973,
2,bda2.wav,1,355,0,0,1,938,
1,bda3.wav,1,384,0,0,4,1205,
6,bda4.wav,1,427,0,0,4,701,
4,bda5.wav,1,528,0,0,4,1224,
0,bda6.wav,4,344,0,0,1,989,
7,bda7.wav,4,596,0,0,4,1973,
3,bda8.wav,4,428,0,0,4,1157,
5,bda9.wav,4,520,0,0,4,1640,
7,bda2.wav,1,578,0,0,1,736,
1,bda3.wav,1,388,0,0,1,782,
4,bda4.wav,1,572,0,0,4,580,
0,bda5.wav,4,312,0,0,4,1021,
2,bda6.wav,1,451,0,0,4,1518,
6,bda7.wav,4,316,0,0,4,658,
5,bda8.wav,4,494,0,0,4,559,
3,bda9.wav,4,501,0,0,4,1861,
3,bda2.wav,1,495,0,0,1,645,
0,bda3.wav,1,391,0,0,1,671,
6,bda4.wav,1,496,0,0,4,661,
4,bda5.wav,4,361,0,0,4,837,
2,bda6.wav,4,461,0,0,4,659,
1,bda7.wav,4,446,0,0,4,502,
7,bda8.wav,4,498,0,0,4,654,
5,bda9.wav,4,361,0,0,4,469,
2,bda2.wav,1,400,0,0,1,890,
3,bda3.wav,1,359,0,0,1,676,
6,bda4.wav,1,363,0,0,1,664,
4,bda5.wav,4,473,0,0,4,806,
1,bda6.wav,4,448,0,0,4,579,
0,bda7.wav,1,372,0,0,4,871,
7,bda8.wav,4,545,0,0,1,812,
5,bda9.wav,4,323,0,0,4,593,
1,bda2.wav,1,449,0,0,1,610,
2,bda3.wav,1,533,0,0,1,721,
3,bda4.wav,4,464,0,0,1,1025,
6,bda5.wav,4,369,0,0,4,654,
5,bda6.wav,4,321,0,0,4,802,
4,bda7.wav,4,362,0,0,4,1401,
0,bda8.wav,4,284,0,0,4,868,
7,bda9.wav,4,411,0,0,4,757,
0,bda2.wav,1,486,0,0,1,1003,
2,bda3.wav,1,625,0,0,1,785,
6,bda4.wav,1,606,0,0,4,621,
4,bda5.wav,4,337,0,0,4,810,
3,bda6.wav,4,409,0,0,4,633,
5,bda7.wav,4,348,0,0,4,1054,
7,bda8.wav,4,485,0,0,4,547,
1,bda9.wav,4,302,0,0,4,974,
7,bda2.wav,1,631,0,0,1,778,
2,bda3.wav,1,457,0,0,1,805,
6,bda4.wav,1,370,0,0,1,1028,
5,bda5.wav,4,561,0,0,4,661,
4,bda6.wav,4,450,0,0,4,810,
1,bda7.wav,4,638,0,0,4,752,
0,bda8.wav,4,368,0,0,4,2554,
3,bda9.wav,4,452,0,0,4,849,
1,bda2.wav,1,657,0,0,1,830,
7,bda3.wav,1,522,0,0,1,827,
5,bda4.wav,1,552,0,0,4,2527,
4,bda5.wav,4,569,0,0,4,1145,
3,bda6.wav,4,276,0,0,4,709,
0,bda7.wav,4,336,0,0,4,613,
2,bda8.wav,4,520,0,0,4,1082,
6,bda9.wav,4,390,0,0,4,975,
0,bda2.wav,1,459,0,0,1,1265,
2,bda3.wav,1,365,0,0,1,750,
7,bda4.wav,1,528,0,0,1,1314,
1,bda5.wav,1,476,0,0,4,1230,
5,bda6.wav,4,599,0,0,4,541,
6,bda7.wav,4,597,0,0,4,735,
4,bda8.wav,4,773,0,0,4,531,
3,bda9.wav,4,436,0,0,4,788,
3,bda2.wav,1,442,0,0,1,614,
1,bda3.wav,1,659,0,0,1,647,
5,bda4.wav,1,431,0,0,1,696,
7,bda5.wav,1,514,0,0,4,994,
2,bda6.wav,4,500,0,0,4,595,
6,bda7.wav,4,579,0,0,4,1081,
0,bda8.wav,4,445,0,0,4,773,
4,bda9.wav,4,440,0,0,4,1446,
3,bda2.wav,1,422,0,0,1,536,
2,bda3.wav,1,470,0,0,1,934,
7,bda4.wav,1,487,0,0,4,592,
0,bda5.wav,1,767,0,0,4,1093,
6,bda6.wav,4,515,0,0,4,981,
1,bda7.wav,4,447,0,0,4,2524,
4,bda8.wav,4,428,0,0,4,937,
5,bda9.wav,4,414,0,0,4,617,
0,bda2.wav,1,478,0,0,1,648,
5,bda3.wav,4,424,0,0,1,643,
3,bda4.wav,1,360,0,0,4,1310,
2,bda5.wav,1,489,0,0,4,394,
4,bda6.wav,1,397,0,0,4,1084,
1,bda7.wav,4,551,0,0,4,613,
6,bda8.wav,4,471,0,0,4,694,
7,bda9.wav,4,415,0,0,4,803,
5,bda2.wav,4,419,0,0,1,1661,
3,bda3.wav,1,503,0,0,1,1445,
2,bda4.wav,1,819,0,0,1,907,
7,bda5.wav,4,320,0,0,4,802,
6,bda6.wav,4,512,0,0,4,2088,
1,bda7.wav,4,548,0,0,4,1057,
0,bda8.wav,4,458,0,0,4,1485,
4,bda9.wav,4,477,0,0,4,2184,
6,bda2.wav,1,370,0,0,1,2463,
5,bda3.wav,1,510,0,0,1,792,
