:BF:ID:,Comment,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\Head_IDBF.csv,Header
500,ITI,3000,MaximumWait
8,Number Of Trials,18,NumberOfPasses,1,NumberOfBlocks
B,Left Button Label,D,Right Button Label
Played at Trial,AudioWaveFile1,TTYS,RT,CBLU,RT,RWILL,RT,
7,bda2.wav,4,106,1,809,1,1143,
0,bda3.wav,1,750,1,617,1,662,
4,bda4.wav,1,477,1,613,1,582,
6,bda5.wav,1,292,4,595,1,679,
1,bda6.wav,1,906,4,1362,4,762,
5,bda7.wav,1,578,4,754,4,779,
2,bda8.wav,1,677,4,691,4,873,
3,bda9.wav,4,933,4,1408,4,1844,
7,bda2.wav,1,575,1,490,1,578,
2,bda3.wav,1,627,1,535,1,516,
1,bda4.wav,1,725,1,493,1,497,
4,bda5.wav,1,514,4,621,1,833,
6,bda6.wav,1,593,4,758,4,482,
5,bda7.wav,1,575,4,483,4,481,
0,bda8.wav,1,578,4,496,4,519,
3,bda9.wav,4,770,4,604,4,494,
6,bda2.wav,1,643,1,577,1,584,
5,bda3.wav,1,436,1,509,1,459,
7,bda4.wav,1,723,1,406,1,633,
2,bda5.wav,1,466,1,628,1,537,
0,bda6.wav,1,371,4,921,4,456,
3,bda7.wav,1,548,4,627,4,490,
1,bda8.wav,1,536,4,806,4,468,
4,bda9.wav,1,648,4,466,4,558,
1,bda2.wav,1,389,1,587,1,515,
6,bda3.wav,1,34,1,595,1,707,
5,bda4.wav,1,368,1,501,1,655,
3,bda5.wav,1,297,1,619,4,915,
0,bda6.wav,1,384,1,622,4,639,
4,bda7.wav,1,382,4,579,4,689,
2,bda8.wav,1,487,4,466,4,586,
7,bda9.wav,1,323,4,422,4,566,
3,bda2.wav,1,455,1,465,1,602,
6,bda3.wav,1,446,4,377,1,631,
5,bda4.wav,1,370,1,413,1,525,
2,bda5.wav,1,565,1,420,1,693,
1,bda6.wav,1,521,4,373,4,463,
0,bda7.wav,1,393,4,502,4,544,
4,bda8.wav,1,584,4,457,4,775,
7,bda9.wav,1,430,4,516,4,567,
1,bda2.wav,1,221,1,446,4,441,
0,bda3.wav,1,358,1,410,1,595,
4,bda4.wav,1,141,1,398,1,564,
6,bda5.wav,1,191,1,419,1,611,
3,bda6.wav,1,302,1,419,4,937,
2,bda7.wav,1,1173,4,335,4,511,
5,bda8.wav,1,128,4,375,4,515,
7,bda9.wav,1,872,4,663,4,650,
4,bda2.wav,1,335,1,391,1,544,
0,bda3.wav,1,494,1,450,1,463,
7,bda4.wav,1,361,1,430,4,740,
6,bda5.wav,1,564,1,428,1,664,
3,bda6.wav,1,765,1,424,4,630,
2,bda7.wav,1,351,4,477,4,605,
5,bda8.wav,1,508,4,424,4,426,
1,bda9.wav,1,567,4,420,4,486,
1,bda2.wav,1,375,1,451,1,513,
4,bda3.wav,1,430,1,547,1,799,
3,bda4.wav,1,254,1,479,1,474,
2,bda5.wav,1,308,1,413,1,480,
6,bda6.wav,1,195,1,400,4,528,
5,bda7.wav,1,339,4,475,4,588,
0,bda8.wav,1,374,4,368,4,489,
7,bda9.wav,1,365,4,386,4,443,
4,bda2.wav,1,230,1,437,1,515,
3,bda3.wav,1,231,1,397,1,580,
5,bda4.wav,1,391,1,418,1,629,
6,bda5.wav,1,273,1,494,1,469,
2,bda6.wav,1,357,1,488,4,601,
7,bda7.wav,1,346,4,332,4,570,
0,bda8.wav,1,1132,4,484,4,991,
1,bda9.wav,1,299,4,538,4,577,
6,bda2.wav,1,430,1,499,1,545,
4,bda3.wav,1,51,1,433,1,672,
5,bda4.wav,1,331,1,446,1,707,
0,bda5.wav,1,236,1,533,1,588,
2,bda6.wav,1,1019,1,480,4,514,
7,bda7.wav,1,620,1,467,4,512,
3,bda8.wav,1,213,4,823,4,532,
1,bda9.wav,1,168,4,466,4,496,
7,bda2.wav,1,254,1,531,1,695,
4,bda3.wav,1,250,1,443,1,456,
3,bda4.wav,1,399,1,547,1,549,
1,bda5.wav,1,431,1,594,1,478,
2,bda6.wav,1,242,1,480,4,571,
5,bda7.wav,1,302,4,423,4,745,
0,bda8.wav,1,210,4,588,4,513,
6,bda9.wav,1,1047,4,501,4,552,
5,bda2.wav,1,322,1,511,1,514,
1,bda3.wav,1,184,1,350,1,575,
6,bda4.wav,1,872,1,319,1,787,
3,bda5.wav,1,930,1,453,1,488,
7,bda6.wav,1,202,1,416,4,557,
2,bda7.wav,1,201,4,557,4,562,
0,bda8.wav,1,158,4,375,4,746,
4,bda9.wav,1,282,4,524,4,538,
2,bda2.wav,1,300,1,326,1,680,
0,bda3.wav,1,276,1,365,1,504,
4,bda4.wav,1,203,1,367,1,692,
7,bda5.wav,1,736,1,602,1,601,
5,bda6.wav,1,125,1,497,4,506,
3,bda7.wav,1,47,1,406,4,810,
6,bda8.wav,1,574,4,433,4,612,
1,bda9.wav,1,213,4,363,4,804,
2,bda2.wav,1,300,1,617,1,565,
4,bda3.wav,1,51,1,406,1,479,
0,bda4.wav,1,199,1,457,1,1341,
6,bda5.wav,1,325,1,484,1,755,
7,bda6.wav,1,528,1,488,4,479,
1,bda7.wav,1,73,1,394,4,556,
3,bda8.wav,1,108,4,517,4,566,
5,bda9.wav,1,102,4,569,4,685,
4,bda2.wav,1,779,1,471,1,378,
1,bda3.wav,1,757,1,534,1,477,
3,bda4.wav,1,480,1,407,1,506,
6,bda5.wav,1,418,1,1265,1,766,
7,bda6.wav,1,52,1,895,4,867,
5,bda7.wav,1,126,1,446,4,573,
0,bda8.wav,1,951,4,780,4,548,
2,bda9.wav,1,466,4,474,4,622,
5,bda2.wav,1,423,1,418,1,769,
2,bda3.wav,1,257,1,388,1,644,
0,bda4.wav,1,492,1,561,1,600,
1,bda5.wav,1,194,1,389,4,719,
6,bda6.wav,1,336,1,481,4,591,
3,bda7.wav,1,365,4,364,4,446,
7,bda8.wav,1,247,4,490,4,628,
4,bda9.wav,1,151,4,360,4,533,
6,bda2.wav,1,304,1,994,1,620,
1,bda3.wav,1,301,1,464,1,578,
7,bda4.wav,1,325,1,636,1,501,
4,bda5.wav,1,52,1,834,1,515,
2,bda6.wav,1,487,1,707,4,594,
0,bda7.wav,1,34,4,568,4,612,
3,bda8.wav,1,264,4,403,4,520,
5,bda9.wav,1,268,4,440,4,493,
7,bda2.wav,1,48,1,535,1,644,
5,bda3.wav,1,313,1,558,1,626,
3,bda4.wav,1,594,1,408,1,833,
1,bda5.wav,1,277,1,1358,1,689,
0,bda6.wav,1,345,1,411,4,461,
2,bda7.wav,1,241,4,650,4,546,
6,bda8.wav,1,514,4,383,4,411,
4,bda9.wav,1,287,1,390,4,1012,
