:BF:ID:,Comment,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\Head_IDBF.csv,Header
500,ITI,3000,MaximumWait
8,Number Of Trials,18,NumberOfPasses,1,NumberOfBlocks
B,Left Button Label,D,Right Button Label
Played at Trial,AudioWaveFile1,EMOR,RT,BPAR,RT,RWON,RT,
7,bda2.wav,1,370,1,561,1,555,
2,bda3.wav,1,496,1,608,1,622,
4,bda4.wav,1,840,1,661,1,589,
5,bda5.wav,4,727,1,620,1,644,
3,bda6.wav,4,451,1,661,4,560,
1,bda7.wav,4,665,1,662,4,513,
6,bda8.wav,4,367,4,456,4,527,
0,bda9.wav,4,784,4,790,4,801,
5,bda2.wav,1,603,1,465,1,470,
4,bda3.wav,1,399,1,429,1,516,
7,bda4.wav,1,472,1,479,1,517,
6,bda5.wav,1,524,1,424,1,576,
3,bda6.wav,4,410,1,484,4,490,
2,bda7.wav,4,223,4,466,4,485,
0,bda8.wav,4,412,4,444,4,502,
1,bda9.wav,4,468,4,417,4,503,
4,bda2.wav,1,406,1,335,1,559,
6,bda3.wav,1,409,1,362,1,493,
5,bda4.wav,1,423,1,295,1,553,
7,bda5.wav,1,225,1,332,1,741,
0,bda6.wav,4,517,4,417,4,603,
1,bda7.wav,4,368,4,392,4,512,
2,bda8.wav,4,390,4,443,4,592,
3,bda9.wav,4,335,4,354,4,432,
2,bda2.wav,1,533,1,455,1,497,
4,bda3.wav,1,560,1,563,1,553,
0,bda4.wav,1,360,1,489,1,530,
6,bda5.wav,1,361,1,356,1,508,
1,bda6.wav,1,310,1,448,4,495,
7,bda7.wav,4,200,4,353,4,472,
3,bda8.wav,4,319,4,443,4,499,
5,bda9.wav,4,297,4,481,4,434,
4,bda2.wav,1,457,1,462,1,460,
5,bda3.wav,1,417,1,484,1,476,
7,bda4.wav,1,471,1,497,1,517,
3,bda5.wav,1,520,1,389,1,563,
6,bda6.wav,4,538,4,464,4,444,
0,bda7.wav,4,380,4,489,4,443,
2,bda8.wav,4,516,4,470,4,447,
1,bda9.wav,4,546,4,426,4,446,
1,bda2.wav,4,394,1,880,1,472,
3,bda3.wav,1,298,1,410,1,439,
6,bda4.wav,1,461,4,537,1,410,
5,bda5.wav,4,500,1,428,1,538,
4,bda6.wav,4,605,1,531,4,443,
2,bda7.wav,4,464,4,498,4,406,
0,bda8.wav,4,523,4,423,4,418,
7,bda9.wav,4,508,4,544,4,474,
7,bda2.wav,1,476,1,507,1,449,
5,bda3.wav,1,489,1,497,1,478,
4,bda4.wav,1,433,1,538,1,497,
6,bda5.wav,4,561,1,519,1,420,
2,bda6.wav,4,464,4,476,4,484,
1,bda7.wav,4,736,1,505,4,489,
3,bda8.wav,4,814,4,472,4,466,
0,bda9.wav,4,485,4,465,4,424,
1,bda2.wav,1,567,1,489,1,501,
2,bda3.wav,1,510,1,457,1,425,
6,bda4.wav,1,489,1,494,1,462,
4,bda5.wav,1,302,1,341,1,475,
0,bda6.wav,4,537,4,466,4,769,
5,bda7.wav,4,458,4,477,1,661,
3,bda8.wav,4,396,4,547,4,435,
7,bda9.wav,4,326,4,339,4,379,
0,bda2.wav,1,288,1,401,4,464,
1,bda3.wav,1,483,1,354,1,770,
2,bda4.wav,1,435,1,483,1,541,
4,bda5.wav,4,678,1,419,1,535,
5,bda6.wav,4,348,4,390,4,512,
3,bda7.wav,4,396,4,391,4,581,
7,bda8.wav,4,388,4,456,4,585,
6,bda9.wav,4,487,1,555,4,666,
7,bda2.wav,1,631,1,498,1,482,
1,bda3.wav,1,379,1,409,1,528,
3,bda4.wav,1,529,1,444,1,440,
0,bda5.wav,1,1063,1,502,1,602,
2,bda6.wav,4,508,4,445,4,584,
5,bda7.wav,4,416,4,512,4,384,
6,bda8.wav,4,506,4,422,1,495,
4,bda9.wav,4,368,4,404,4,405,
0,bda2.wav,1,551,1,490,1,519,
2,bda3.wav,1,1577,1,430,1,416,
1,bda4.wav,1,573,1,461,1,483,
5,bda5.wav,4,572,1,385,1,521,
4,bda6.wav,4,403,4,587,4,454,
7,bda7.wav,4,609,4,523,4,721,
6,bda8.wav,4,291,4,420,4,442,
3,bda9.wav,4,336,4,499,4,628,
4,bda2.wav,1,652,1,448,1,487,
0,bda3.wav,1,419,1,844,1,357,
5,bda4.wav,1,419,4,404,1,359,
7,bda5.wav,1,70,1,762,1,474,
6,bda6.wav,4,472,1,497,1,508,
2,bda7.wav,4,462,4,501,4,282,
1,bda8.wav,4,406,4,482,4,503,
3,bda9.wav,4,470,4,479,4,426,
6,bda2.wav,1,369,1,411,1,366,
5,bda3.wav,4,467,1,312,1,374,
4,bda4.wav,4,332,1,454,1,433,
3,bda5.wav,4,462,1,428,1,378,
0,bda6.wav,4,469,4,706,4,439,
2,bda7.wav,4,575,1,641,4,435,
1,bda8.wav,4,447,4,424,4,337,
7,bda9.wav,4,706,4,331,4,239,
5,bda2.wav,1,299,1,496,1,740,
6,bda3.wav,1,652,1,583,1,437,
7,bda4.wav,1,562,1,304,1,412,
2,bda5.wav,1,462,1,228,1,958,
3,bda6.wav,4,478,4,587,4,473,
0,bda7.wav,4,454,4,412,4,336,
4,bda8.wav,4,477,4,365,4,333,
1,bda9.wav,4,440,4,284,4,394,
2,bda2.wav,1,416,1,418,1,514,
4,bda3.wav,1,353,1,595,1,430,
3,bda4.wav,1,467,1,619,1,523,
1,bda5.wav,4,650,1,467,1,716,
5,bda6.wav,4,521,4,475,4,437,
6,bda7.wav,4,418,4,430,4,634,
0,bda8.wav,4,481,4,374,4,429,
7,bda9.wav,4,307,1,526,4,780,
5,bda2.wav,4,366,1,404,1,461,
1,bda3.wav,1,360,1,556,1,347,
2,bda4.wav,1,551,1,490,1,313,
6,bda5.wav,1,595,1,462,1,388,
0,bda6.wav,4,510,4,367,4,398,
4,bda7.wav,4,516,1,755,4,725,
7,bda8.wav,4,251,4,344,4,385,
3,bda9.wav,4,853,4,397,1,411,
0,bda2.wav,4,313,1,488,1,465,
1,bda3.wav,1,790,1,440,1,451,
4,bda4.wav,1,467,1,464,1,486,
5,bda5.wav,4,340,1,494,1,704,
3,bda6.wav,4,619,1,478,4,456,
2,bda7.wav,4,471,4,426,4,730,
7,bda8.wav,4,399,4,363,4,348,
6,bda9.wav,4,454,4,421,4,388,
5,bda2.wav,1,656,1,466,1,356,
7,bda3.wav,1,605,1,540,1,458,
0,bda4.wav,1,520,1,506,1,520,
4,bda5.wav,1,559,1,417,1,494,
6,bda6.wav,4,509,4,740,4,514,
3,bda7.wav,4,457,4,311,4,332,
2,bda8.wav,4,366,4,454,4,399,
1,bda9.wav,1,670,4,378,4,389,
