:BF:ID:,Comment,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\Head_IDBF.csv,Header
500,ITI,3000,MaximumWait
8,Number Of Trials,18,NumberOfPasses,1,NumberOfBlocks
B,Left Button Label,D,Right Button Label
Played at Trial,AudioWaveFile1,NRAM,RT,,RT,KJOL,RT,
7,bda2.wav,1,1284,0,0,1,1201,
0,bda3.wav,1,1034,0,0,1,587,
5,bda4.wav,1,1077,0,0,1,443,
3,bda5.wav,4,1211,0,0,1,890,
1,bda6.wav,4,1207,0,0,4,720,
2,bda7.wav,4,1536,0,0,4,1518,
4,bda8.wav,4,972,0,0,4,578,
6,bda9.wav,4,1628,0,0,4,1601,
0,bda2.wav,1,957,0,0,1,948,
6,bda3.wav,1,976,0,0,1,754,
2,bda4.wav,1,1544,0,0,1,942,
5,bda5.wav,4,1166,0,0,4,499,
3,bda6.wav,1,1085,0,0,1,714,
7,bda7.wav,4,1175,0,0,4,801,
1,bda8.wav,4,1246,0,0,4,1175,
4,bda9.wav,4,942,0,0,4,443,
7,bda2.wav,1,825,0,0,1,990,
6,bda3.wav,1,876,0,0,1,1011,
4,bda4.wav,1,910,0,0,1,2092,
0,bda5.wav,4,1793,0,0,4,1379,
2,bda6.wav,4,831,0,0,4,451,
1,bda7.wav,4,932,0,0,4,1672,
5,bda8.wav,4,936,0,0,4,533,
3,bda9.wav,4,832,0,0,4,757,
7,bda2.wav,1,833,0,0,4,632,
5,bda3.wav,1,820,0,0,1,957,
1,bda4.wav,1,786,0,0,4,533,
4,bda5.wav,1,995,0,0,1,823,
3,bda6.wav,1,2168,0,0,1,620,
6,bda7.wav,4,945,0,0,4,953,
0,bda8.wav,4,787,0,0,4,1143,
2,bda9.wav,4,1049,0,0,4,520,
3,bda2.wav,1,1209,0,0,4,465,
0,bda3.wav,1,1973,0,0,1,393,
7,bda4.wav,1,941,0,0,1,338,
4,bda5.wav,1,770,0,0,4,523,
6,bda6.wav,1,1372,0,0,1,421,
1,bda7.wav,4,781,0,0,4,268,
5,bda8.wav,4,545,0,0,4,257,
2,bda9.wav,4,684,0,0,1,322,
3,bda2.wav,1,1230,0,0,1,280,
7,bda3.wav,1,694,0,0,1,405,
5,bda4.wav,1,791,0,0,1,250,
4,bda5.wav,1,801,0,0,4,258,
1,bda6.wav,4,390,0,0,4,300,
0,bda7.wav,4,354,0,0,4,293,
2,bda8.wav,4,588,0,0,4,232,
6,bda9.wav,4,412,0,0,4,263,
2,bda2.wav,1,548,0,0,1,430,
7,bda3.wav,1,472,0,0,1,285,
4,bda4.wav,1,594,0,0,1,219,
5,bda5.wav,1,543,0,0,1,693,
