:BF:ID:,Comment,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\Head_IDBF.csv,Header
500,ITI,3000,MaximumWait
8,Number Of Trials,18,NumberOfPasses,1,NumberOfBlocks
B,Left Button Label,D,Right Button Label
Played at Trial,AudioWaveFile1,NKIM,RT,BNGU,RT,,RT,
1,bda2.wav,1,713,1,631,0,0,
2,bda3.wav,1,1329,1,1163,0,0,
0,bda4.wav,1,994,1,883,0,0,
7,bda5.wav,4,457,1,463,0,0,
5,bda6.wav,4,481,4,490,0,0,
6,bda7.wav,4,468,4,566,0,0,
4,bda8.wav,4,553,4,516,0,0,
3,bda9.wav,4,755,4,806,0,0,
5,bda2.wav,1,541,1,418,0,0,
6,bda3.wav,1,480,1,581,0,0,
0,bda4.wav,1,469,1,699,0,0,
4,bda5.wav,1,480,1,456,0,0,
7,bda6.wav,4,589,4,782,0,0,
3,bda7.wav,4,442,4,391,0,0,
2,bda8.wav,4,385,4,709,0,0,
1,bda9.wav,4,496,4,583,0,0,
5,bda2.wav,1,429,1,493,0,0,
6,bda3.wav,4,512,4,661,0,0,
0,bda4.wav,1,419,1,494,0,0,
4,bda5.wav,4,486,1,630,0,0,
7,bda6.wav,4,484,4,735,0,0,
2,bda7.wav,1,478,4,399,0,0,
1,bda8.wav,4,431,4,634,0,0,
3,bda9.wav,4,426,4,476,0,0,
1,bda2.wav,1,412,1,367,0,0,
5,bda3.wav,1,461,1,523,0,0,
2,bda4.wav,1,439,1,399,0,0,
6,bda5.wav,1,459,1,423,0,0,
3,bda6.wav,4,542,4,467,0,0,
4,bda7.wav,1,495,4,433,0,0,
0,bda8.wav,4,353,4,351,0,0,
7,bda9.wav,4,370,4,461,0,0,
1,bda2.wav,1,405,1,503,0,0,
0,bda3.wav,1,425,1,425,0,0,
6,bda4.wav,1,350,1,476,0,0,
3,bda5.wav,1,442,1,418,0,0,
5,bda6.wav,4,483,4,394,0,0,
2,bda7.wav,4,398,4,566,0,0,
4,bda8.wav,4,463,4,557,0,0,
7,bda9.wav,4,501,4,531,0,0,
3,bda2.wav,1,462,1,650,0,0,
1,bda3.wav,1,461,1,413,0,0,
2,bda4.wav,1,409,1,556,0,0,
5,bda5.wav,1,435,1,400,0,0,
4,bda6.wav,4,414,4,778,0,0,
6,bda7.wav,4,470,4,416,0,0,
0,bda8.wav,4,477,1,452,0,0,
7,bda9.wav,4,498,4,534,0,0,
3,bda2.wav,1,521,1,622,0,0,
4,bda3.wav,1,517,1,627,0,0,
7,bda4.wav,1,484,1,580,0,0,
0,bda5.wav,1,514,1,784,0,0,
2,bda6.wav,4,640,4,658,0,0,
