:BF:ID:,Comment,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\Head_IDBF.csv,Header
500,ITI,3000,MaximumWait
8,Number Of Trials,18,NumberOfPasses,1,NumberOfBlocks
B,Left Button Label,D,Right Button Label
Played at Trial,AudioWaveFile1,,RT,,RT,WKHA,RT,
1,bda2.wav,0,0,0,0,1,518,
4,bda3.wav,0,0,0,0,1,556,
2,bda4.wav,0,0,0,0,4,767,
6,bda5.wav,0,0,0,0,1,1174,
7,bda6.wav,0,0,0,0,4,477,
0,bda7.wav,0,0,0,0,4,610,
5,bda8.wav,0,0,0,0,4,662,
3,bda9.wav,0,0,0,0,4,562,
5,bda2.wav,0,0,0,0,1,565,
6,bda3.wav,0,0,0,0,1,487,
1,bda4.wav,0,0,0,0,1,604,
7,bda5.wav,0,0,0,0,1,643,
4,bda6.wav,0,0,0,0,1,1167,
3,bda7.wav,0,0,0,0,4,692,
2,bda8.wav,0,0,0,0,4,538,
0,bda9.wav,0,0,0,0,4,475,
2,bda2.wav,0,0,0,0,1,751,
5,bda3.wav,0,0,0,0,1,620,
4,bda4.wav,0,0,0,0,1,922,
0,bda5.wav,0,0,0,0,4,669,
6,bda6.wav,0,0,0,0,4,530,
7,bda7.wav,0,0,0,0,4,578,
1,bda8.wav,0,0,0,0,4,463,
3,bda9.wav,0,0,0,0,4,458,
2,bda2.wav,0,0,0,0,1,417,
0,bda3.wav,0,0,0,0,1,497,
7,bda4.wav,0,0,0,0,1,503,
1,bda5.wav,0,0,0,0,1,522,
4,bda6.wav,0,0,0,0,4,503,
6,bda7.wav,0,0,0,0,4,868,
3,bda8.wav,0,0,0,0,4,526,
5,bda9.wav,0,0,0,0,4,457,
1,bda2.wav,0,0,0,0,1,441,
3,bda3.wav,0,0,0,0,1,688,
4,bda4.wav,0,0,0,0,1,423,
0,bda5.wav,0,0,0,0,4,748,
6,bda6.wav,0,0,0,0,4,574,
7,bda7.wav,0,0,0,0,4,721,
5,bda8.wav,0,0,0,0,4,498,
2,bda9.wav,0,0,0,0,4,545,
3,bda2.wav,0,0,0,0,1,494,
6,bda3.wav,0,0,0,0,1,457,
4,bda4.wav,0,0,0,0,1,719,
2,bda5.wav,0,0,0,0,1,883,
5,bda6.wav,0,0,0,0,4,561,
7,bda7.wav,0,0,0,0,4,484,
0,bda8.wav,0,0,0,0,4,700,
1,bda9.wav,0,0,0,0,4,657,
2,bda2.wav,0,0,0,0,1,367,
0,bda3.wav,0,0,0,0,1,782,
4,bda4.wav,0,0,0,0,1,315,
1,bda5.wav,0,0,0,0,4,568,
3,bda6.wav,0,0,0,0,1,343,
6,bda7.wav,0,0,0,0,4,501,
5,bda8.wav,0,0,0,0,4,575,
7,bda9.wav,0,0,0,0,4,642,
1,bda2.wav,0,0,0,0,4,340,
2,bda3.wav,0,0,0,0,1,589,
4,bda4.wav,0,0,0,0,1,341,
6,bda5.wav,0,0,0,0,1,633,
0,bda6.wav,0,0,0,0,4,471,
5,bda7.wav,0,0,0,0,1,1024,
7,bda8.wav,0,0,0,0,4,350,
3,bda9.wav,0,0,0,0,4,860,
2,bda2.wav,0,0,0,0,1,449,
5,bda3.wav,0,0,0,0,1,540,
0,bda4.wav,0,0,0,0,1,707,
6,bda5.wav,0,0,0,0,1,579,
7,bda6.wav,0,0,0,0,4,503,
3,bda7.wav,0,0,0,0,4,432,
4,bda8.wav,0,0,0,0,4,493,
1,bda9.wav,0,0,0,0,4,371,
6,bda2.wav,0,0,0,0,1,291,
0,bda3.wav,0,0,0,0,1,447,
7,bda4.wav,0,0,0,0,1,1567,
1,bda5.wav,0,0,0,0,4,514,
3,bda6.wav,0,0,0,0,1,773,
4,bda7.wav,0,0,0,0,4,444,
5,bda8.wav,0,0,0,0,4,468,
2,bda9.wav,0,0,0,0,4,433,
4,bda2.wav,0,0,0,0,1,476,
7,bda3.wav,0,0,0,0,1,465,
5,bda4.wav,0,0,0,0,1,440,
