:BF:ID:,Comment,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\Head_IDBF.csv,Header
500,ITI,3000,MaximumWait
8,Number Of Trials,18,NumberOfPasses,1,NumberOfBlocks
B,Left Button Label,D,Right Button Label
Played at Trial,AudioWaveFile1,KPAO,RT,ANAP,RT,,RT,
3,bda2.wav,1,374,1,443,0,0,
2,bda3.wav,1,457,1,417,0,0,
1,bda4.wav,1,514,1,492,0,0,
5,bda5.wav,1,824,1,661,0,0,
0,bda6.wav,1,465,4,408,0,0,
6,bda7.wav,1,461,4,439,0,0,
7,bda8.wav,1,456,4,406,0,0,
4,bda9.wav,1,400,4,404,0,0,
2,bda2.wav,1,459,1,380,0,0,
7,bda3.wav,1,435,1,416,0,0,
3,bda4.wav,1,369,1,475,0,0,
1,bda5.wav,1,419,1,394,0,0,
5,bda6.wav,1,455,4,452,0,0,
4,bda7.wav,1,435,4,421,0,0,
0,bda8.wav,4,936,4,427,0,0,
6,bda9.wav,1,497,4,393,0,0,
1,bda2.wav,1,520,1,404,0,0,
4,bda3.wav,1,449,1,571,0,0,
3,bda4.wav,1,484,1,491,0,0,
0,bda5.wav,1,594,1,398,0,0,
6,bda6.wav,1,460,4,459,0,0,
5,bda7.wav,1,467,4,419,0,0,
7,bda8.wav,1,590,4,418,0,0,
2,bda9.wav,1,493,4,441,0,0,
4,bda2.wav,1,471,1,525,0,0,
1,bda3.wav,1,386,1,430,0,0,
7,bda4.wav,1,450,1,609,0,0,
3,bda5.wav,1,408,1,406,0,0,
2,bda6.wav,1,488,4,460,0,0,
6,bda7.wav,1,481,4,397,0,0,
0,bda8.wav,1,462,4,440,0,0,
5,bda9.wav,4,491,4,444,0,0,
6,bda2.wav,1,527,1,390,0,0,
7,bda3.wav,1,490,1,361,0,0,
5,bda4.wav,1,487,1,423,0,0,
2,bda5.wav,1,408,1,464,0,0,
3,bda6.wav,1,475,4,434,0,0,
0,bda7.wav,1,545,4,562,0,0,
1,bda8.wav,1,480,4,469,0,0,
4,bda9.wav,1,463,4,458,0,0,
3,bda2.wav,1,461,1,459,0,0,
1,bda3.wav,1,459,1,439,0,0,
5,bda4.wav,1,459,1,450,0,0,
2,bda5.wav,1,436,1,447,0,0,
0,bda6.wav,1,448,4,428,0,0,
4,bda7.wav,1,493,4,415,0,0,
7,bda8.wav,1,424,4,392,0,0,
6,bda9.wav,1,601,4,375,0,0,
6,bda2.wav,1,506,1,416,0,0,
0,bda3.wav,1,464,1,414,0,0,
2,bda4.wav,1,502,1,469,0,0,
3,bda5.wav,1,489,1,444,0,0,
4,bda6.wav,1,395,4,435,0,0,
7,bda7.wav,1,394,4,426,0,0,
1,bda8.wav,1,432,4,388,0,0,
5,bda9.wav,1,449,4,467,0,0,
6,bda2.wav,1,515,1,388,0,0,
0,bda3.wav,1,426,1,469,0,0,
5,bda4.wav,1,461,1,528,0,0,
3,bda5.wav,1,506,1,430,0,0,
4,bda6.wav,1,502,4,387,0,0,
2,bda7.wav,1,489,4,403,0,0,
7,bda8.wav,1,396,4,452,0,0,
1,bda9.wav,1,505,4,414,0,0,
0,bda2.wav,1,585,1,419,0,0,
4,bda3.wav,1,483,1,365,0,0,
3,bda4.wav,1,498,1,462,0,0,
7,bda5.wav,1,491,1,444,0,0,
6,bda6.wav,1,532,4,460,0,0,
2,bda7.wav,1,487,4,424,0,0,
1,bda8.wav,1,486,4,391,0,0,
5,bda9.wav,1,475,4,438,0,0,
5,bda2.wav,1,462,1,385,0,0,
1,bda3.wav,1,464,1,488,0,0,
0,bda4.wav,1,411,4,421,0,0,
4,bda5.wav,1,399,1,366,0,0,
7,bda6.wav,1,483,4,391,0,0,
3,bda7.wav,1,478,4,411,0,0,
2,bda8.wav,4,624,4,462,0,0,
6,bda9.wav,1,462,4,540,0,0,
6,bda2.wav,1,567,1,388,0,0,
0,bda3.wav,1,459,1,350,0,0,
1,bda4.wav,1,363,1,494,0,0,
7,bda5.wav,1,474,1,413,0,0,
5,bda6.wav,1,484,4,460,0,0,
4,bda7.wav,1,502,4,371,0,0,
3,bda8.wav,1,443,4,463,0,0,
2,bda9.wav,1,798,4,405,0,0,
4,bda2.wav,1,467,1,384,0,0,
6,bda3.wav,1,425,1,425,0,0,
2,bda4.wav,1,467,1,438,0,0,
3,bda5.wav,1,474,1,561,0,0,
1,bda6.wav,1,450,4,374,0,0,
0,bda7.wav,1,607,4,340,0,0,
7,bda8.wav,1,477,4,356,0,0,
5,bda9.wav,1,545,4,392,0,0,
