:BF:ID:,Comment,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\Head_IDBF.csv,Header
500,ITI,3000,MaximumWait
8,Number Of Trials,18,NumberOfPasses,1,NumberOfBlocks
B,Left Button Label,D,Right Button Label
Played at Trial,AudioWaveFile1,SHAN,RT,MBUT,RT,,RT,
5,bda2.wav,1,435,1,423,0,0,
1,bda3.wav,1,788,1,798,0,0,
4,bda4.wav,1,500,1,421,0,0,
6,bda5.wav,1,515,1,454,0,0,
3,bda6.wav,4,699,4,994,0,0,
2,bda7.wav,4,1239,4,1219,0,0,
7,bda8.wav,4,418,4,592,0,0,
0,bda9.wav,4,408,4,472,0,0,
6,bda2.wav,1,461,1,397,0,0,
2,bda3.wav,1,469,1,357,0,0,
7,bda4.wav,1,520,1,377,0,0,
3,bda5.wav,1,429,1,390,0,0,
1,bda6.wav,4,480,1,420,0,0,
4,bda7.wav,4,378,4,334,0,0,
0,bda8.wav,4,405,4,505,0,0,
5,bda9.wav,4,424,4,384,0,0,
6,bda2.wav,1,487,1,364,0,0,
7,bda3.wav,1,419,1,337,0,0,
0,bda4.wav,1,338,1,354,0,0,
4,bda5.wav,1,496,1,411,0,0,
1,bda6.wav,4,369,4,358,0,0,
5,bda7.wav,4,423,4,377,0,0,
2,bda8.wav,4,435,4,398,0,0,
3,bda9.wav,4,416,4,386,0,0,
0,bda2.wav,1,412,1,438,0,0,
5,bda3.wav,1,383,1,355,0,0,
4,bda4.wav,1,379,1,334,0,0,
6,bda5.wav,1,479,1,424,0,0,
3,bda6.wav,4,413,4,396,0,0,
7,bda7.wav,4,392,4,397,0,0,
1,bda8.wav,4,357,4,385,0,0,
2,bda9.wav,4,379,4,363,0,0,
5,bda2.wav,1,390,1,365,0,0,
6,bda3.wav,1,396,1,390,0,0,
0,bda4.wav,1,454,1,375,0,0,
7,bda5.wav,1,509,1,350,0,0,
1,bda6.wav,4,419,4,443,0,0,
3,bda7.wav,4,356,4,338,0,0,
4,bda8.wav,4,400,4,348,0,0,
2,bda9.wav,4,396,4,433,0,0,
0,bda2.wav,4,452,1,327,0,0,
7,bda3.wav,1,387,1,417,0,0,
2,bda4.wav,1,387,4,411,0,0,
3,bda5.wav,1,428,1,622,0,0,
5,bda6.wav,4,391,4,632,0,0,
4,bda7.wav,4,455,4,408,0,0,
1,bda8.wav,4,461,4,458,0,0,
6,bda9.wav,4,488,4,521,0,0,
0,bda2.wav,1,378,1,483,0,0,
1,bda3.wav,1,475,1,436,0,0,
4,bda4.wav,1,420,1,464,0,0,
3,bda5.wav,4,436,1,424,0,0,
5,bda6.wav,4,394,4,491,0,0,
2,bda7.wav,4,452,4,556,0,0,
6,bda8.wav,4,378,4,515,0,0,
7,bda9.wav,4,414,4,475,0,0,
7,bda2.wav,1,474,1,373,0,0,
3,bda3.wav,1,475,1,376,0,0,
1,bda4.wav,1,506,1,392,0,0,
5,bda5.wav,1,402,1,396,0,0,
6,bda6.wav,1,526,4,471,0,0,
4,bda7.wav,4,430,4,466,0,0,
2,bda8.wav,4,367,4,546,0,0,
0,bda9.wav,4,383,4,421,0,0,
4,bda2.wav,1,465,1,426,0,0,
2,bda3.wav,1,435,1,492,0,0,
1,bda4.wav,1,415,1,430,0,0,
6,bda5.wav,1,400,1,429,0,0,
0,bda6.wav,1,506,1,438,0,0,
3,bda7.wav,4,418,4,419,0,0,
5,bda8.wav,4,373,4,475,0,0,
7,bda9.wav,4,496,4,472,0,0,
6,bda2.wav,1,484,1,394,0,0,
7,bda3.wav,1,478,1,379,0,0,
5,bda4.wav,1,442,1,419,0,0,
3,bda5.wav,1,409,1,503,0,0,
0,bda6.wav,4,518,4,455,0,0,
4,bda7.wav,4,429,4,445,0,0,
1,bda8.wav,4,394,4,497,0,0,
2,bda9.wav,4,410,4,505,0,0,
4,bda2.wav,1,401,1,418,0,0,
2,bda3.wav,1,419,1,381,0,0,
6,bda4.wav,1,495,1,545,0,0,
7,bda5.wav,1,501,1,561,0,0,
0,bda6.wav,4,392,1,514,0,0,
1,bda7.wav,4,426,4,542,0,0,
3,bda8.wav,4,428,4,449,0,0,
5,bda9.wav,4,394,4,447,0,0,
3,bda2.wav,1,511,1,428,0,0,
6,bda3.wav,1,360,1,289,0,0,
1,bda4.wav,1,510,1,474,0,0,
0,bda5.wav,1,516,1,367,0,0,
2,bda6.wav,4,430,1,508,0,0,
5,bda7.wav,4,456,4,429,0,0,
4,bda8.wav,4,401,4,498,0,0,
7,bda9.wav,4,460,4,577,0,0,
6,bda2.wav,1,533,1,413,0,0,
3,bda3.wav,1,403,1,602,0,0,
4,bda4.wav,1,501,1,439,0,0,
2,bda5.wav,1,466,1,440,0,0,
0,bda6.wav,1,504,4,708,0,0,
1,bda7.wav,4,384,4,507,0,0,
5,bda8.wav,4,491,4,504,0,0,
7,bda9.wav,4,434,4,496,0,0,
5,bda2.wav,1,386,1,368,0,0,
7,bda3.wav,1,530,1,386,0,0,
1,bda4.wav,1,438,1,347,0,0,
6,bda5.wav,1,507,1,376,0,0,
4,bda6.wav,1,523,4,364,0,0,
0,bda7.wav,4,373,4,513,0,0,
3,bda8.wav,4,372,4,549,0,0,
2,bda9.wav,4,446,4,628,0,0,
2,bda2.wav,1,373,1,393,0,0,
3,bda3.wav,1,486,1,378,0,0,
6,bda4.wav,1,466,1,392,0,0,
5,bda5.wav,1,476,1,439,0,0,
4,bda6.wav,4,429,4,628,0,0,
0,bda7.wav,4,436,4,524,0,0,
1,bda8.wav,4,412,4,441,0,0,
7,bda9.wav,4,469,4,375,0,0,
0,bda2.wav,1,501,1,328,0,0,
6,bda3.wav,1,440,1,345,0,0,
5,bda4.wav,1,389,1,358,0,0,
3,bda5.wav,1,715,1,349,0,0,
7,bda6.wav,4,369,4,321,0,0,
4,bda7.wav,4,457,4,410,0,0,
2,bda8.wav,4,381,4,381,0,0,
1,bda9.wav,4,437,4,318,0,0,
3,bda2.wav,1,504,1,381,0,0,
7,bda3.wav,1,469,1,378,0,0,
0,bda4.wav,1,428,1,405,0,0,
2,bda5.wav,4,386,1,443,0,0,
1,bda6.wav,4,461,4,392,0,0,
6,bda7.wav,4,431,4,393,0,0,
5,bda8.wav,4,431,4,352,0,0,
4,bda9.wav,4,428,4,364,0,0,
7,bda2.wav,1,585,1,411,0,0,
2,bda3.wav,4,503,1,382,0,0,
6,bda4.wav,1,437,1,306,0,0,
1,bda5.wav,1,460,1,531,0,0,
0,bda6.wav,4,500,4,817,0,0,
5,bda7.wav,4,399,1,372,0,0,
4,bda8.wav,4,444,4,415,0,0,
3,bda9.wav,4,501,4,634,0,0,
