:BF:ID:,Comment,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\Head_IDBF.csv,Header
500,ITI,3000,MaximumWait
8,Number Of Trials,18,NumberOfPasses,1,NumberOfBlocks
B,Left Button Label,D,Right Button Label
Played at Trial,AudioWaveFile1,,RT,,RT,CALB,RT,
7,bda2.wav,0,0,0,0,1,647,
5,bda3.wav,0,0,0,0,1,560,
4,bda4.wav,0,0,0,0,1,528,
0,bda5.wav,0,0,0,0,1,519,
3,bda6.wav,0,0,0,0,1,583,
6,bda7.wav,0,0,0,0,1,640,
1,bda8.wav,0,0,0,0,1,516,
2,bda9.wav,0,0,0,0,4,1050,
6,bda2.wav,0,0,0,0,1,554,
3,bda3.wav,0,0,0,0,1,550,
1,bda4.wav,0,0,0,0,1,545,
5,bda5.wav,0,0,0,0,1,534,
2,bda6.wav,0,0,0,0,1,662,
0,bda7.wav,0,0,0,0,4,543,
7,bda8.wav,0,0,0,0,4,519,
4,bda9.wav,0,0,0,0,4,547,
1,bda2.wav,0,0,0,0,1,417,
5,bda3.wav,0,0,0,0,1,566,
6,bda4.wav,0,0,0,0,1,526,
4,bda5.wav,0,0,0,0,1,525,
2,bda6.wav,0,0,0,0,1,572,
3,bda7.wav,0,0,0,0,1,507,
7,bda8.wav,0,0,0,0,4,569,
0,bda9.wav,0,0,0,0,4,536,
0,bda2.wav,0,0,0,0,1,540,
2,bda3.wav,0,0,0,0,1,570,
3,bda4.wav,0,0,0,0,1,489,
7,bda5.wav,0,0,0,0,1,472,
5,bda6.wav,0,0,0,0,1,538,
6,bda7.wav,0,0,0,0,1,619,
4,bda8.wav,0,0,0,0,4,825,
1,bda9.wav,0,0,0,0,4,529,
4,bda2.wav,0,0,0,0,1,522,
3,bda3.wav,0,0,0,0,1,526,
1,bda4.wav,0,0,0,0,1,569,
7,bda5.wav,0,0,0,0,1,508,
5,bda6.wav,0,0,0,0,1,525,
6,bda7.wav,0,0,0,0,1,567,
0,bda8.wav,0,0,0,0,4,751,
2,bda9.wav,0,0,0,0,4,564,
5,bda2.wav,0,0,0,0,1,569,
3,bda3.wav,0,0,0,0,1,556,
6,bda4.wav,0,0,0,0,1,584,
4,bda5.wav,0,0,0,0,1,535,
1,bda6.wav,0,0,0,0,1,583,
0,bda7.wav,0,0,0,0,4,610,
2,bda8.wav,0,0,0,0,4,615,
7,bda9.wav,0,0,0,0,4,579,
2,bda2.wav,0,0,0,0,1,551,
0,bda3.wav,0,0,0,0,1,590,
6,bda4.wav,0,0,0,0,1,531,
3,bda5.wav,0,0,0,0,1,547,
5,bda6.wav,0,0,0,0,4,599,
4,bda7.wav,0,0,0,0,4,713,
7,bda8.wav,0,0,0,0,4,550,
1,bda9.wav,0,0,0,0,4,772,
3,bda2.wav,0,0,0,0,1,573,
5,bda3.wav,0,0,0,0,1,588,
