:BF:ID:,Comment,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\Head_IDBF.csv,Header
500,ITI,3000,MaximumWait
8,Number Of Trials,18,NumberOfPasses,1,NumberOfBlocks
B,Left Button Label,D,Right Button Label
Played at Trial,AudioWaveFile1,ESAM,RT,SWON,RT,MZHA,RT,
4,bda2.wav,1,503,1,431,1,591,
0,bda3.wav,1,525,1,369,1,414,
3,bda4.wav,1,533,1,342,1,439,
6,bda5.wav,1,536,1,376,4,678,
1,bda6.wav,1,832,4,1026,4,950,
7,bda7.wav,1,675,1,537,4,465,
5,bda8.wav,1,850,4,470,4,576,
2,bda9.wav,4,463,1,349,4,460,
1,bda2.wav,1,606,1,648,1,382,
2,bda3.wav,1,575,1,420,1,468,
6,bda4.wav,1,487,1,384,1,372,
4,bda5.wav,1,462,1,416,1,418,
0,bda6.wav,1,814,4,567,4,571,
5,bda7.wav,1,925,4,394,4,322,
7,bda8.wav,4,716,4,395,4,394,
3,bda9.wav,4,484,4,380,4,492,
3,bda2.wav,1,832,1,454,1,449,
7,bda3.wav,1,497,1,375,1,437,
2,bda4.wav,1,622,1,450,1,384,
0,bda5.wav,1,798,1,540,1,461,
6,bda6.wav,1,503,4,691,4,446,
4,bda7.wav,1,488,4,429,4,432,
5,bda8.wav,4,483,4,401,4,383,
1,bda9.wav,4,356,4,385,4,461,
5,bda2.wav,1,457,1,358,1,586,
0,bda3.wav,1,501,1,393,1,471,
7,bda4.wav,1,369,1,399,1,459,
1,bda5.wav,1,445,1,503,1,413,
2,bda6.wav,1,493,4,453,4,401,
4,bda7.wav,1,489,4,523,4,444,
6,bda8.wav,4,366,4,406,4,546,
3,bda9.wav,4,414,4,433,4,441,
5,bda2.wav,1,456,1,402,1,569,
2,bda3.wav,1,638,1,322,1,590,
0,bda4.wav,1,486,1,429,1,585,
4,bda5.wav,1,515,4,407,1,531,
1,bda6.wav,1,447,4,309,4,420,
3,bda7.wav,1,447,4,381,4,364,
6,bda8.wav,4,435,4,360,4,343,
7,bda9.wav,4,558,4,400,4,381,
6,bda2.wav,1,441,1,379,1,474,
1,bda3.wav,1,480,1,403,1,424,
5,bda4.wav,1,418,1,497,1,493,
4,bda5.wav,1,435,1,486,1,485,
7,bda6.wav,1,514,4,468,4,645,
3,bda7.wav,1,655,4,405,4,399,
0,bda8.wav,4,423,4,306,4,407,
2,bda9.wav,4,512,4,391,4,438,
2,bda2.wav,1,370,1,565,1,407,
1,bda3.wav,1,534,1,389,1,526,
4,bda4.wav,1,563,1,412,1,502,
5,bda5.wav,1,369,4,386,1,578,
3,bda6.wav,1,384,1,782,1,604,
6,bda7.wav,1,501,4,336,4,504,
7,bda8.wav,4,410,4,353,4,422,
0,bda9.wav,4,394,4,464,4,493,
4,bda2.wav,1,397,1,434,1,463,
3,bda3.wav,1,445,1,497,1,480,
7,bda4.wav,4,1044,1,347,1,420,
1,bda5.wav,1,510,4,644,1,488,
0,bda6.wav,1,430,4,935,1,467,
5,bda7.wav,1,789,4,413,4,414,
6,bda8.wav,4,466,1,517,4,449,
2,bda9.wav,4,434,4,480,4,339,
3,bda2.wav,1,535,1,453,1,427,
4,bda3.wav,1,491,1,348,1,390,
0,bda4.wav,1,927,1,528,1,445,
6,bda5.wav,1,431,1,717,4,469,
7,bda6.wav,1,474,4,362,4,461,
1,bda7.wav,4,923,4,416,4,475,
2,bda8.wav,4,428,4,382,4,436,
5,bda9.wav,4,507,4,427,4,426,
5,bda2.wav,1,530,1,538,1,440,
4,bda3.wav,1,602,1,448,1,451,
0,bda4.wav,1,558,1,413,1,514,
7,bda5.wav,1,512,4,648,1,545,
3,bda6.wav,1,472,4,646,4,450,
1,bda7.wav,4,683,4,474,4,488,
2,bda8.wav,4,384,4,467,4,402,
6,bda9.wav,4,418,4,460,4,418,
6,bda2.wav,1,485,1,329,1,467,
1,bda3.wav,1,340,1,380,1,374,
4,bda4.wav,1,417,4,534,1,440,
5,bda5.wav,1,564,1,472,1,479,
3,bda6.wav,1,411,4,707,4,438,
2,bda7.wav,1,491,4,542,4,427,
7,bda8.wav,4,362,4,483,4,437,
0,bda9.wav,4,362,4,450,4,505,
3,bda2.wav,1,434,1,430,1,375,
5,bda3.wav,1,336,1,516,1,330,
2,bda4.wav,1,409,1,355,1,817,
4,bda5.wav,1,502,1,545,1,544,
7,bda6.wav,1,468,4,468,4,486,
0,bda7.wav,4,618,4,416,4,471,
6,bda8.wav,4,510,4,430,4,398,
1,bda9.wav,4,443,4,462,4,463,
2,bda2.wav,1,492,1,356,1,532,
6,bda3.wav,1,563,1,437,1,445,
4,bda4.wav,1,357,1,432,1,440,
5,bda5.wav,1,450,4,406,1,466,
1,bda6.wav,1,550,1,391,1,508,
3,bda7.wav,4,519,4,596,1,474,
0,bda8.wav,4,398,4,413,4,421,
7,bda9.wav,4,422,4,366,4,419,
0,bda2.wav,1,502,1,474,1,399,
5,bda3.wav,1,798,1,326,1,496,
3,bda4.wav,1,425,1,714,1,502,
7,bda5.wav,1,380,1,331,1,423,
6,bda6.wav,1,472,4,354,1,399,
4,bda7.wav,1,590,4,447,4,423,
1,bda8.wav,1,623,4,454,4,432,
2,bda9.wav,4,371,4,359,4,402,
3,bda2.wav,1,559,4,544,1,546,
6,bda3.wav,1,556,1,481,1,604,
2,bda4.wav,1,506,1,411,1,352,
7,bda5.wav,1,610,1,517,4,379,
5,bda6.wav,1,392,4,396,1,432,
1,bda7.wav,1,589,4,430,1,810,
0,bda8.wav,4,435,4,403,4,773,
4,bda9.wav,4,488,4,433,4,342,
1,bda2.wav,1,689,1,533,1,450,
0,bda3.wav,1,548,1,716,1,519,
2,bda4.wav,1,572,1,376,1,418,
3,bda5.wav,1,354,4,514,1,424,
4,bda6.wav,1,734,4,751,1,665,
5,bda7.wav,1,630,4,448,1,756,
7,bda8.wav,4,451,4,307,4,462,
6,bda9.wav,4,445,4,545,4,659,
7,bda2.wav,1,407,1,376,1,507,
0,bda3.wav,1,350,1,461,1,466,
6,bda4.wav,1,268,1,485,1,370,
2,bda5.wav,1,366,1,544,1,506,
3,bda6.wav,1,316,1,580,1,527,
1,bda7.wav,1,259,4,400,4,478,
4,bda8.wav,4,253,4,439,4,362,
5,bda9.wav,4,363,4,336,4,700,
7,bda2.wav,1,459,1,461,1,432,
6,bda3.wav,1,504,1,426,1,472,
5,bda4.wav,1,686,1,478,1,493,
2,bda5.wav,1,601,4,712,1,510,
0,bda6.wav,1,528,4,486,1,466,
4,bda7.wav,1,443,4,381,4,447,
1,bda8.wav,4,345,4,337,4,464,
3,bda9.wav,4,395,4,322,4,454,
