nonsense, comment,Comment,,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\Head_ADDF.csv,Header,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\AudioAdapt.exe
Stim/,StimDir,Stim/,DataDir
1,ITI,0.5,ISI,0.3,AISI,3,MaximumWait
8,Number Of Trials,14,NumberOfPasses,1,NumberOfBlocks
D,Right Button Label

Played at Trial, WaveFile, SVIA,RT,SPAC,RT,,RT,

7,bda2,1,0.426,1,0.522, 0 , 0 ,
 0,bda3,1,0.441,1,0.462, 0 , 0 ,
 1,bda4,1,0.471,1,0.597, 0 , 0 ,
 5,bda5,4,0.720,1,0.874, 0 , 0 ,
 2,bda6,4,0.490,4,0.716, 0 , 0 ,
 3,bda7,4,0.455,4,0.571, 0 , 0 ,
 6,bda8,4,0.578,4,0.472, 0 , 0 ,
 4,bda9,4,0.701,4,0.833, 0 , 0 ,
 4,bda2,1,0.452,1,0.435, 0 , 0 ,
 3,bda3,1,0.475,1,0.412, 0 , 0 ,
 2,bda4,1,0.601,1,0.558, 0 , 0 ,
 5,bda5,1,0.427,1,0.786, 0 , 0 ,
 6,bda6,4,0.674,4,1.749, 0 , 0 ,
 0,bda7,4,0.379,4,0.423, 0 , 0 ,
 7,bda8,4,0.377,4,0.466, 0 , 0 ,
 1,bda9,4,0.361,4,0.392, 0 , 0 ,
 3,bda2,1,0.469,1,0.435, 0 , 0 ,
 2,bda3,1,0.520,1,0.466, 0 , 0 ,
 1,bda4,1,0.708,1,0.603, 0 , 0 ,
 7,bda5,4,1.337,1,0.812, 0 , 0 ,
 6,bda6,4,0.357,4,0.506, 0 , 0 ,
 5,bda7,4,0.374,4,0.891, 0 , 0 ,
 0,bda8,4,0.515,4,0.491, 0 , 0 ,
 4,bda9,4,0.422,4,0.483, 0 , 0 ,
 2,bda2,1,0.662,1,0.617, 0 , 0 ,
 6,bda3,1,0.434,1,0.433, 0 , 0 ,
 5,bda4,1,0.523,1,0.710, 0 , 0 ,
 3,bda5,1,0.444,4,0.841, 0 , 0 ,
 1,bda6,4,0.523,4,1.250, 0 , 0 ,
 4,bda7,4,0.468,4,0.409, 0 , 0 ,
 0,bda8,4,0.384,4,0.570, 0 , 0 ,
 7,bda9,4,0.504,4,0.432, 0 , 0 ,
 4,bda2,1,0.471,1,0.508, 0 , 0 ,
 6,bda3,1,0.501,1,0.377, 0 , 0 ,
 5,bda4,1,0.478,1,0.524, 0 , 0 ,
 0,bda5,1,0.944,1,0.502, 0 , 0 ,
 1,bda6,4,0.616,4,0.861, 0 , 0 ,
 2,bda7,4,0.422,4,0.635, 0 , 0 ,
 3,bda8,4,0.424,4,0.583, 0 , 0 ,
 7,bda9,4,0.515,4,0.695, 0 , 0 ,
 2,bda2,1,0.655,1,0.522, 0 , 0 ,
 4,bda3,1,0.415,1,0.561, 0 , 0 ,
 6,bda4,1,0.570,1,0.625, 0 , 0 ,
 1,bda5,4,1.546,4,1.163, 0 , 0 ,
 0,bda6,4,0.529,4,0.814, 0 , 0 ,
 7,bda7,4,0.512,4,0.608, 0 , 0 ,
 3,bda8,4,0.436,4,0.679, 0 , 0 ,
 5,bda9,4,0.565,4,0.462, 0 , 0 ,
 3,bda2,1,0.549,1,0.613, 0 , 0 ,
 5,bda3,1,0.451,1,0.467, 0 , 0 ,
 2,bda4,1,0.579,1,0.555, 0 , 0 ,
 6,bda5,4,1.322,1,1.146, 0 , 0 ,
 0,bda6,4,0.479,4,0.727, 0 , 0 ,
 7,bda7,4,0.657,4,0.793, 0 , 0 ,
 4,bda8,4,0.441,4,0.500, 0 , 0 ,
 1,bda9,4,0.482,4,0.570, 0 , 0 ,
 3,bda2,1,0.411,1,0.516, 0 , 0 ,
 1,bda3,1,0.423,1,0.646, 0 , 0 ,
 7,bda4,1,0.508,1,0.564, 0 , 0 ,
 5,bda5,4,0.982,1,1.523, 0 , 0 ,
 0,bda6,4,0.561,1,1.263, 0 , 0 ,
 2,bda7,4,0.376,4,0.520, 0 , 0 ,
 6,bda8,4,0.381,4,0.513, 0 , 0 ,
 4,bda9,4,0.339,4,0.488, 0 , 0 ,
 6,bda2,1,0.484,1,0.581, 0 , 0 ,
 2,bda3,1,0.465,4,0.672, 0 , 0 ,
 5,bda4,1,0.480,1,0.834, 0 , 0 ,
 7,bda5,4,0.585,1,0.919, 0 , 0 ,
 0,bda6,4,0.791,4,0.642, 0 , 0 ,
 1,bda7,4,0.407,4,1.000, 0 , 0 ,
 4,bda8,4,0.685,4,1.229, 0 , 0 ,
 3,bda9,4,0.487,4,0.782, 0 , 0 ,
 5,bda2,1,0.549,1,0.475, 0 , 0 ,
 2,bda3,1,0.411,1,0.591, 0 , 0 ,
 0,bda4,1,0.682,1,0.485, 0 , 0 ,
 1,bda5,4,0.781,1,0.961, 0 , 0 ,
