nonsense, comment,Comment,,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\Head_ADDF.csv,Header,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\AudioAdapt.exe
Stim/,StimDir,Stim/,DataDir
1,ITI,0.5,ISI,0.3,AISI,3,MaximumWait
8,Number Of Trials,14,NumberOfPasses,1,NumberOfBlocks
D,Right Button Label

Played at Trial, WaveFile, ,RT,,RT,CPAR,RT,

3,bda2, 0 , 0 , 0 , 0 ,1,0.416,
 1,bda3, 0 , 0 , 0 , 0 ,1,0.410,
 2,bda4, 0 , 0 , 0 , 0 ,1,0.323,
 6,bda5, 0 , 0 , 0 , 0 ,1,1.844,
 5,bda6, 0 , 0 , 0 , 0 ,1,1.495,
 0,bda7, 0 , 0 , 0 , 0 ,4,0.588,
 7,bda8, 0 , 0 , 0 , 0 ,4,0.402,
 4,bda9, 0 , 0 , 0 , 0 ,4,0.886,
 4,bda2, 0 , 0 , 0 , 0 ,1,0.469,
 6,bda3, 0 , 0 , 0 , 0 ,1,0.363,
 0,bda4, 0 , 0 , 0 , 0 ,1,0.340,
 1,bda5, 0 , 0 , 0 , 0 ,1,0.348,
 3,bda6, 0 , 0 , 0 , 0 ,1,1.241,
 7,bda7, 0 , 0 , 0 , 0 ,4,0.390,
 5,bda8, 0 , 0 , 0 , 0 ,1,0.493,
 2,bda9, 0 , 0 , 0 , 0 ,4,0.401,
 3,bda2, 0 , 0 , 0 , 0 ,1,0.493,
 7,bda3, 0 , 0 , 0 , 0 ,1,0.401,
 2,bda4, 0 , 0 , 0 , 0 ,1,0.307,
 6,bda5, 0 , 0 , 0 , 0 ,1,0.728,
 1,bda6, 0 , 0 , 0 , 0 ,1,0.578,
 5,bda7, 0 , 0 , 0 , 0 ,4,0.702,
 4,bda8, 0 , 0 , 0 , 0 ,4,0.701,
 0,bda9, 0 , 0 , 0 , 0 ,4,0.491,
 7,bda2, 0 , 0 , 0 , 0 ,1,0.492,
 6,bda3, 0 , 0 , 0 , 0 ,1,0.425,
 5,bda4, 0 , 0 , 0 , 0 ,1,0.470,
 4,bda5, 0 , 0 , 0 , 0 ,1,0.648,
 0,bda6, 0 , 0 , 0 , 0 ,1,0.500,
 2,bda7, 0 , 0 , 0 , 0 ,1,0.964,
 3,bda8, 0 , 0 , 0 , 0 ,4,0.534,
 1,bda9, 0 , 0 , 0 , 0 ,4,0.889,
 4,bda2, 0 , 0 , 0 , 0 ,1,0.368,
 3,bda3, 0 , 0 , 0 , 0 ,1,0.359,
 5,bda4, 0 , 0 , 0 , 0 ,1,0.707,
 2,bda5, 0 , 0 , 0 , 0 ,1,0.494,
 1,bda6, 0 , 0 , 0 , 0 ,1,1.201,
 0,bda7, 0 , 0 , 0 , 0 ,4,0.502,
 6,bda8, 0 , 0 , 0 , 0 ,4,0.404,
 7,bda9, 0 , 0 , 0 , 0 ,4,0.678,
 7,bda2, 0 , 0 , 0 , 0 ,1,0.597,
 1,bda3, 0 , 0 , 0 , 0 ,1,0.423,
 0,bda4, 0 , 0 , 0 , 0 ,1,0.696,
 6,bda5, 0 , 0 , 0 , 0 ,1,0.490,
 2,bda6, 0 , 0 , 0 , 0 ,4,0.802,
 3,bda7, 0 , 0 , 0 , 0 ,4,0.650,
 4,bda8, 0 , 0 , 0 , 0 ,4,0.419,
 5,bda9, 0 , 0 , 0 , 0 ,4,0.805,
 5,bda2, 0 , 0 , 0 , 0 ,1,0.351,
 2,bda3, 0 , 0 , 0 , 0 ,1,0.406,
 0,bda4, 0 , 0 , 0 , 0 ,1,0.504,
 7,bda5, 0 , 0 , 0 , 0 ,1,0.689,
 1,bda6, 0 , 0 , 0 , 0 ,1,0.472,
 6,bda7, 0 , 0 , 0 , 0 ,4,0.887,
 4,bda8, 0 , 0 , 0 , 0 ,4,0.476,
 3,bda9, 0 , 0 , 0 , 0 ,4,0.439,
 1,bda2, 0 , 0 , 0 , 0 ,1,0.391,
 5,bda3, 0 , 0 , 0 , 0 ,1,0.546,
 3,bda4, 0 , 0 , 0 , 0 ,1,0.592,
 7,bda5, 0 , 0 , 0 , 0 ,1,0.926,
 6,bda6, 0 , 0 , 0 , 0 ,4,0.625,
 4,bda7, 0 , 0 , 0 , 0 ,4,0.542,
 0,bda8, 0 , 0 , 0 , 0 ,4,0.432,
 2,bda9, 0 , 0 , 0 , 0 ,4,0.917,
 5,bda2, 0 , 0 , 0 , 0 ,1,0.520,
 2,bda3, 0 , 0 , 0 , 0 ,1,0.389,
 7,bda4, 0 , 0 , 0 , 0 ,1,0.596,
 3,bda5, 0 , 0 , 0 , 0 ,1,0.495,
 6,bda6, 0 , 0 , 0 , 0 ,1,0.349,
 4,bda7, 0 , 0 , 0 , 0 ,1,0.764,
 0,bda8, 0 , 0 , 0 , 0 ,4,0.332,
 1,bda9, 0 , 0 , 0 , 0 ,4,0.430,
 3,bda2, 0 , 0 , 0 , 0 ,1,0.727,
 2,bda3, 0 , 0 , 0 , 0 ,1,0.525,
 1,bda4, 0 , 0 , 0 , 0 ,1,0.536,
 6,bda5, 0 , 0 , 0 , 0 ,1,1.849,
 7,bda6, 0 , 0 , 0 , 0 ,1,1.270,
 0,bda7, 0 , 0 , 0 , 0 ,1,0.879,
 4,bda8, 0 , 0 , 0 , 0 ,4,0.732,
 5,bda9, 0 , 0 , 0 , 0 ,4,0.479,
 7,bda2, 0 , 0 , 0 , 0 ,1,0.534,
 2,bda3, 0 , 0 , 0 , 0 ,1,0.976,
 1,bda4, 0 , 0 , 0 , 0 ,1,0.410,
 4,bda5, 0 , 0 , 0 , 0 ,1,0.646,
 5,bda6, 0 , 0 , 0 , 0 ,1,0.523,
 6,bda7, 0 , 0 , 0 , 0 ,4,0.514,
 0,bda8, 0 , 0 , 0 , 0 ,4,0.335,
 3,bda9, 0 , 0 , 0 , 0 ,4,0.837,
 7,bda2, 0 , 0 , 0 , 0 ,1,0.444,
 2,bda3, 0 , 0 , 0 , 0 ,1,0.855,
