nonsense, comment,Comment,,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\Head_ADDF.csv,Header,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\AudioAdapt.exe
Stim/,StimDir,Stim/,DataDir
1,ITI,0.5,ISI,0.3,AISI,3,MaximumWait
8,Number Of Trials,14,NumberOfPasses,1,NumberOfBlocks
D,Right Button Label

Played at Trial, WaveFile, ,RT,GBIS,RT,,RT,

7,bda2, 0 , 0 ,1,0.583, 0 , 0 ,
 6,bda3, 0 , 0 ,1,0.476, 0 , 0 ,
 3,bda4, 0 , 0 ,1,0.561, 0 , 0 ,
 5,bda5, 0 , 0 ,1,0.659, 0 , 0 ,
 2,bda6, 0 , 0 ,4,0.685, 0 , 0 ,
 0,bda7, 0 , 0 ,1,0.703, 0 , 0 ,
 1,bda8, 0 , 0 ,4,0.529, 0 , 0 ,
 4,bda9, 0 , 0 ,4,0.636, 0 , 0 ,
 0,bda2, 0 , 0 ,1,0.553, 0 , 0 ,
 6,bda3, 0 , 0 ,1,0.516, 0 , 0 ,
 5,bda4, 0 , 0 ,1,0.421, 0 , 0 ,
 3,bda5, 0 , 0 ,1,0.453, 0 , 0 ,
 2,bda6, 0 , 0 ,4,0.446, 0 , 0 ,
 7,bda7, 0 , 0 ,4,0.526, 0 , 0 ,
 4,bda8, 0 , 0 ,4,0.466, 0 , 0 ,
 1,bda9, 0 , 0 ,4,0.469, 0 , 0 ,
 1,bda2, 0 , 0 ,1,0.369, 0 , 0 ,
 3,bda3, 0 , 0 ,1,0.491, 0 , 0 ,
 6,bda4, 0 , 0 ,1,0.467, 0 , 0 ,
 0,bda5, 0 , 0 ,1,0.460, 0 , 0 ,
 4,bda6, 0 , 0 ,4,0.555, 0 , 0 ,
 7,bda7, 0 , 0 ,4,0.495, 0 , 0 ,
 2,bda8, 0 , 0 ,4,0.449, 0 , 0 ,
 5,bda9, 0 , 0 ,4,0.625, 0 , 0 ,
 0,bda2, 0 , 0 ,1,0.691, 0 , 0 ,
 5,bda3, 0 , 0 ,1,0.524, 0 , 0 ,
