nonsense, comment,Comment,,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\Head_ADDF.csv,Header,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\AudioAdapt.exe
Stim/,StimDir,Stim/,DataDir
1,ITI,0.5,ISI,0.3,AISI,3,MaximumWait
8,Number Of Trials,14,NumberOfPasses,1,NumberOfBlocks
D,Right Button Label

Played at Trial, WaveFile, ,RT,,RT,JCIA,RT,

3,bda2, 0 , 0 , 0 , 0 ,1,0.405,
 0,bda3, 0 , 0 , 0 , 0 ,4,0.264,
 2,bda4, 0 , 0 , 0 , 0 ,1,0.321,
 4,bda5, 0 , 0 , 0 , 0 ,1,0.482,
 7,bda6, 0 , 0 , 0 , 0 ,1,0.343,
 6,bda7, 0 , 0 , 0 , 0 ,4,0.377,
 1,bda8, 0 , 0 , 0 , 0 ,1,0.455,
 5,bda9, 0 , 0 , 0 , 0 ,4,0.275,
 3,bda2, 0 , 0 , 0 , 0 ,1,0.392,
 6,bda3, 0 , 0 , 0 , 0 ,1,0.384,
 4,bda4, 0 , 0 , 0 , 0 ,1,0.336,
 5,bda5, 0 , 0 , 0 , 0 ,1,0.561,
 1,bda6, 0 , 0 , 0 , 0 ,1,0.433,
 7,bda7, 0 , 0 , 0 , 0 ,1,0.431,
 0,bda8, 0 , 0 , 0 , 0 ,1,0.528,
 2,bda9, 0 , 0 , 0 , 0 ,4,0.457,
 3,bda2, 0 , 0 , 0 , 0 ,1,0.295,
 5,bda3, 0 , 0 , 0 , 0 ,1,0.269,
 7,bda4, 0 , 0 , 0 , 0 ,1,0.264,
 0,bda5, 0 , 0 , 0 , 0 ,1,0.840,
 4,bda6, 0 , 0 , 0 , 0 ,1,0.249,
 1,bda7, 0 , 0 , 0 , 0 ,1,0.334,
 6,bda8, 0 , 0 , 0 , 0 ,4,0.314,
 2,bda9, 0 , 0 , 0 , 0 ,4,0.336,
 3,bda2, 0 , 0 , 0 , 0 ,1,0.309,
 1,bda3, 0 , 0 , 0 , 0 ,1,0.320,
 4,bda4, 0 , 0 , 0 , 0 ,1,0.275,
 0,bda5, 0 , 0 , 0 , 0 ,1,1.152,
 7,bda6, 0 , 0 , 0 , 0 ,1,0.316,
 5,bda7, 0 , 0 , 0 , 0 ,1,0.346,
 2,bda8, 0 , 0 , 0 , 0 ,4,0.260,
 6,bda9, 0 , 0 , 0 , 0 ,4,0.242,
 0,bda2, 0 , 0 , 0 , 0 ,1,0.429,
 4,bda3, 0 , 0 , 0 , 0 ,1,0.371,
 5,bda4, 0 , 0 , 0 , 0 ,1,0.432,
 3,bda5, 0 , 0 , 0 , 0 ,1,0.516,
 2,bda6, 0 , 0 , 0 , 0 ,1,0.314,
 1,bda7, 0 , 0 , 0 , 0 ,1,0.437,
 7,bda8, 0 , 0 , 0 , 0 ,4,0.691,
 6,bda9, 0 , 0 , 0 , 0 ,4,0.445,
 1,bda2, 0 , 0 , 0 , 0 ,1,0.336,
 0,bda3, 0 , 0 , 0 , 0 ,1,0.480,
 2,bda4, 0 , 0 , 0 , 0 ,1,0.289,
 3,bda5, 0 , 0 , 0 , 0 ,1,0.296,
 7,bda6, 0 , 0 , 0 , 0 ,1,0.415,
 4,bda7, 0 , 0 , 0 , 0 ,1,0.506,
 5,bda8, 0 , 0 , 0 , 0 ,4,0.502,
 6,bda9, 0 , 0 , 0 , 0 ,4,0.270,
 5,bda2, 0 , 0 , 0 , 0 ,1,0.383,
 0,bda3, 0 , 0 , 0 , 0 ,1,0.424,
 6,bda4, 0 , 0 , 0 , 0 ,1,0.280,
 2,bda5, 0 , 0 , 0 , 0 ,1,0.317,
 4,bda6, 0 , 0 , 0 , 0 ,1,0.325,
 1,bda7, 0 , 0 , 0 , 0 ,4,0.627,
 7,bda8, 0 , 0 , 0 , 0 ,4,0.386,
 3,bda9, 0 , 0 , 0 , 0 ,4,0.381,
 2,bda2, 0 , 0 , 0 , 0 ,1,0.368,
 3,bda3, 0 , 0 , 0 , 0 ,1,0.366,
 1,bda4, 0 , 0 , 0 , 0 ,1,0.605,
 5,bda5, 0 , 0 , 0 , 0 ,1,0.319,
 6,bda6, 0 , 0 , 0 , 0 ,1,0.461,
 4,bda7, 0 , 0 , 0 , 0 ,1,0.322,
 0,bda8, 0 , 0 , 0 , 0 ,4,0.318,
 7,bda9, 0 , 0 , 0 , 0 ,4,0.399,
 1,bda2, 0 , 0 , 0 , 0 ,1,0.323,
 7,bda3, 0 , 0 , 0 , 0 ,1,0.988,
 2,bda4, 0 , 0 , 0 , 0 ,1,0.311,
 4,bda5, 0 , 0 , 0 , 0 ,1,0.374,
 6,bda6, 0 , 0 , 0 , 0 ,1,0.273,
 5,bda7, 0 , 0 , 0 , 0 ,4,0.534,
 0,bda8, 0 , 0 , 0 , 0 ,4,0.333,
 3,bda9, 0 , 0 , 0 , 0 ,4,0.473,
 2,bda2, 0 , 0 , 0 , 0 ,1,0.346,
 7,bda3, 0 , 0 , 0 , 0 ,1,0.385,
 3,bda4, 0 , 0 , 0 , 0 ,1,0.602,
 4,bda5, 0 , 0 , 0 , 0 ,1,0.436,
 1,bda6, 0 , 0 , 0 , 0 ,1,0.491,
 0,bda7, 0 , 0 , 0 , 0 ,1,0.631,
 6,bda8, 0 , 0 , 0 , 0 ,4,0.375,
 5,bda9, 0 , 0 , 0 , 0 ,4,0.435,
 7,bda2, 0 , 0 , 0 , 0 ,1,0.333,
 0,bda3, 0 , 0 , 0 , 0 ,1,0.297,
 5,bda4, 0 , 0 , 0 , 0 ,1,0.291,
 1,bda5, 0 , 0 , 0 , 0 ,1,0.240,
 2,bda6, 0 , 0 , 0 , 0 ,4,0.407,
 6,bda7, 0 , 0 , 0 , 0 ,1,0.308,
 4,bda8, 0 , 0 , 0 , 0 ,4,0.290,
 3,bda9, 0 , 0 , 0 , 0 ,4,0.707,
 5,bda2, 0 , 0 , 0 , 0 ,1,0.238,
 2,bda3, 0 , 0 , 0 , 0 ,1,0.271,
 6,bda4, 0 , 0 , 0 , 0 ,1,0.412,
 7,bda5, 0 , 0 , 0 , 0 ,1,0.302,
 4,bda6, 0 , 0 , 0 , 0 ,1,0.344,
 3,bda7, 0 , 0 , 0 , 0 ,4,1.257,
 1,bda8, 0 , 0 , 0 , 0 ,4,0.462,
 0,bda9, 0 , 0 , 0 , 0 ,4,0.326,
 2,bda2, 0 , 0 , 0 , 0 ,1,0.338,
 6,bda3, 0 , 0 , 0 , 0 ,1,0.272,
 0,bda4, 0 , 0 , 0 , 0 ,1,0.937,
 1,bda5, 0 , 0 , 0 , 0 ,1,0.316,
 7,bda6, 0 , 0 , 0 , 0 ,1,0.385,
 5,bda7, 0 , 0 , 0 , 0 ,1,0.480,
 4,bda8, 0 , 0 , 0 , 0 ,4,0.449,
 3,bda9, 0 , 0 , 0 , 0 ,4,0.373,
 2,bda2, 0 , 0 , 0 , 0 ,1,0.315,
 1,bda3, 0 , 0 , 0 , 0 ,1,0.321,
 4,bda4, 0 , 0 , 0 , 0 ,1,0.330,
 3,bda5, 0 , 0 , 0 , 0 ,1,0.324,
 5,bda6, 0 , 0 , 0 , 0 ,1,0.371,
 7,bda7, 0 , 0 , 0 , 0 ,4,0.304,
 6,bda8, 0 , 0 , 0 , 0 ,4,0.225,
 0,bda9, 0 , 0 , 0 , 0 ,4,0.346,
 
