nonsense, comment,Comment,,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\Head_ADDF.csv,Header,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\AudioAdapt.exe
Stim/,StimDir,Stim/,DataDir
1,ITI,0.5,ISI,0.3,AISI,3,MaximumWait
8,Number Of Trials,14,NumberOfPasses,1,NumberOfBlocks
D,Right Button Label

Played at Trial, WaveFile, ,RT,,RT,HFRE,RT,

3,bda2, 0 , 0 , 0 , 0 ,1,0.474,
 6,bda3, 0 , 0 , 0 , 0 ,1,0.491,
 0,bda4, 0 , 0 , 0 , 0 ,1,0.396,
 5,bda5, 0 , 0 , 0 , 0 ,1,0.930,
 7,bda6, 0 , 0 , 0 , 0 ,1,0.643,
 1,bda7, 0 , 0 , 0 , 0 ,4,0.731,
 2,bda8, 0 , 0 , 0 , 0 ,4,0.530,
 4,bda9, 0 , 0 , 0 , 0 ,4,0.510,
 0,bda2, 0 , 0 , 0 , 0 ,1,0.701,
 2,bda3, 0 , 0 , 0 , 0 ,1,0.867,
 3,bda4, 0 , 0 , 0 , 0 ,1,0.475,
 1,bda5, 0 , 0 , 0 , 0 , 0 , 0 ,
 7,bda6, 0 , 0 , 0 , 0 ,4,0.973,
 6,bda7, 0 , 0 , 0 , 0 ,4,0.660,
 5,bda8, 0 , 0 , 0 , 0 ,4,0.931,
 4,bda9, 0 , 0 , 0 , 0 ,4,0.581,
 4,bda2, 0 , 0 , 0 , 0 ,1,0.494,
 5,bda3, 0 , 0 , 0 , 0 ,1,0.623,
 6,bda4, 0 , 0 , 0 , 0 ,1,0.429,
 0,bda5, 0 , 0 , 0 , 0 ,1,0.421,
 1,bda6, 0 , 0 , 0 , 0 ,4,0.957,
 2,bda7, 0 , 0 , 0 , 0 , 0 , 0 ,
 3,bda8, 0 , 0 , 0 , 0 ,4,1.004,
 7,bda9, 0 , 0 , 0 , 0 ,4,0.434,
 3,bda2, 0 , 0 , 0 , 0 ,1,0.472,
 5,bda3, 0 , 0 , 0 , 0 ,1,0.387,
 6,bda4, 0 , 0 , 0 , 0 ,1,0.380,
 2,bda5, 0 , 0 , 0 , 0 ,1,0.888,
 1,bda6, 0 , 0 , 0 , 0 ,4,0.361,
 4,bda7, 0 , 0 , 0 , 0 ,4,0.582,
 0,bda8, 0 , 0 , 0 , 0 ,4,0.365,
 7,bda9, 0 , 0 , 0 , 0 ,4,0.396,
 5,bda2, 0 , 0 , 0 , 0 ,1,0.302,
 1,bda3, 0 , 0 , 0 , 0 ,1,0.405,
 7,bda4, 0 , 0 , 0 , 0 ,1,0.463,
 6,bda5, 0 , 0 , 0 , 0 ,1,0.407,
 0,bda6, 0 , 0 , 0 , 0 ,1,0.530,
 3,bda7, 0 , 0 , 0 , 0 ,4,0.494,
 4,bda8, 0 , 0 , 0 , 0 ,4,0.454,
 2,bda9, 0 , 0 , 0 , 0 ,4,0.375,
 1,bda2, 0 , 0 , 0 , 0 ,1,0.413,
 6,bda3, 0 , 0 , 0 , 0 ,1,0.450,
 4,bda4, 0 , 0 , 0 , 0 ,1,0.355,
 3,bda5, 0 , 0 , 0 , 0 ,1,0.471,
 0,bda6, 0 , 0 , 0 , 0 ,4,0.369,
 5,bda7, 0 , 0 , 0 , 0 ,4,0.380,
 2,bda8, 0 , 0 , 0 , 0 ,4,0.366,
 7,bda9, 0 , 0 , 0 , 0 ,4,0.370,
 2,bda2, 0 , 0 , 0 , 0 ,1,0.416,
 7,bda3, 0 , 0 , 0 , 0 ,1,0.407,
 6,bda4, 0 , 0 , 0 , 0 ,1,0.603,
 4,bda5, 0 , 0 , 0 , 0 ,1,0.416,
 5,bda6, 0 , 0 , 0 , 0 ,1,0.363,
 1,bda7, 0 , 0 , 0 , 0 ,1,0.477,
 3,bda8, 0 , 0 , 0 , 0 ,4,0.330,
 0,bda9, 0 , 0 , 0 , 0 ,4,0.324,
 7,bda2, 0 , 0 , 0 , 0 ,1,0.443,
 4,bda3, 0 , 0 , 0 , 0 ,1,0.367,
 5,bda4, 0 , 0 , 0 , 0 ,1,0.369,
 3,bda5, 0 , 0 , 0 , 0 ,1,0.349,
 6,bda6, 0 , 0 , 0 , 0 ,1,1.591,
 0,bda7, 0 , 0 , 0 , 0 ,4,0.543,
 1,bda8, 0 , 0 , 0 , 0 ,4,0.460,
 2,bda9, 0 , 0 , 0 , 0 ,4,0.469,
 4,bda2, 0 , 0 , 0 , 0 ,1,0.432,
 5,bda3, 0 , 0 , 0 , 0 ,1,0.398,
 1,bda4, 0 , 0 , 0 , 0 ,1,0.550,
 6,bda5, 0 , 0 , 0 , 0 ,1,0.625,
 7,bda6, 0 , 0 , 0 , 0 ,4,0.826,
 2,bda7, 0 , 0 , 0 , 0 ,4,0.535,
 0,bda8, 0 , 0 , 0 , 0 ,4,0.519,
 3,bda9, 0 , 0 , 0 , 0 ,4,0.353,
 1,bda2, 0 , 0 , 0 , 0 ,1,0.274,
 2,bda3, 0 , 0 , 0 , 0 ,1,0.525,
 3,bda4, 0 , 0 , 0 , 0 ,1,0.425,
 7,bda5, 0 , 0 , 0 , 0 ,1,0.698,
 4,bda6, 0 , 0 , 0 , 0 ,4,0.338,
 6,bda7, 0 , 0 , 0 , 0 ,4,0.394,
 5,bda8, 0 , 0 , 0 , 0 ,4,0.312,
 0,bda9, 0 , 0 , 0 , 0 ,4,0.333,
 6,bda2, 0 , 0 , 0 , 0 ,1,0.387,
 7,bda3, 0 , 0 , 0 , 0 ,1,0.392,
 2,bda4, 0 , 0 , 0 , 0 ,1,0.448,
 1,bda5, 0 , 0 , 0 , 0 ,1,0.687,
 0,bda6, 0 , 0 , 0 , 0 ,4,0.572,
 3,bda7, 0 , 0 , 0 , 0 ,4,0.474,
 5,bda8, 0 , 0 , 0 , 0 ,4,0.489,
 4,bda9, 0 , 0 , 0 , 0 ,4,0.393,
 1,bda2, 0 , 0 , 0 , 0 ,1,0.404,
 4,bda3, 0 , 0 , 0 , 0 ,1,0.598,
 7,bda4, 0 , 0 , 0 , 0 ,1,0.461,
 3,bda5, 0 , 0 , 0 , 0 ,1,0.548,
 6,bda6, 0 , 0 , 0 , 0 ,4,0.416,
 0,bda7, 0 , 0 , 0 , 0 ,4,0.386,
 2,bda8, 0 , 0 , 0 , 0 ,4,0.527,
 5,bda9, 0 , 0 , 0 , 0 ,4,0.357,
 1,bda2, 0 , 0 , 0 , 0 ,1,0.386,
 2,bda3, 0 , 0 , 0 , 0 ,1,0.634,
 7,bda4, 0 , 0 , 0 , 0 ,1,0.553,
 6,bda5, 0 , 0 , 0 , 0 ,1,0.888,
 5,bda6, 0 , 0 , 0 , 0 ,1,0.543,
 0,bda7, 0 , 0 , 0 , 0 ,4,0.943,
 3,bda8, 0 , 0 , 0 , 0 ,4,0.399,
 4,bda9, 0 , 0 , 0 , 0 ,4,0.501,
 0,bda2, 0 , 0 , 0 , 0 ,1,1.074,
 1,bda3, 0 , 0 , 0 , 0 ,1,0.399,
 5,bda4, 0 , 0 , 0 , 0 ,1,0.326,
 7,bda5, 0 , 0 , 0 , 0 ,1,0.546,
 4,bda6, 0 , 0 , 0 , 0 ,1,0.466,
 2,bda7, 0 , 0 , 0 , 0 ,4,0.428,
 3,bda8, 0 , 0 , 0 , 0 ,4,0.286,
 6,bda9, 0 , 0 , 0 , 0 ,4,0.283,
 
