nonsense, comment,Comment,,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\Head_ADDF.csv,Header,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\AudioAdapt.exe
Stim/,StimDir,Stim/,DataDir
1,ITI,0.5,ISI,0.3,AISI,3,MaximumWait
8,Number Of Trials,14,NumberOfPasses,1,NumberOfBlocks
D,Right Button Label

Played at Trial, WaveFile, blin,RT,,RT,,RT,

3,bda2,1,0.817, 0 , 0 , 0 , 0 ,
 7,bda3,1,0.571, 0 , 0 , 0 , 0 ,
 2,bda4,1,0.589, 0 , 0 , 0 , 0 ,
 4,bda5,1,1.222, 0 , 0 , 0 , 0 ,
 1,bda6,1,0.693, 0 , 0 , 0 , 0 ,
 5,bda7,1,0.630, 0 , 0 , 0 , 0 ,
 6,bda8,4,0.916, 0 , 0 , 0 , 0 ,
 0,bda9,4,0.631, 0 , 0 , 0 , 0 ,
 6,bda2,1,0.571, 0 , 0 , 0 , 0 ,
 1,bda3,1,0.627, 0 , 0 , 0 , 0 ,
 3,bda4,1,0.545, 0 , 0 , 0 , 0 ,
 0,bda5,1,0.683, 0 , 0 , 0 , 0 ,
 2,bda6,4,0.898, 0 , 0 , 0 , 0 ,
 5,bda7,4,0.754, 0 , 0 , 0 , 0 ,
 7,bda8,4,0.603, 0 , 0 , 0 , 0 ,
 4,bda9,4,0.553, 0 , 0 , 0 , 0 ,
 1,bda2,1,0.610, 0 , 0 , 0 , 0 ,
 3,bda3,1,0.695, 0 , 0 , 0 , 0 ,
 0,bda4,1,0.594, 0 , 0 , 0 , 0 ,
 5,bda5,1,1.099, 0 , 0 , 0 , 0 ,
 2,bda6,4,1.016, 0 , 0 , 0 , 0 ,
 4,bda7,4,0.588, 0 , 0 , 0 , 0 ,
 7,bda8,4,0.610, 0 , 0 , 0 , 0 ,
 6,bda9,4,0.579, 0 , 0 , 0 , 0 ,
 0,bda2,1,0.611, 0 , 0 , 0 , 0 ,
 1,bda3,1,0.595, 0 , 0 , 0 , 0 ,
 4,bda4,1,0.655, 0 , 0 , 0 , 0 ,
 7,bda5,1,0.559, 0 , 0 , 0 , 0 ,
 6,bda6,4,0.842, 0 , 0 , 0 , 0 ,
 3,bda7,4,0.565, 0 , 0 , 0 , 0 ,
 2,bda8,4,0.592, 0 , 0 , 0 , 0 ,
 5,bda9,4,0.565, 0 , 0 , 0 , 0 ,
 3,bda2,1,0.624, 0 , 0 , 0 , 0 ,
 7,bda3,1,0.457, 0 , 0 , 0 , 0 ,
 0,bda4,1,0.507, 0 , 0 , 0 , 0 ,
 4,bda5,1,0.782, 0 , 0 , 0 , 0 ,
 5,bda6,1,0.565, 0 , 0 , 0 , 0 ,
 2,bda7,4,0.914, 0 , 0 , 0 , 0 ,
 1,bda8,4,0.463, 0 , 0 , 0 , 0 ,
 6,bda9,4,0.485, 0 , 0 , 0 , 0 ,
 2,bda2,1,0.632, 0 , 0 , 0 , 0 ,
 5,bda3,1,0.592, 0 , 0 , 0 , 0 ,
 6,bda4,1,0.549, 0 , 0 , 0 , 0 ,
 3,bda5,1,0.648, 0 , 0 , 0 , 0 ,
 1,bda6,4,0.746, 0 , 0 , 0 , 0 ,
 0,bda7,4,0.569, 0 , 0 , 0 , 0 ,
 4,bda8,4,0.557, 0 , 0 , 0 , 0 ,
 7,bda9,4,0.606, 0 , 0 , 0 , 0 ,
 1,bda2,1,0.587, 0 , 0 , 0 , 0 ,
 2,bda3,1,0.678, 0 , 0 , 0 , 0 ,
 3,bda4,1,0.563, 0 , 0 , 0 , 0 ,
 4,bda5,1,0.912, 0 , 0 , 0 , 0 ,
 7,bda6,4,0.530, 0 , 0 , 0 , 0 ,
 6,bda7,4,0.801, 0 , 0 , 0 , 0 ,
 5,bda8,4,0.704, 0 , 0 , 0 , 0 ,
 0,bda9,4,0.556, 0 , 0 , 0 , 0 ,
 5,bda2,1,0.483, 0 , 0 , 0 , 0 ,
 1,bda3,1,0.471, 0 , 0 , 0 , 0 ,
 7,bda4,1,0.499, 0 , 0 , 0 , 0 ,
 6,bda5,1,0.372, 0 , 0 , 0 , 0 ,
 4,bda6,1,0.755, 0 , 0 , 0 , 0 ,
 3,bda7,4,1.544, 0 , 0 , 0 , 0 ,
 0,bda8,4,0.455, 0 , 0 , 0 , 0 ,
 2,bda9,4,0.498, 0 , 0 , 0 , 0 ,
 6,bda2,1,0.389, 0 , 0 , 0 , 0 ,
 7,bda3,1,0.485, 0 , 0 , 0 , 0 ,
 5,bda4,1,0.311, 0 , 0 , 0 , 0 ,
 1,bda5,1,0.539, 0 , 0 , 0 , 0 ,
 2,bda6,4,0.786, 0 , 0 , 0 , 0 ,
 0,bda7,4,0.566, 0 , 0 , 0 , 0 ,
 4,bda8,4,0.557, 0 , 0 , 0 , 0 ,
 3,bda9,4,0.351, 0 , 0 , 0 , 0 ,
 7,bda2,1,0.542, 0 , 0 , 0 , 0 ,
 3,bda3,1,0.599, 0 , 0 , 0 , 0 ,
 2,bda4,1,0.458, 0 , 0 , 0 , 0 ,
 6,bda5,1,0.540, 0 , 0 , 0 , 0 ,
 1,bda6,1,0.607, 0 , 0 , 0 , 0 ,
 5,bda7,4,0.530, 0 , 0 , 0 , 0 ,
 0,bda8,4,0.416, 0 , 0 , 0 , 0 ,
 4,bda9,4,0.672, 0 , 0 , 0 , 0 ,
 4,bda2,1,0.390, 0 , 0 , 0 , 0 ,
 3,bda3,1,0.485, 0 , 0 , 0 , 0 ,
 2,bda4,1,0.352, 0 , 0 , 0 , 0 ,
 0,bda5,1,0.510, 0 , 0 , 0 , 0 ,
 5,bda6,4,1.190, 0 , 0 , 0 , 0 ,
 7,bda7,4,0.457, 0 , 0 , 0 , 0 ,
 6,bda8,4,0.368, 0 , 0 , 0 , 0 ,
 1,bda9,4,0.396, 0 , 0 , 0 , 0 ,
 4,bda2,1,0.345, 0 , 0 , 0 , 0 ,
 7,bda3,1,0.341, 0 , 0 , 0 , 0 ,
 2,bda4,1,0.457, 0 , 0 , 0 , 0 ,
 0,bda5,1,0.483, 0 , 0 , 0 , 0 ,
 1,bda6,4,0.926, 0 , 0 , 0 , 0 ,
 5,bda7,4,0.413, 0 , 0 , 0 , 0 ,
 6,bda8,4,0.325, 0 , 0 , 0 , 0 ,
 3,bda9,4,0.355, 0 , 0 , 0 , 0 ,
 7,bda2,1,0.498, 0 , 0 , 0 , 0 ,
 0,bda3,1,0.535, 0 , 0 , 0 , 0 ,
 5,bda4,1,0.423, 0 , 0 , 0 , 0 ,
 1,bda5,4,0.477, 0 , 0 , 0 , 0 ,
 2,bda6,4,0.421, 0 , 0 , 0 , 0 ,
 6,bda7,4,0.621, 0 , 0 , 0 , 0 ,
 4,bda8,4,0.359, 0 , 0 , 0 , 0 ,
 3,bda9,4,0.663, 0 , 0 , 0 , 0 ,
 1,bda2,1,0.540, 0 , 0 , 0 , 0 ,
 2,bda3,1,0.829, 0 , 0 , 0 , 0 ,
 5,bda4,1,0.920, 0 , 0 , 0 , 0 ,
 3,bda5,4,0.845, 0 , 0 , 0 , 0 ,
 6,bda6,1,0.582, 0 , 0 , 0 , 0 ,
 4,bda7,4,0.530, 0 , 0 , 0 , 0 ,
 7,bda8,4,0.404, 0 , 0 , 0 , 0 ,
 0,bda9,4,0.476, 0 , 0 , 0 , 0 ,
 
