nonsense, comment,Comment,,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\Head_ADDF.csv,Header,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\AudioAdapt.exe
Stim/,StimDir,Stim/,DataDir
1,ITI,0.5,ISI,0.3,AISI,3,MaximumWait
8,Number Of Trials,14,NumberOfPasses,1,NumberOfBlocks
D,Right Button Label

Played at Trial, WaveFile, DMCL,RT,,RT,,RT,

7,bda2,1,0.404, 0 , 0 , 0 , 0 ,
 3,bda3,4,0.352, 0 , 0 , 0 , 0 ,
 4,bda4,1,0.386, 0 , 0 , 0 , 0 ,
 2,bda5,4,0.703, 0 , 0 , 0 , 0 ,
 5,bda6,4,0.442, 0 , 0 , 0 , 0 ,
 6,bda7,4,0.375, 0 , 0 , 0 , 0 ,
 0,bda8,4,0.407, 0 , 0 , 0 , 0 ,
 1,bda9,4,0.856, 0 , 0 , 0 , 0 ,
 4,bda2,1,0.499, 0 , 0 , 0 , 0 ,
 1,bda3,1,0.708, 0 , 0 , 0 , 0 ,
 0,bda4,1,0.379, 0 , 0 , 0 , 0 ,
 2,bda5,4,0.413, 0 , 0 , 0 , 0 ,
 5,bda6,4,0.580, 0 , 0 , 0 , 0 ,
 3,bda7,4,0.339, 0 , 0 , 0 , 0 ,
 6,bda8,4,0.488, 0 , 0 , 0 , 0 ,
 7,bda9,4,0.617, 0 , 0 , 0 , 0 ,
 1,bda2,1,0.505, 0 , 0 , 0 , 0 ,
 2,bda3,1,0.661, 0 , 0 , 0 , 0 ,
 0,bda4,1,0.496, 0 , 0 , 0 , 0 ,
 5,bda5,4,0.391, 0 , 0 , 0 , 0 ,
 3,bda6,4,0.417, 0 , 0 , 0 , 0 ,
 4,bda7,4,0.408, 0 , 0 , 0 , 0 ,
 6,bda8,4,0.501, 0 , 0 , 0 , 0 ,
 7,bda9,4,0.622, 0 , 0 , 0 , 0 ,
 1,bda2,1,0.432, 0 , 0 , 0 , 0 ,
 4,bda3,1,0.613, 0 , 0 , 0 , 0 ,
 7,bda4,1,0.529, 0 , 0 , 0 , 0 ,
 3,bda5,4,0.472, 0 , 0 , 0 , 0 ,
 2,bda6,4,0.435, 0 , 0 , 0 , 0 ,
 0,bda7,4,0.436, 0 , 0 , 0 , 0 ,
 6,bda8,4,0.349, 0 , 0 , 0 , 0 ,
 5,bda9,4,0.389, 0 , 0 , 0 , 0 ,
 0,bda2,1,0.585, 0 , 0 , 0 , 0 ,
 2,bda3,1,0.540, 0 , 0 , 0 , 0 ,
 7,bda4,1,0.427, 0 , 0 , 0 , 0 ,
 3,bda5,4,0.409, 0 , 0 , 0 , 0 ,
 5,bda6,4,0.440, 0 , 0 , 0 , 0 ,
 4,bda7,4,0.374, 0 , 0 , 0 , 0 ,
 1,bda8,4,0.449, 0 , 0 , 0 , 0 ,
 6,bda9,4,0.445, 0 , 0 , 0 , 0 ,
 1,bda2,1,0.395, 0 , 0 , 0 , 0 ,
 7,bda3,1,0.585, 0 , 0 , 0 , 0 ,
 3,bda4,1,0.372, 0 , 0 , 0 , 0 ,
 0,bda5,4,0.430, 0 , 0 , 0 , 0 ,
 4,bda6,4,0.325, 0 , 0 , 0 , 0 ,
 5,bda7,4,0.583, 0 , 0 , 0 , 0 ,
 2,bda8,4,0.370, 0 , 0 , 0 , 0 ,
 6,bda9,4,0.433, 0 , 0 , 0 , 0 ,
 0,bda2,1,0.750, 0 , 0 , 0 , 0 ,
 2,bda3,1,0.692, 0 , 0 , 0 , 0 ,
 3,bda4,1,0.624, 0 , 0 , 0 , 0 ,
 6,bda5,4,0.393, 0 , 0 , 0 , 0 ,
 1,bda6,4,0.586, 0 , 0 , 0 , 0 ,
 5,bda7,4,0.618, 0 , 0 , 0 , 0 ,
 4,bda8,4,0.542, 0 , 0 , 0 , 0 ,
 7,bda9,4,0.593, 0 , 0 , 0 , 0 ,
 3,bda2,1,0.606, 0 , 0 , 0 , 0 ,
 5,bda3,1,0.512, 0 , 0 , 0 , 0 ,
 1,bda4,1,0.564, 0 , 0 , 0 , 0 ,
 6,bda5,1,0.861, 0 , 0 , 0 , 0 ,
 4,bda6,4,0.667, 0 , 0 , 0 , 0 ,
 0,bda7,4,0.413, 0 , 0 , 0 , 0 ,
 2,bda8,4,0.288, 0 , 0 , 0 , 0 ,
 7,bda9,4,0.366, 0 , 0 , 0 , 0 ,
 0,bda2,1,0.508, 0 , 0 , 0 , 0 ,
 4,bda3,1,0.386, 0 , 0 , 0 , 0 ,
 1,bda4,1,0.471, 0 , 0 , 0 , 0 ,
 6,bda5,4,0.591, 0 , 0 , 0 , 0 ,
 5,bda6,4,0.402, 0 , 0 , 0 , 0 ,
 3,bda7,4,0.491, 0 , 0 , 0 , 0 ,
 7,bda8,4,0.288, 0 , 0 , 0 , 0 ,
 2,bda9,4,0.532, 0 , 0 , 0 , 0 ,
 3,bda2,1,0.371, 0 , 0 , 0 , 0 ,
 7,bda3,1,0.440, 0 , 0 , 0 , 0 ,
 5,bda4,1,0.500, 0 , 0 , 0 , 0 ,
 4,bda5,1,1.370, 0 , 0 , 0 , 0 ,
 1,bda6,4,0.519, 0 , 0 , 0 , 0 ,
 6,bda7,4,0.409, 0 , 0 , 0 , 0 ,
 0,bda8,4,0.480, 0 , 0 , 0 , 0 ,
 2,bda9,4,0.423, 0 , 0 , 0 , 0 ,
 0,bda2,1,0.495, 0 , 0 , 0 , 0 ,
 4,bda3,1,0.614, 0 , 0 , 0 , 0 ,
 7,bda4,1,0.643, 0 , 0 , 0 , 0 ,
 2,bda5,4,0.628, 0 , 0 , 0 , 0 ,
 1,bda6,4,0.310, 0 , 0 , 0 , 0 ,
 6,bda7,4,0.546, 0 , 0 , 0 , 0 ,
 3,bda8,4,0.496, 0 , 0 , 0 , 0 ,
 5,bda9,4,0.417, 0 , 0 , 0 , 0 ,
 2,bda2,1,0.572, 0 , 0 , 0 , 0 ,
 4,bda3,1,0.523, 0 , 0 , 0 , 0 ,
 6,bda4,1,0.604, 0 , 0 , 0 , 0 ,
 0,bda5,4,0.596, 0 , 0 , 0 , 0 ,
 1,bda6,4,0.431, 0 , 0 , 0 , 0 ,
 5,bda7,4,0.476, 0 , 0 , 0 , 0 ,
 7,bda8,4,0.472, 0 , 0 , 0 , 0 ,
 3,bda9,4,0.541, 0 , 0 , 0 , 0 ,
 5,bda2,1,0.478, 0 , 0 , 0 , 0 ,
 3,bda3,1,0.480, 0 , 0 , 0 , 0 ,
 6,bda4,1,0.495, 0 , 0 , 0 , 0 ,
 0,bda5,4,0.611, 0 , 0 , 0 , 0 ,
 2,bda6,4,0.318, 0 , 0 , 0 , 0 ,
 1,bda7,4,0.838, 0 , 0 , 0 , 0 ,
 4,bda8,4,0.792, 0 , 0 , 0 , 0 ,
 7,bda9,4,0.626, 0 , 0 , 0 , 0 ,
 2,bda2,1,0.544, 0 , 0 , 0 , 0 ,
 6,bda3,1,0.378, 0 , 0 , 0 , 0 ,
 3,bda4,1,0.649, 0 , 0 , 0 , 0 ,
 7,bda5,1,0.590, 0 , 0 , 0 , 0 ,
 1,bda6,4,0.487, 0 , 0 , 0 , 0 ,
 4,bda7,4,0.361, 0 , 0 , 0 , 0 ,
 0,bda8,4,0.466, 0 , 0 , 0 , 0 ,
