nonsense, comment,Comment,,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\Head_ADDF.csv,Header,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\AudioAdapt.exe
Stim/,StimDir,Stim/,DataDir
1,ITI,0.5,ISI,0.3,AISI,3,MaximumWait
8,Number Of Trials,14,NumberOfPasses,1,NumberOfBlocks
D,Right Button Label

Played at Trial, WaveFile, EMOR,RT,,RT,RWON,RT,

2,bda2,1,0.414, 0 , 0 ,1,0.576,
 0,bda3,1,0.448, 0 , 0 ,1,0.469,
 4,bda4,1,1.469, 0 , 0 ,1,1.444,
 6,bda5,4,0.520, 0 , 0 ,1,0.547,
 5,bda6,1,0.719, 0 , 0 ,4,0.699,
 3,bda7,4,0.413, 0 , 0 ,4,0.637,
 7,bda8,4,0.419, 0 , 0 ,4,0.535,
 1,bda9,4,0.563, 0 , 0 ,4,0.450,
 1,bda2,1,0.490, 0 , 0 ,1,0.454,
 7,bda3,1,0.664, 0 , 0 ,1,0.765,
 2,bda4,1,0.413, 0 , 0 ,1,0.494,
 0,bda5,1,0.696, 0 , 0 ,1,0.558,
 3,bda6,4,0.856, 0 , 0 ,4,0.735,
 6,bda7,4,0.532, 0 , 0 ,4,0.669,
 5,bda8,4,0.416, 0 , 0 ,4,0.357,
 4,bda9,4,0.554, 0 , 0 ,4,0.532,
 3,bda2,1,0.292, 0 , 0 ,1,0.496,
 7,bda3,1,0.405, 0 , 0 ,1,0.586,
 2,bda4,1,0.481, 0 , 0 ,1,0.524,
 0,bda5,1,0.742, 0 , 0 ,4,1.180,
 6,bda6,4,0.527, 0 , 0 ,4,0.631,
 1,bda7,4,0.668, 0 , 0 ,4,0.634,
 5,bda8,4,0.245, 0 , 0 ,4,0.508,
 4,bda9,4,0.457, 0 , 0 ,4,0.578,
 0,bda2,1,0.765, 0 , 0 ,1,0.836,
 6,bda3,1,0.601, 0 , 0 ,1,0.487,
 5,bda4,1,0.360, 0 , 0 ,1,0.568,
 2,bda5,1,0.587, 0 , 0 ,4,0.642,
 1,bda6,1,0.636, 0 , 0 ,4,0.859,
 4,bda7,4,0.516, 0 , 0 ,4,0.504,
 3,bda8,4,0.376, 0 , 0 ,4,0.622,
 7,bda9,4,0.341, 0 , 0 ,4,0.654,
 6,bda2,1,0.270, 0 , 0 ,1,0.475,
 7,bda3,1,0.451, 0 , 0 ,1,0.624,
 1,bda4,1,0.417, 0 , 0 ,1,0.565,
 3,bda5,1,0.849, 0 , 0 ,1,0.554,
 4,bda6,1,0.455, 0 , 0 ,4,0.503,
 2,bda7,1,0.463, 0 , 0 ,4,0.438,
 0,bda8,4,0.507, 0 , 0 ,4,0.957,
 5,bda9,4,0.411, 0 , 0 ,4,0.654,
 3,bda2,1,0.410, 0 , 0 ,1,0.511,
 6,bda3,1,0.834, 0 , 0 ,1,0.495,
 1,bda4,1,0.517, 0 , 0 ,1,0.510,
 5,bda5,4,0.609, 0 , 0 ,1,0.514,
 0,bda6,4,0.634, 0 , 0 ,4,0.755,
 2,bda7,4,0.566, 0 , 0 ,4,0.598,
 4,bda8,4,0.367, 0 , 0 ,4,0.407,
 7,bda9,4,0.975, 0 , 0 ,4,0.501,
 2,bda2,1,0.384, 0 , 0 ,1,0.517,
 5,bda3,1,0.398, 0 , 0 ,1,0.613,
 1,bda4,1,0.696, 0 , 0 ,1,1.089,
 0,bda5,4,0.526, 0 , 0 ,4,0.606,
 7,bda6,4,0.494, 0 , 0 ,4,0.735,
 4,bda7,1,0.370, 0 , 0 ,4,0.604,
 3,bda8,4,0.453, 0 , 0 ,4,0.482,
 6,bda9,4,0.415, 0 , 0 ,4,0.398,
 6,bda2,1,0.592, 0 , 0 ,1,0.458,
 3,bda3,1,0.487, 0 , 0 ,1,0.493,
 2,bda4,1,0.422, 0 , 0 ,1,0.521,
 1,bda5,4,0.558, 0 , 0 ,4,0.606,
 5,bda6,4,0.569, 0 , 0 ,1,0.677,
 4,bda7,4,0.513, 0 , 0 ,4,0.494,
 0,bda8,4,1.001, 0 , 0 ,4,0.701,
 7,bda9,4,0.369, 0 , 0 ,4,0.409,
 3,bda2,1,0.568, 0 , 0 ,1,0.736,
 6,bda3,1,0.402, 0 , 0 ,1,0.616,
 4,bda4,1,0.386, 0 , 0 ,1,0.483,
 2,bda5,1,1.159, 0 , 0 ,1,0.855,
 7,bda6,4,0.521, 0 , 0 ,4,0.648,
 5,bda7,4,0.483, 0 , 0 ,4,0.577,
 1,bda8,4,0.532, 0 , 0 ,4,0.332,
 0,bda9,4,0.346, 0 , 0 ,4,0.491,
 0,bda2,1,0.906, 0 , 0 ,1,0.608,
 2,bda3,1,0.397, 0 , 0 ,1,0.507,
 1,bda4,1,0.609, 0 , 0 ,1,0.552,
 5,bda5,4,0.763, 0 , 0 ,1,0.614,
 4,bda6,4,0.717, 0 , 0 ,4,0.884,
 7,bda7,4,0.829, 0 , 0 ,4,0.372,
 3,bda8,4,0.520, 0 , 0 ,4,0.521,
 6,bda9,4,0.522, 0 , 0 ,4,0.611,
 5,bda2,1,0.647, 0 , 0 ,1,0.574,
 7,bda3,1,0.426, 0 , 0 ,1,0.574,
 3,bda4,1,0.426, 0 , 0 ,1,0.590,
 4,bda5,1,0.591, 0 , 0 ,1,0.572,
 0,bda6,4,0.830, 0 , 0 ,4,0.634,
 1,bda7,4,0.666, 0 , 0 ,4,1.094,
 6,bda8,4,0.499, 0 , 0 ,4,0.491,
 2,bda9,4,0.451, 0 , 0 ,4,0.624,
 2,bda2,1,0.454, 0 , 0 ,1,0.625,
 1,bda3,1,0.411, 0 , 0 ,1,0.618,
 3,bda4,1,0.800, 0 , 0 ,1,0.671,
 7,bda5,1,0.408, 0 , 0 ,4,0.568,
 0,bda6,4,0.971, 0 , 0 ,4,0.522,
 6,bda7,4,0.576, 0 , 0 ,4,0.525,
 4,bda8,4,0.306, 0 , 0 ,4,0.491,
 5,bda9,4,0.444, 0 , 0 ,4,0.550,
 5,bda2,1,0.209, 0 , 0 ,1,0.443,
 1,bda3,1,0.416, 0 , 0 ,1,0.548,
 7,bda4,1,0.316, 0 , 0 ,1,0.436,
 2,bda5,4,0.463, 0 , 0 ,1,0.475,
 6,bda6,4,0.147, 0 , 0 ,4,0.516,
 0,bda7,4,0.674, 0 , 0 ,4,0.726,
 4,bda8,4,0.167, 0 , 0 ,4,0.379,
 3,bda9,4,0.273, 0 , 0 ,4,0.450,
 1,bda2,1,0.402, 0 , 0 ,1,0.629,
 3,bda3,4,0.689, 0 , 0 ,1,1.417,
 5,bda4,1,0.428, 0 , 0 ,1,0.635,
 7,bda5,1,0.105, 0 , 0 ,1,0.817,
 4,bda6,4,0.841, 0 , 0 ,4,0.959,
 2,bda7,4,0.713, 0 , 0 ,4,0.496,
 6,bda8,4,0.485, 0 , 0 ,4,0.584,
 0,bda9,4,0.595, 0 , 0 ,4,0.463,
 
