nonsense, comment,Comment,,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\Head_ADDF.csv,Header,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\AudioAdapt.exe
Stim/,StimDir,Stim/,DataDir
1,ITI,0.5,ISI,0.3,AISI,3,MaximumWait
8,Number Of Trials,14,NumberOfPasses,1,NumberOfBlocks
D,Right Button Label

Played at Trial, WaveFile, ,RT,,RT,BPAR,RT,

3,bda2, 0 , 0 , 0 , 0 ,1,0.611,
 7,bda3, 0 , 0 , 0 , 0 ,1,0.460,
 2,bda4, 0 , 0 , 0 , 0 ,1,0.776,
 0,bda5, 0 , 0 , 0 , 0 ,1,1.525,
 6,bda6, 0 , 0 , 0 , 0 ,1,0.613,
 1,bda7, 0 , 0 , 0 , 0 ,1,0.553,
 5,bda8, 0 , 0 , 0 , 0 ,4,0.527,
 4,bda9, 0 , 0 , 0 , 0 ,1,0.911,
 1,bda2, 0 , 0 , 0 , 0 ,4,1.173,
 4,bda3, 0 , 0 , 0 , 0 ,1,0.622,
 5,bda4, 0 , 0 , 0 , 0 ,1,0.645,
 7,bda5, 0 , 0 , 0 , 0 ,1,0.758,
 0,bda6, 0 , 0 , 0 , 0 ,1,0.938,
 6,bda7, 0 , 0 , 0 , 0 ,1,0.853,
 2,bda8, 0 , 0 , 0 , 0 ,4,0.943,
 3,bda9, 0 , 0 , 0 , 0 ,4,0.763,
 6,bda2, 0 , 0 , 0 , 0 ,1,0.560,
 5,bda3, 0 , 0 , 0 , 0 ,1,0.555,
 0,bda4, 0 , 0 , 0 , 0 ,1,0.624,
 4,bda5, 0 , 0 , 0 , 0 ,1,0.902,
 2,bda6, 0 , 0 , 0 , 0 ,4,1.124,
 7,bda7, 0 , 0 , 0 , 0 ,4,0.858,
 1,bda8, 0 , 0 , 0 , 0 ,4,0.678,
 3,bda9, 0 , 0 , 0 , 0 ,4,0.534,
 3,bda2, 0 , 0 , 0 , 0 ,1,0.482,
 5,bda3, 0 , 0 , 0 , 0 ,1,0.512,
 1,bda4, 0 , 0 , 0 , 0 ,1,0.726,
 6,bda5, 0 , 0 , 0 , 0 ,1,0.550,
 7,bda6, 0 , 0 , 0 , 0 ,1,0.610,
 0,bda7, 0 , 0 , 0 , 0 ,4,0.562,
 4,bda8, 0 , 0 , 0 , 0 ,4,0.619,
 2,bda9, 0 , 0 , 0 , 0 ,4,0.467,
 0,bda2, 0 , 0 , 0 , 0 ,1,0.552,
 7,bda3, 0 , 0 , 0 , 0 ,1,0.467,
 1,bda4, 0 , 0 , 0 , 0 ,1,0.696,
 4,bda5, 0 , 0 , 0 , 0 ,4,0.583,
 3,bda6, 0 , 0 , 0 , 0 ,1,0.535,
 6,bda7, 0 , 0 , 0 , 0 ,1,0.823,
 2,bda8, 0 , 0 , 0 , 0 ,4,0.709,
 5,bda9, 0 , 0 , 0 , 0 ,4,0.519,
 5,bda2, 0 , 0 , 0 , 0 ,1,0.772,
 4,bda3, 0 , 0 , 0 , 0 ,1,0.687,
 3,bda4, 0 , 0 , 0 , 0 ,1,0.937,
 6,bda5, 0 , 0 , 0 , 0 ,1,1.026,
 0,bda6, 0 , 0 , 0 , 0 ,1,1.503,
 1,bda7, 0 , 0 , 0 , 0 ,1,0.877,
 2,bda8, 0 , 0 , 0 , 0 ,4,0.941,
 7,bda9, 0 , 0 , 0 , 0 ,4,0.553,
 3,bda2, 0 , 0 , 0 , 0 ,1,1.026,
 0,bda3, 0 , 0 , 0 , 0 ,1,1.052,
 5,bda4, 0 , 0 , 0 , 0 ,1,0.592,
 6,bda5, 0 , 0 , 0 , 0 ,4,1.086,
 7,bda6, 0 , 0 , 0 , 0 ,1,0.765,
 2,bda7, 0 , 0 , 0 , 0 ,1,1.123,
 4,bda8, 0 , 0 , 0 , 0 ,1,0.921,
 1,bda9, 0 , 0 , 0 , 0 ,4,0.667,
 1,bda2, 0 , 0 , 0 , 0 ,1,1.362,
 5,bda3, 0 , 0 , 0 , 0 ,1,1.573,
 0,bda4, 0 , 0 , 0 , 0 ,1,0.598,
 4,bda5, 0 , 0 , 0 , 0 ,4,0.850,
 6,bda6, 0 , 0 , 0 , 0 ,4,1.432,
 3,bda7, 0 , 0 , 0 , 0 ,4,1.393,
 2,bda8, 0 , 0 , 0 , 0 ,4,1.152,
 7,bda9, 0 , 0 , 0 , 0 ,4,0.695,
 5,bda2, 0 , 0 , 0 , 0 ,1,0.849,
 0,bda3, 0 , 0 , 0 , 0 ,1,0.547,
 7,bda4, 0 , 0 , 0 , 0 ,1,0.655,
 3,bda5, 0 , 0 , 0 , 0 ,1,0.655,
 2,bda6, 0 , 0 , 0 , 0 ,1,0.535,
 6,bda7, 0 , 0 , 0 , 0 ,4,1.708,
 4,bda8, 0 , 0 , 0 , 0 ,4,0.606,
 1,bda9, 0 , 0 , 0 , 0 ,4,0.689,
 0,bda2, 0 , 0 , 0 , 0 ,1,0.844,
 3,bda3, 0 , 0 , 0 , 0 ,1,0.602,
 5,bda4, 0 , 0 , 0 , 0 ,1,0.613,
 7,bda5, 0 , 0 , 0 , 0 ,4,1.260,
 4,bda6, 0 , 0 , 0 , 0 ,4,0.778,
 1,bda7, 0 , 0 , 0 , 0 ,4,0.863,
 6,bda8, 0 , 0 , 0 , 0 ,4,0.685,
 2,bda9, 0 , 0 , 0 , 0 ,4,0.711,
 1,bda2, 0 , 0 , 0 , 0 ,1,0.556,
 4,bda3, 0 , 0 , 0 , 0 ,1,1.053,
 3,bda4, 0 , 0 , 0 , 0 ,1,0.442,
 0,bda5, 0 , 0 , 0 , 0 ,1,1.085,
 7,bda6, 0 , 0 , 0 , 0 ,4,0.886,
 6,bda7, 0 , 0 , 0 , 0 ,1,0.377,
 5,bda8, 0 , 0 , 0 , 0 ,4,0.504,
 2,bda9, 0 , 0 , 0 , 0 ,4,0.487,
 1,bda2, 0 , 0 , 0 , 0 ,1,1.429,
 0,bda3, 0 , 0 , 0 , 0 ,1,1.693,
 6,bda4, 0 , 0 , 0 , 0 ,1,1.348,
 3,bda5, 0 , 0 , 0 , 0 ,1,1.283,
 5,bda6, 0 , 0 , 0 , 0 ,1,1.327,
 7,bda7, 0 , 0 , 0 , 0 ,4,1.694,
 4,bda8, 0 , 0 , 0 , 0 ,4,1.248,
 2,bda9, 0 , 0 , 0 , 0 ,4,1.406,
 3,bda2, 0 , 0 , 0 , 0 ,1,0.773,
 0,bda3, 0 , 0 , 0 , 0 ,1,0.758,
 4,bda4, 0 , 0 , 0 , 0 ,1,0.576,
 1,bda5, 0 , 0 , 0 , 0 ,1,1.343,
 6,bda6, 0 , 0 , 0 , 0 ,1,0.788,
 2,bda7, 0 , 0 , 0 , 0 ,4,0.569,
 7,bda8, 0 , 0 , 0 , 0 ,4,0.731,
 5,bda9, 0 , 0 , 0 , 0 ,4,0.537,
 2,bda2, 0 , 0 , 0 , 0 ,1,0.880,
 3,bda3, 0 , 0 , 0 , 0 ,1,1.007,
 4,bda4, 0 , 0 , 0 , 0 ,1,1.071,
 0,bda5, 0 , 0 , 0 , 0 ,1,1.070,
 7,bda6, 0 , 0 , 0 , 0 ,1,0.916,
 1,bda7, 0 , 0 , 0 , 0 ,4,0.973,
 6,bda8, 0 , 0 , 0 , 0 ,4,1.022,
 5,bda9, 0 , 0 , 0 , 0 ,4,0.884,
 
