nonsense, comment,Comment,,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\Head_ADDF.csv,Header,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\AudioAdapt.exe
Stim/,StimDir,Stim/,DataDir
1,ITI,0.5,ISI,0.3,AISI,3,MaximumWait
8,Number Of Trials,14,NumberOfPasses,1,NumberOfBlocks
D,Right Button Label

Played at Trial, WaveFile, ASAV,RT,,RT,RCHE,RT,

1,bda2,1,0.585, 0 , 0 ,1,0.366,
 7,bda3,1,0.502, 0 , 0 ,1,1.345,
 6,bda4,1,0.568, 0 , 0 ,1,0.387,
 3,bda5,1,0.426, 0 , 0 ,1,0.407,
 4,bda6,1,0.550, 0 , 0 ,1,0.355,
 0,bda7,1,0.433, 0 , 0 ,4,0.281,
 5,bda8,1,0.583, 0 , 0 ,4,0.398,
 2,bda9,1,0.871, 0 , 0 ,4,0.431,
 1,bda2,1,0.362, 0 , 0 ,1,0.340,
 2,bda3,1,0.408, 0 , 0 ,1,0.678,
 0,bda4,1,0.392, 0 , 0 ,1,0.400,
 5,bda5,1,0.457, 0 , 0 ,1,0.323,
 3,bda6,1,0.523, 0 , 0 ,1,0.333,
 6,bda7,1,0.426, 0 , 0 ,4,0.336,
 7,bda8,1,0.420, 0 , 0 ,4,0.295,
 4,bda9,1,0.366, 0 , 0 ,4,0.333,
 6,bda2,1,0.575, 0 , 0 ,1,0.313,
 7,bda3,1,0.473, 0 , 0 ,1,0.333,
 4,bda4,1,0.496, 0 , 0 ,1,0.386,
 2,bda5,4,0.602, 0 , 0 ,1,0.456,
 1,bda6,1,0.410, 0 , 0 ,1,0.528,
 0,bda7,1,0.634, 0 , 0 ,4,0.334,
 5,bda8,1,0.756, 0 , 0 ,4,0.625,
 3,bda9,1,0.412, 0 , 0 ,4,0.743,
 1,bda2,1,0.457, 0 , 0 ,1,0.425,
 0,bda3,1,0.926, 0 , 0 ,1,0.717,
 6,bda4,4,0.468, 0 , 0 ,1,0.463,
 7,bda5,1,0.429, 0 , 0 ,1,0.656,
 2,bda6,4,0.593, 0 , 0 ,4,0.866,
 5,bda7,4,0.994, 0 , 0 ,4,0.506,
 4,bda8,4,0.571, 0 , 0 ,4,0.424,
 3,bda9,4,0.388, 0 , 0 ,4,0.312,
 0,bda2,1,0.363, 0 , 0 ,1,0.760,
 2,bda3,1,0.431, 0 , 0 ,1,0.507,
 7,bda4,1,0.335, 0 , 0 ,1,0.400,
 4,bda5,1,0.516, 0 , 0 ,1,0.330,
 6,bda6,1,0.402, 0 , 0 ,1,0.459,
 5,bda7,1,0.471, 0 , 0 ,4,0.437,
 3,bda8,1,0.415, 0 , 0 ,4,0.287,
 1,bda9,1,0.478, 0 , 0 ,4,0.743,
 5,bda2,1,0.633, 0 , 0 ,1,0.401,
 6,bda3,1,0.452, 0 , 0 ,1,0.311,
 7,bda4,1,0.533, 0 , 0 ,1,0.325,
 0,bda5,1,0.444, 0 , 0 ,1,0.428,
 4,bda6,1,0.528, 0 , 0 ,1,0.400,
 2,bda7,1,0.672, 0 , 0 ,4,0.995,
 1,bda8,1,0.542, 0 , 0 ,4,0.413,
 3,bda9,4,0.634, 0 , 0 ,4,0.365,
 3,bda2,1,0.500, 0 , 0 ,1,0.401,
 0,bda3,1,0.663, 0 , 0 ,1,0.491,
 6,bda4,1,0.375, 0 , 0 ,1,0.363,
 2,bda5,1,1.002, 0 , 0 ,1,1.529,
 7,bda6,1,0.725, 0 , 0 ,4,0.319,
 4,bda7,1,0.597, 0 , 0 ,4,0.327,
 1,bda8,1,0.431, 0 , 0 ,4,0.396,
 5,bda9,1,0.566, 0 , 0 ,4,0.261,
