nonsense, comment,Comment,,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\Head_ADDF.csv,Header,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\AudioAdapt.exe
Stim/,StimDir,Stim/,DataDir
1,ITI,0.5,ISI,0.3,AISI,3,MaximumWait
8,Number Of Trials,14,NumberOfPasses,1,NumberOfBlocks
D,Right Button Label

Played at Trial, WaveFile, ,RT,,RT,ECUN,RT,

3,bda2, 0 , 0 , 0 , 0 ,1,0.461,
 1,bda3, 0 , 0 , 0 , 0 ,1,0.436,
 0,bda4, 0 , 0 , 0 , 0 ,4,0.433,
 5,bda5, 0 , 0 , 0 , 0 ,4,0.603,
 4,bda6, 0 , 0 , 0 , 0 ,4,0.412,
 7,bda7, 0 , 0 , 0 , 0 ,4,0.368,
 2,bda8, 0 , 0 , 0 , 0 ,4,0.521,
 6,bda9, 0 , 0 , 0 , 0 ,4,0.467,
 5,bda2, 0 , 0 , 0 , 0 ,1,0.488,
 4,bda3, 0 , 0 , 0 , 0 ,1,0.478,
 0,bda4, 0 , 0 , 0 , 0 ,4,0.411,
 2,bda5, 0 , 0 , 0 , 0 ,4,0.474,
 7,bda6, 0 , 0 , 0 , 0 ,4,0.877,
 1,bda7, 0 , 0 , 0 , 0 ,4,0.995,
 6,bda8, 0 , 0 , 0 , 0 ,4,0.474,
 3,bda9, 0 , 0 , 0 , 0 ,4,0.526,
 4,bda2, 0 , 0 , 0 , 0 ,1,0.570,
 3,bda3, 0 , 0 , 0 , 0 ,1,0.535,
 5,bda4, 0 , 0 , 0 , 0 ,4,0.458,
 2,bda5, 0 , 0 , 0 , 0 ,4,0.447,
 6,bda6, 0 , 0 , 0 , 0 ,4,0.661,
 7,bda7, 0 , 0 , 0 , 0 ,4,0.372,
 0,bda8, 0 , 0 , 0 , 0 ,4,0.453,
 1,bda9, 0 , 0 , 0 , 0 ,4,0.512,
 7,bda2, 0 , 0 , 0 , 0 ,1,0.530,
 2,bda3, 0 , 0 , 0 , 0 ,1,0.564,
 5,bda4, 0 , 0 , 0 , 0 ,1,0.726,
