nonsense, comment,Comment,,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\Head_ADDF.csv,Header,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\AudioAdapt.exe,
Stim/,StimDir,Stim/,DataDir,,,,
1,ITI,0.5,ISI,0.3,AISI,3,MaximumWait
8,Number Of Trials,14,NumberOfPasses,1,NumberOfBlocks,,
D,Right Button Label,,,,,,

Played at Trial, WaveFile, TTYS,RT,CBUL,RT,RWIL,RT

3,bda2,4,0.199,1,0.336,1,0.455
5,bda3,4,0.017,1,0.299,1,0.37
1,bda4,4,0.317,1,0.248,1,0.49
0,bda5,4,0.055,1,0.851,4,0.775
7,bda6,4,0.227,4,0.651,4,0.411
6,bda7,4,0.056,4,0.358,4,0.432
4,bda8,4,0.255,4,0.396,4,0.462
2,bda9,4,0.294,4,0.269,4,0.3
0,bda2,4,0.243,1,0.973,1,1.031
2,bda3,4,0.688,1,0.399,1,0.452
3,bda4,4,0.457,1,0.355,1,0.534
6,bda5,4,0.042,1,0.354,4,0.479
1,bda6,4,0.377,4,0.433,4,0.423
4,bda7,4,0.798,4,0.414,4,0.41
7,bda8,4,1.062,4,0.433,4,0.356
5,bda9,4,1.07,4,0.387,4,0.471
7,bda2,4,0.238,1,0.368,1,0.573
6,bda3,4,0.27,1,0.397,1,0.538
0,bda4,4,0.153,1,0.458,1,0.655
4,bda5,4,0.247,1,0.553,1,0.708
2,bda6,4,0.301,4,0.287,4,0.934
3,bda7,4,0.313,4,0.339,4,0.47
1,bda8,4,0.366,4,0.382,4,0.472
5,bda9,4,0.557,4,0.744,4,0.529
2,bda2,4,0.294,1,0.478,1,0.598
0,bda3,4,0.777,1,0.492,1,0.684
3,bda4,4,0.358,1,0.767,1,0.72
7,bda5,4,0.415,1,0.367,4,0.625
4,bda6,4,0.121,4,0.407,4,0.537
5,bda7,4,1.189,4,0.464,4,0.447
1,bda8,4,0.413,4,0.305,4,0.422
6,bda9,4,0.15,4,0.433,4,0.593
7,bda2,4,0.268,1,0.463,1,0.866
1,bda3,4,0.117,1,0.42,1,0.578
5,bda4,4,0.325,1,0.4,1,0.62
3,bda5,4,0.528,1,0.439,1,0.674
0,bda6,4,0.337,1,0.443,4,0.633
6,bda7,4,1.003,4,0.369,4,0.483
4,bda8,4,0.75,4,0.392,4,0.482
2,bda9,4,0.334,4,0.526,4,0.553
1,bda2,4,0.077,1,0.37,1,0.51
3,bda3,4,0.311,1,0.644,1,0.788
2,bda4,4,0.284,1,0.423,1,0.499
5,bda5,4,0.708,4,0.533,4,0.487
6,bda6,4,0.22,4,0.392,4,0.574
4,bda7,4,0.3,4,0.341,4,0.36
0,bda8,4,0.237,4,0.416,4,0.447
7,bda9,4,0.147,4,0.348,4,0.386
2,bda2,4,0.261,1,0.466,1,0.714
4,bda3,4,0.395,1,0.32,1,0.672
5,bda4,4,0.1,1,0.905,1,0.779
6,bda5,4,0.7,1,0.489,1,0.579
3,bda6,4,0.318,4,0.387,4,0.577
7,bda7,4,0.146,4,0.354,4,0.533
1,bda8,4,0.1,4,0.35,4,0.603
0,bda9,4,0.448,4,0.272,4,0.469
6,bda2,4,0.017,1,0.313,1,0.532
0,bda3,4,0.921,1,0.369,1,0.555
1,bda4,4,0.064,1,0.473,1,0.814
4,bda5,4,0.577,1,1.061,1,1.079
2,bda6,4,0.241,1,0.393,4,0.565
3,bda7,4,0.209,4,0.436,4,0.417
7,bda8,4,0.342,4,0.637,4,0.882
5,bda9,4,0.223,4,0.468,4,0.389
7,bda2,4,0.126,1,0.515,1,0.661
5,bda3,4,0.231,1,0.429,1,0.725
6,bda4,4,0.603,1,0.48,1,0.558
1,bda5,4,0.24,1,0.493,1,0.528
2,bda6,4,0.13,4,0.551,4,0.779
4,bda7,4,0.214,4,0.444,4,0.789
3,bda8,4,0.601,4,0.574,4,0.487
0,bda9,4,0.004,4,0.69,4,0.766
0,bda2,4,0.258,1,0.526,1,0.886
1,bda3,4,0.285,1,0.316,1,0.604
7,bda4,4,0.027,1,0.305,1,0.654
4,bda5,4,0.312,1,0.322,4,0.862
2,bda6,4,0.286,4,0.527,4,0.515
6,bda7,4,0.255,4,0.486,4,0.517
3,bda8,4,0.426,4,0.416,4,0.555
5,bda9,4,0.649,4,0.292,4,0.503
6,bda2,4,0.216,1,0.535,1,0.927
4,bda3,4,0.022,1,0.321,1,0.746
3,bda4,4,0.503,1,0.327,1,0.968
5,bda5,4,0.313,1,0.707,1,0.662
1,bda6,4,0.005,4,0.422,4,0.563
0,bda7,4,0.312,4,0.419,4,0.441
7,bda8,4,0.05,4,0.879,4,0.713
2,bda9,4,0.23,4,0.384,4,0.474
1,bda2,4,0.308,1,0.446,1,0.758
3,bda3,4,0.922,1,1.551,1,0.884
0,bda4,4,0.18,1,0.482,1,0.615
7,bda5,4,0.728,1,0.86,4,0.539
