nonsense, comment,Comment,,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\Head_ADDF.csv,Header,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\AudioAdapt.exe
Stim/,StimDir,Stim/,DataDir
1,ITI,0.5,ISI,0.3,AISI,3,MaximumWait
8,Number Of Trials,14,NumberOfPasses,1,NumberOfBlocks
D,Right Button Label

Played at Trial, WaveFile, KPAO,RT,ANAP,RT,,RT,

1,bda2,1,0.465,1,0.469, 0 , 0 ,
 2,bda3,1,1.477,1,0.625, 0 , 0 ,
 3,bda4,1,0.584,1,0.491, 0 , 0 ,
 4,bda5,1,0.496,1,0.448, 0 , 0 ,
 5,bda6,1,0.514,1,0.539, 0 , 0 ,
 7,bda7,1,0.503,4,0.435, 0 , 0 ,
 6,bda8,1,0.454,4,0.458, 0 , 0 ,
 0,bda9,1,0.572,4,0.451, 0 , 0 ,
 6,bda2,1,0.434,1,0.417, 0 , 0 ,
 2,bda3,1,0.404,1,0.428, 0 , 0 ,
 5,bda4,1,0.579,1,0.502, 0 , 0 ,
 4,bda5,1,0.382,1,0.415, 0 , 0 ,
 7,bda6,1,0.516,4,0.540, 0 , 0 ,
 0,bda7,1,0.470,4,0.544, 0 , 0 ,
 1,bda8,1,1.102,4,0.503, 0 , 0 ,
 3,bda9,1,0.480,4,0.460, 0 , 0 ,
 4,bda2,1,0.470,1,0.443, 0 , 0 ,
 1,bda3,1,0.768,1,0.426, 0 , 0 ,
 2,bda4,1,0.492,1,0.456, 0 , 0 ,
 3,bda5,1,0.470,1,0.481, 0 , 0 ,
 7,bda6,1,1.208,4,0.526, 0 , 0 ,
 5,bda7,1,0.527,4,0.415, 0 , 0 ,
 6,bda8,1,0.439,4,0.426, 0 , 0 ,
 0,bda9,1,0.480,4,0.458, 0 , 0 ,
 5,bda2,1,0.427,1,0.496, 0 , 0 ,
 1,bda3,1,0.504,1,0.653, 0 , 0 ,
 2,bda4,1,0.380,1,0.430, 0 , 0 ,
 3,bda5,1,0.455,1,0.481, 0 , 0 ,
 4,bda6,1,0.414,4,0.390, 0 , 0 ,
 0,bda7,1,0.874,4,0.493, 0 , 0 ,
 7,bda8,1,0.430,4,0.384, 0 , 0 ,
 6,bda9,1,0.425,4,0.383, 0 , 0 ,
 1,bda2,1,0.489,1,0.378, 0 , 0 ,
 2,bda3,1,1.113,1,0.523, 0 , 0 ,
 0,bda4,1,0.566,1,0.440, 0 , 0 ,
 4,bda5,1,0.518,1,0.472, 0 , 0 ,
 7,bda6,1,0.593,4,0.452, 0 , 0 ,
 6,bda7,1,0.454,4,0.428, 0 , 0 ,
 3,bda8,1,0.503,4,0.443, 0 , 0 ,
 5,bda9,1,0.518,4,0.383, 0 , 0 ,
 1,bda2,1,0.498,1,0.469, 0 , 0 ,
 2,bda3,1,1.286,1,0.478, 0 , 0 ,
 5,bda4,1,0.693,1,0.506, 0 , 0 ,
 4,bda5,1,0.503,1,0.413, 0 , 0 ,
 7,bda6,1,0.518,4,0.473, 0 , 0 ,
 0,bda7,1,0.524,4,0.475, 0 , 0 ,
 3,bda8,1,0.538,4,0.449, 0 , 0 ,
 6,bda9,1,0.573,4,0.458, 0 , 0 ,
 3,bda2,1,0.390,1,0.468, 0 , 0 ,
 5,bda3,1,0.440,1,0.401, 0 , 0 ,
 4,bda4,1,0.539,1,0.501, 0 , 0 ,
 2,bda5,1,1.301,1,0.516, 0 , 0 ,
 7,bda6,1,0.593,4,0.393, 0 , 0 ,
 6,bda7,1,0.680,4,0.664, 0 , 0 ,
 1,bda8,1,0.557,4,0.432, 0 , 0 ,
 0,bda9,1,0.609,4,0.425, 0 , 0 ,
 1,bda2,1,0.422,1,0.458, 0 , 0 ,
 5,bda3,1,0.964,1,0.631, 0 , 0 ,
 6,bda4,1,0.478,1,0.484, 0 , 0 ,
 0,bda5,1,0.416,1,0.485, 0 , 0 ,
 7,bda6,1,0.677,1,0.614, 0 , 0 ,
 3,bda7,1,0.689,4,0.354, 0 , 0 ,
 4,bda8,4,0.700,4,0.361, 0 , 0 ,
 2,bda9,4,0.630,4,0.366, 0 , 0 ,
 0,bda2,1,0.914,1,0.483, 0 , 0 ,
 7,bda3,1,0.454,1,0.468, 0 , 0 ,
 1,bda4,1,0.501,1,0.442, 0 , 0 ,
 4,bda5,1,0.488,1,0.558, 0 , 0 ,
 6,bda6,1,0.457,4,0.683, 0 , 0 ,
 3,bda7,1,0.519,4,0.428, 0 , 0 ,
 5,bda8,1,0.658,4,0.436, 0 , 0 ,
 2,bda9,4,0.685,4,0.537, 0 , 0 ,
 2,bda2,1,0.399,1,0.470, 0 , 0 ,
 3,bda3,1,0.484,1,0.469, 0 , 0 ,
 4,bda4,1,1.437,1,0.563, 0 , 0 ,
 1,bda5,1,0.615,1,0.582, 0 , 0 ,
 0,bda6,1,0.570,4,0.624, 0 , 0 ,
 7,bda7,1,0.493,4,0.434, 0 , 0 ,
 6,bda8,1,0.469,4,0.474, 0 , 0 ,
 5,bda9,4,0.612,4,0.438, 0 , 0 ,
