nonsense, comment,Comment,,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\Head_ADDF.csv,Header,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\AudioAdapt.exe
Stim/,StimDir,Stim/,DataDir
1,ITI,0.5,ISI,0.3,AISI,3,MaximumWait
8,Number Of Trials,14,NumberOfPasses,1,NumberOfBlocks
D,Right Button Label

Played at Trial, WaveFile, SHAN,RT,MBUT,RT,,RT,

6,bda2,1,0.444,1,0.353, 0 , 0 ,
 5,bda3,1,0.494,1,0.370, 0 , 0 ,
 2,bda4,1,0.481,1,0.406, 0 , 0 ,
 4,bda5,1,0.471,1,0.252, 0 , 0 ,
 3,bda6,1,0.508,4,0.272, 0 , 0 ,
 1,bda7,4,0.624,4,0.674, 0 , 0 ,
 7,bda8,4,1.533,4,1.579, 0 , 0 ,
 0,bda9,4,0.402,4,0.357, 0 , 0 ,
 4,bda2,1,0.463,1,0.294, 0 , 0 ,
 2,bda3,1,0.391,1,0.330, 0 , 0 ,
 5,bda4,1,0.445,1,0.354, 0 , 0 ,
 0,bda5,1,0.405,1,0.287, 0 , 0 ,
 6,bda6,1,1.217,1,1.818, 0 , 0 ,
 7,bda7,4,0.511,4,0.292, 0 , 0 ,
 3,bda8,4,0.373,4,0.276, 0 , 0 ,
 1,bda9,4,0.397,4,0.416, 0 , 0 ,
 3,bda2,1,0.424,1,0.313, 0 , 0 ,
 7,bda3,1,0.363,1,0.547, 0 , 0 ,
 0,bda4,1,0.458,1,0.274, 0 , 0 ,
 2,bda5,1,0.765,1,0.791, 0 , 0 ,
 5,bda6,4,0.459,1,0.565, 0 , 0 ,
 1,bda7,4,0.363,1,0.390, 0 , 0 ,
 6,bda8,4,0.379,1,0.495, 0 , 0 ,
 4,bda9,4,0.376,4,0.374, 0 , 0 ,
 7,bda2,1,0.434,1,0.347, 0 , 0 ,
 3,bda3,1,0.460,1,0.391, 0 , 0 ,
 2,bda4,1,0.449,1,0.414, 0 , 0 ,
 6,bda5,4,0.581,4,0.491, 0 , 0 ,
 1,bda6,4,0.474,4,0.563, 0 , 0 ,
 0,bda7,4,0.368,4,0.482, 0 , 0 ,
 5,bda8,4,0.444,4,0.421, 0 , 0 ,
 4,bda9,4,0.806,4,0.927, 0 , 0 ,
 3,bda2,1,0.424,1,0.288, 0 , 0 ,
 2,bda3,1,0.476,1,0.296, 0 , 0 ,
 7,bda4,1,0.480,1,0.306, 0 , 0 ,
 4,bda5,1,0.793,1,1.345, 0 , 0 ,
 5,bda6,4,0.459,4,0.356, 0 , 0 ,
 1,bda7,1,0.625,4,0.323, 0 , 0 ,
 0,bda8,4,0.434,4,0.290, 0 , 0 ,
 6,bda9,4,0.409,4,0.310, 0 , 0 ,
 1,bda2,1,0.468,1,0.299, 0 , 0 ,
 6,bda3,1,0.808,1,1.282, 0 , 0 ,
 3,bda4,1,0.510,1,0.391, 0 , 0 ,
 4,bda5,1,0.553,4,0.342, 0 , 0 ,
 5,bda6,1,0.909,1,0.284, 0 , 0 ,
 7,bda7,4,0.509,1,0.935, 0 , 0 ,
 2,bda8,4,0.516,4,0.583, 0 , 0 ,
 0,bda9,4,0.424,4,0.546, 0 , 0 ,
 6,bda2,1,0.433,1,0.330, 0 , 0 ,
 5,bda3,1,0.439,1,0.376, 0 , 0 ,
 3,bda4,1,0.495,1,0.343, 0 , 0 ,
 2,bda5,1,0.605,1,0.488, 0 , 0 ,
 4,bda6,1,0.525,1,0.341, 0 , 0 ,
 1,bda7,1,0.878,1,0.374, 0 , 0 ,
 7,bda8,1,1.549,4,1.032, 0 , 0 ,
 0,bda9,4,0.414,4,0.489, 0 , 0 ,
 7,bda2,1,0.475,1,0.410, 0 , 0 ,
 3,bda3,1,0.464,1,0.398, 0 , 0 ,
 0,bda4,1,0.473,1,0.413, 0 , 0 ,
 5,bda5,1,0.538,1,0.579, 0 , 0 ,
 1,bda6,4,0.489,1,0.431, 0 , 0 ,
 6,bda7,4,0.407,1,0.432, 0 , 0 ,
 4,bda8,4,0.414,4,0.446, 0 , 0 ,
 2,bda9,4,0.599,4,1.010, 0 , 0 ,
 0,bda2,1,0.856,1,1.236, 0 , 0 ,
 4,bda3,1,0.420,1,0.168, 0 , 0 ,
 5,bda4,1,0.407,1,0.315, 0 , 0 ,
 6,bda5,1,0.483,1,0.209, 0 , 0 ,
 2,bda6,4,0.577,1,0.369, 0 , 0 ,
 3,bda7,4,0.470,1,0.316, 0 , 0 ,
 1,bda8,4,0.415,1,0.445, 0 , 0 ,
 7,bda9,4,0.417,1,0.172, 0 , 0 ,
 7,bda2,1,0.386,1,0.342, 0 , 0 ,
 2,bda3,1,0.433,1,0.330, 0 , 0 ,
 4,bda4,1,0.513,1,0.379, 0 , 0 ,
 3,bda5,1,0.423,1,0.401, 0 , 0 ,
 6,bda6,1,0.597,1,0.316, 0 , 0 ,
 1,bda7,4,0.369,1,0.436, 0 , 0 ,
 0,bda8,4,0.399,4,0.423, 0 , 0 ,
 5,bda9,4,0.691,4,1.102, 0 , 0 ,
 2,bda2,1,0.483,1,0.301, 0 , 0 ,
 0,bda3,1,0.427,1,0.211, 0 , 0 ,
 3,bda4,1,0.769,1,1.085, 0 , 0 ,
 6,bda5,1,0.552,1,0.242, 0 , 0 ,
 5,bda6,1,0.566,1,0.093, 0 , 0 ,
 1,bda7,4,0.485,1,0.308, 0 , 0 ,
 4,bda8,4,0.437,1,0.319, 0 , 0 ,
 7,bda9,4,0.420,1,0.174, 0 , 0 ,
 7,bda2,1,0.472,1,0.471, 0 , 0 ,
 2,bda3,1,0.446,1,0.182, 0 , 0 ,
