nonsense, comment,Comment,,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\Head_ADDF.csv,Header,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\AudioAdapt.exe
Stim/,StimDir,Stim/,DataDir
1,ITI,0.5,ISI,0.3,AISI,3,MaximumWait
8,Number Of Trials,14,NumberOfPasses,1,NumberOfBlocks
D,Right Button Label

Played at Trial, WaveFile, ,RT,,RT,CALB,RT,

2,bda2, 0 , 0 , 0 , 0 ,1,0.574,
 4,bda3, 0 , 0 , 0 , 0 ,1,0.602,
 7,bda4, 0 , 0 , 0 , 0 ,1,0.977,
 5,bda5, 0 , 0 , 0 , 0 ,1,0.682,
 6,bda6, 0 , 0 , 0 , 0 ,1,0.701,
 3,bda7, 0 , 0 , 0 , 0 ,4,0.656,
 0,bda8, 0 , 0 , 0 , 0 ,4,0.595,
 1,bda9, 0 , 0 , 0 , 0 ,4,0.615,
 3,bda2, 0 , 0 , 0 , 0 ,1,0.663,
 2,bda3, 0 , 0 , 0 , 0 ,1,0.533,
 7,bda4, 0 , 0 , 0 , 0 ,1,0.620,
 0,bda5, 0 , 0 , 0 , 0 ,1,1.159,
 4,bda6, 0 , 0 , 0 , 0 ,1,0.564,
 6,bda7, 0 , 0 , 0 , 0 ,1,0.522,
 1,bda8, 0 , 0 , 0 , 0 ,1,0.523,
 5,bda9, 0 , 0 , 0 , 0 ,4,0.528,
 3,bda2, 0 , 0 , 0 , 0 ,1,0.512,
 2,bda3, 0 , 0 , 0 , 0 ,1,0.560,
 1,bda4, 0 , 0 , 0 , 0 ,1,0.547,
 5,bda5, 0 , 0 , 0 , 0 ,1,1.021,
 7,bda6, 0 , 0 , 0 , 0 ,1,0.572,
 4,bda7, 0 , 0 , 0 , 0 ,1,0.571,
 6,bda8, 0 , 0 , 0 , 0 ,4,0.501,
 0,bda9, 0 , 0 , 0 , 0 ,4,0.559,
 3,bda2, 0 , 0 , 0 , 0 ,1,0.521,
 1,bda3, 0 , 0 , 0 , 0 ,1,0.547,
 5,bda4, 0 , 0 , 0 , 0 ,1,0.517,
 0,bda5, 0 , 0 , 0 , 0 ,1,0.632,
 4,bda6, 0 , 0 , 0 , 0 ,1,0.703,
 6,bda7, 0 , 0 , 0 , 0 ,1,0.529,
 7,bda8, 0 , 0 , 0 , 0 ,4,0.733,
 2,bda9, 0 , 0 , 0 , 0 ,4,0.619,
 6,bda2, 0 , 0 , 0 , 0 ,1,0.545,
 3,bda3, 0 , 0 , 0 , 0 ,1,0.591,
 5,bda4, 0 , 0 , 0 , 0 ,1,0.559,
 0,bda5, 0 , 0 , 0 , 0 ,1,0.637,
 2,bda6, 0 , 0 , 0 , 0 ,1,0.707,
 1,bda7, 0 , 0 , 0 , 0 ,1,0.663,
 7,bda8, 0 , 0 , 0 , 0 ,4,0.631,
 4,bda9, 0 , 0 , 0 , 0 ,4,0.445,
 0,bda2, 0 , 0 , 0 , 0 ,1,0.704,
 4,bda3, 0 , 0 , 0 , 0 ,1,0.558,
 5,bda4, 0 , 0 , 0 , 0 ,1,0.547,
 1,bda5, 0 , 0 , 0 , 0 ,1,0.516,
 3,bda6, 0 , 0 , 0 , 0 ,1,0.544,
 2,bda7, 0 , 0 , 0 , 0 ,1,0.579,
 6,bda8, 0 , 0 , 0 , 0 ,4,0.905,
