nonsense, comment,Comment,,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\Head_ADDF.csv,Header,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\AudioAdapt.exe
Stim/,StimDir,Stim/,DataDir
1,ITI,0.5,ISI,0.3,AISI,3,MaximumWait
8,Number Of Trials,14,NumberOfPasses,1,NumberOfBlocks
D,Right Button Label

Played at Trial, WaveFile, ESAM,RT,SWON,RT,MZHA,RT,

6,bda2,1,0.592,1,0.377,1,0.446,
 3,bda3,1,0.486,1,0.415,1,0.469,
 2,bda4,1,0.502,1,0.359,1,0.547,
 7,bda5,1,0.467,1,0.493,4,0.716,
 5,bda6,1,0.620,1,0.695,4,0.299,
 0,bda7,1,0.422,4,0.463,4,0.463,
 1,bda8,1,1.079,4,1.365,4,0.758,
 4,bda9,4,0.419,4,0.447,4,0.420,
 2,bda2,1,0.428,1,0.411,1,0.578,
 3,bda3,4,0.581,1,0.563,1,0.394,
 0,bda4,1,0.693,1,0.951,1,0.560,
 4,bda5,1,0.445,4,0.444,1,0.677,
 7,bda6,1,0.473,4,0.502,4,0.455,
 5,bda7,1,0.424,4,0.389,4,0.425,
 6,bda8,1,0.456,4,0.381,4,0.462,
 1,bda9,4,0.423,4,0.564,4,0.461,
 3,bda2,1,0.371,1,0.407,1,0.470,
 6,bda3,1,0.408,1,0.552,1,0.447,
 1,bda4,1,0.383,1,0.353,1,0.608,
 0,bda5,1,0.539,1,0.766,1,0.741,
 2,bda6,1,0.392,4,0.470,4,0.478,
 5,bda7,1,0.436,4,0.316,4,0.442,
 4,bda8,1,0.521,4,0.448,4,0.457,
 7,bda9,4,0.349,4,0.510,4,0.426,
 4,bda2,1,0.412,1,0.363,1,0.473,
 2,bda3,1,0.415,1,0.481,1,0.378,
 0,bda4,1,0.417,1,0.503,1,0.559,
 7,bda5,1,0.345,4,0.364,4,0.611,
 6,bda6,1,0.544,4,0.604,4,0.685,
 1,bda7,1,0.466,4,0.425,4,0.429,
 5,bda8,4,0.408,4,0.378,4,0.357,
 3,bda9,4,0.356,4,0.307,4,0.354,
 2,bda2,1,0.439,1,0.355,1,0.508,
 0,bda3,1,0.377,1,0.291,1,0.447,
 1,bda4,1,0.547,1,0.484,1,0.587,
