nonsense, comment,Comment,,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\Head_ADDF.csv,Header,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\AudioAdapt.exe
Stim/,StimDir,Stim/,DataDir
1,ITI,0.5,ISI,0.3,AISI,3,MaximumWait
8,Number Of Trials,14,NumberOfPasses,1,NumberOfBlocks
D,Right Button Label

Played at Trial, WaveFile, NKIM,RT,,RT,,RT,

6,bda2,1,0.464, 0 , 0 , 0 , 0 ,
 5,bda3,1,0.450, 0 , 0 , 0 , 0 ,
 7,bda4,1,0.494, 0 , 0 , 0 , 0 ,
 4,bda5,1,0.394, 0 , 0 , 0 , 0 ,
 2,bda6,4,0.333, 0 , 0 , 0 , 0 ,
 0,bda7,4,0.450, 0 , 0 , 0 , 0 ,
 1,bda8,4,0.577, 0 , 0 , 0 , 0 ,
 3,bda9,4,0.430, 0 , 0 , 0 , 0 ,
 4,bda2,1,0.410, 0 , 0 , 0 , 0 ,
 5,bda3,1,0.368, 0 , 0 , 0 , 0 ,
 1,bda4,1,0.402, 0 , 0 , 0 , 0 ,
 3,bda5,4,0.394, 0 , 0 , 0 , 0 ,
 6,bda6,4,0.565, 0 , 0 , 0 , 0 ,
 7,bda7,4,0.382, 0 , 0 , 0 , 0 ,
 0,bda8,1,0.418, 0 , 0 , 0 , 0 ,
 2,bda9,4,0.484, 0 , 0 , 0 , 0 ,
 6,bda2,1,0.343, 0 , 0 , 0 , 0 ,
 4,bda3,1,0.359, 0 , 0 , 0 , 0 ,
 7,bda4,1,0.420, 0 , 0 , 0 , 0 ,
 1,bda5,4,0.494, 0 , 0 , 0 , 0 ,
 5,bda6,4,0.417, 0 , 0 , 0 , 0 ,
 0,bda7,4,0.343, 0 , 0 , 0 , 0 ,
 2,bda8,4,0.538, 0 , 0 , 0 , 0 ,
 3,bda9,4,0.353, 0 , 0 , 0 , 0 ,
 4,bda2,1,0.444, 0 , 0 , 0 , 0 ,
 2,bda3,1,0.420, 0 , 0 , 0 , 0 ,
 5,bda4,1,0.469, 0 , 0 , 0 , 0 ,
 6,bda5,4,0.380, 0 , 0 , 0 , 0 ,
 3,bda6,4,0.650, 0 , 0 , 0 , 0 ,
 0,bda7,4,0.495, 0 , 0 , 0 , 0 ,
 1,bda8,4,0.385, 0 , 0 , 0 , 0 ,
 7,bda9,4,0.485, 0 , 0 , 0 , 0 ,
 3,bda2,1,0.507, 0 , 0 , 0 , 0 ,
 4,bda3,1,0.465, 0 , 0 , 0 , 0 ,
 0,bda4,1,0.455, 0 , 0 , 0 , 0 ,
 1,bda5,1,0.723, 0 , 0 , 0 , 0 ,
 7,bda6,4,0.476, 0 , 0 , 0 , 0 ,
 5,bda7,4,0.468, 0 , 0 , 0 , 0 ,
 2,bda8,4,0.474, 0 , 0 , 0 , 0 ,
 6,bda9,4,0.511, 0 , 0 , 0 , 0 ,
 7,bda2,1,0.435, 0 , 0 , 0 , 0 ,
 1,bda3,1,0.462, 0 , 0 , 0 , 0 ,
 4,bda4,1,0.498, 0 , 0 , 0 , 0 ,
 3,bda5,1,0.610, 0 , 0 , 0 , 0 ,
 0,bda6,4,0.659, 0 , 0 , 0 , 0 ,
 5,bda7,4,0.482, 0 , 0 , 0 , 0 ,
 2,bda8,4,0.484, 0 , 0 , 0 , 0 ,
 6,bda9,4,0.528, 0 , 0 , 0 , 0 ,
 1,bda2,1,0.440, 0 , 0 , 0 , 0 ,
 6,bda3,1,0.456, 0 , 0 , 0 , 0 ,
 5,bda4,1,0.439, 0 , 0 , 0 , 0 ,
 4,bda5,1,0.464, 0 , 0 , 0 , 0 ,
 3,bda6,4,0.347, 0 , 0 , 0 , 0 ,
 0,bda7,4,0.408, 0 , 0 , 0 , 0 ,
 7,bda8,4,0.408, 0 , 0 , 0 , 0 ,
 2,bda9,4,0.439, 0 , 0 , 0 , 0 ,
 5,bda2,1,0.407, 0 , 0 , 0 , 0 ,
 4,bda3,1,0.425, 0 , 0 , 0 , 0 ,
 1,bda4,1,0.432, 0 , 0 , 0 , 0 ,
 6,bda5,1,0.464, 0 , 0 , 0 , 0 ,
 0,bda6,4,0.456, 0 , 0 , 0 , 0 ,
 7,bda7,4,0.489, 0 , 0 , 0 , 0 ,
 2,bda8,4,0.453, 0 , 0 , 0 , 0 ,
 3,bda9,4,0.439, 0 , 0 , 0 , 0 ,
 4,bda2,1,0.521, 0 , 0 , 0 , 0 ,
 3,bda3,1,0.444, 0 , 0 , 0 , 0 ,
 7,bda4,1,0.431, 0 , 0 , 0 , 0 ,
 0,bda5,1,0.499, 0 , 0 , 0 , 0 ,
 5,bda6,1,1.329, 0 , 0 , 0 , 0 ,
 1,bda7,4,0.546, 0 , 0 , 0 , 0 ,
 6,bda8,4,0.463, 0 , 0 , 0 , 0 ,
 2,bda9,4,0.491, 0 , 0 , 0 , 0 ,
 1,bda2,1,0.424, 0 , 0 , 0 , 0 ,
 0,bda3,1,0.435, 0 , 0 , 0 , 0 ,
 5,bda4,1,0.444, 0 , 0 , 0 , 0 ,
 2,bda5,1,0.404, 0 , 0 , 0 , 0 ,
 7,bda6,1,0.779, 0 , 0 , 0 , 0 ,
 6,bda7,4,0.428, 0 , 0 , 0 , 0 ,
 3,bda8,4,0.381, 0 , 0 , 0 , 0 ,
 4,bda9,4,0.433, 0 , 0 , 0 , 0 ,
 2,bda2,1,0.425, 0 , 0 , 0 , 0 ,
 1,bda3,1,0.467, 0 , 0 , 0 , 0 ,
 3,bda4,1,0.524, 0 , 0 , 0 , 0 ,
 0,bda5,1,0.555, 0 , 0 , 0 , 0 ,
 7,bda6,1,0.633, 0 , 0 , 0 , 0 ,
 5,bda7,4,0.443, 0 , 0 , 0 , 0 ,
 4,bda8,4,0.459, 0 , 0 , 0 , 0 ,
 6,bda9,4,0.439, 0 , 0 , 0 , 0 ,
 4,bda2,1,0.578, 0 , 0 , 0 , 0 ,
 6,bda3,1,0.480, 0 , 0 , 0 , 0 ,
 5,bda4,1,0.466, 0 , 0 , 0 , 0 ,
 7,bda5,1,0.504, 0 , 0 , 0 , 0 ,
 3,bda6,4,1.361, 0 , 0 , 0 , 0 ,
 2,bda7,4,0.449, 0 , 0 , 0 , 0 ,
 1,bda8,4,0.509, 0 , 0 , 0 , 0 ,
 0,bda9,4,0.437, 0 , 0 , 0 , 0 ,
 6,bda2,1,0.460, 0 , 0 , 0 , 0 ,
 7,bda3,1,0.523, 0 , 0 , 0 , 0 ,
 3,bda4,1,0.454, 0 , 0 , 0 , 0 ,
 0,bda5,1,0.492, 0 , 0 , 0 , 0 ,
 5,bda6,4,0.513, 0 , 0 , 0 , 0 ,
 1,bda7,4,0.531, 0 , 0 , 0 , 0 ,
 2,bda8,4,0.932, 0 , 0 , 0 , 0 ,
 4,bda9,4,0.504, 0 , 0 , 0 , 0 ,
 2,bda2,1,0.469, 0 , 0 , 0 , 0 ,
 3,bda3,1,0.463, 0 , 0 , 0 , 0 ,
 0,bda4,1,0.424, 0 , 0 , 0 , 0 ,
 6,bda5,4,0.772, 0 , 0 , 0 , 0 ,
 5,bda6,4,0.428, 0 , 0 , 0 , 0 ,
 4,bda7,4,0.434, 0 , 0 , 0 , 0 ,
 7,bda8,4,0.440, 0 , 0 , 0 , 0 ,
 1,bda9,4,0.394, 0 , 0 , 0 , 0 ,
 
