nonsense, comment,Comment,,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\Head_ADDF.csv,Header,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\AudioAdapt.exe
Stim/,StimDir,Stim/,DataDir
1,ITI,0.5,ISI,0.3,AISI,3,MaximumWait
8,Number Of Trials,14,NumberOfPasses,1,NumberOfBlocks
D,Right Button Label

Played at Trial, WaveFile, NRAM,RT,,RT,KJOL,RT,

3,bda2,1,0.433, 0 , 0 ,4,0.247,
 2,bda3,1,0.760, 0 , 0 ,1,0.344,
 7,bda4,1,0.541, 0 , 0 ,1,0.467,
 6,bda5,4,2.393, 0 , 0 ,1,1.431,
 0,bda6,1,0.540, 0 , 0 ,4,0.286,
 5,bda7,1,0.373, 0 , 0 ,1,0.435,
 1,bda8,4,0.508, 0 , 0 ,4,0.354,
 4,bda9,4,0.537, 0 , 0 ,4,0.545,
 1,bda2,1,1.106, 0 , 0 ,1,0.677,
 2,bda3,1,1.523, 0 , 0 ,1,1.491,
 5,bda4,1,1.659, 0 , 0 ,1,0.437,
 0,bda5,4,0.972, 0 , 0 ,1,1.144,
 4,bda6,4,1.471, 0 , 0 ,4,0.639,
 3,bda7,4,0.816, 0 , 0 ,4,1.213,
 7,bda8,4,0.911, 0 , 0 ,4,0.875,
 6,bda9,1,0.531, 0 , 0 ,4,0.552,
 2,bda2,1,0.473, 0 , 0 ,1,1.046,
 5,bda3,1,0.795, 0 , 0 ,1,0.529,
 4,bda4,1,1.656, 0 , 0 ,1,0.552,
 6,bda5,1,0.426, 0 , 0 ,1,0.451,
 0,bda6,4,0.742, 0 , 0 ,4,0.696,
 7,bda7,1,1.202, 0 , 0 ,4,0.554,
 3,bda8,4,0.387, 0 , 0 ,4,0.477,
 1,bda9,4,0.606, 0 , 0 ,4,0.649,
 5,bda2,1,0.548, 0 , 0 ,1,0.419,
 1,bda3,4,0.986, 0 , 0 ,1,0.393,
 3,bda4,4,0.656, 0 , 0 ,1,0.380,
 6,bda5,1,0.661, 0 , 0 ,4,0.348,
 4,bda6,1,0.526, 0 , 0 ,4,0.312,
 0,bda7,4,1.218, 0 , 0 ,4,0.440,
 7,bda8,1,0.645, 0 , 0 ,4,0.389,
 2,bda9,1,1.088, 0 , 0 ,4,0.390,
 5,bda2,1,0.635, 0 , 0 ,4,0.332,
 0,bda3,1,0.552, 0 , 0 ,1,0.415,
 4,bda4,1,0.465, 0 , 0 ,4,0.533,
 1,bda5,1,1.021, 0 , 0 ,1,0.610,
 7,bda6,4,1.374, 0 , 0 ,4,0.355,
 6,bda7,4,1.343, 0 , 0 ,1,0.581,
 3,bda8,4,0.642, 0 , 0 ,1,0.544,
 2,bda9,4,0.773, 0 , 0 ,4,0.603,
 2,bda2,1,0.612, 0 , 0 ,4,0.529,
 7,bda3,1,0.603, 0 , 0 ,4,0.868,
 5,bda4,1,1.391, 0 , 0 ,1,1.595,
 0,bda5,1,0.882, 0 , 0 ,4,0.631,
 6,bda6,4,0.506, 0 , 0 ,4,0.701,
 1,bda7,4,0.945, 0 , 0 ,4,0.429,
 3,bda8,1,0.728, 0 , 0 ,1,0.535,
 4,bda9,4,0.646, 0 , 0 ,4,0.553,
 7,bda2,1,0.571, 0 , 0 ,4,0.343,
 5,bda3,4,1.496, 0 , 0 ,1,0.360,
 6,bda4,1,1.496, 0 , 0 ,1,0.445,
 0,bda5,1,0.533, 0 , 0 ,1,0.288,
 3,bda6,1,0.720, 0 , 0 ,4,0.211,
 4,bda7,1,0.604, 0 , 0 ,4,0.419,
 2,bda8,4,0.385, 0 , 0 ,4,0.317,
 1,bda9,4,1.554, 0 , 0 ,1,0.420,
 4,bda2,1,0.502, 0 , 0 ,1,0.672,
 2,bda3,1,0.614, 0 , 0 ,4,0.961,
 7,bda4,1,0.567, 0 , 0 ,1,0.386,
 3,bda5,1,0.718, 0 , 0 ,4,0.358,
 5,bda6,4,1.655, 0 , 0 ,1,0.455,
 1,bda7,4,0.920, 0 , 0 ,4,0.480,
 0,bda8,4,0.426, 0 , 0 ,1,0.761,
 6,bda9,4,1.154, 0 , 0 ,4,0.315,
 1,bda2,1,0.582, 0 , 0 ,4,0.408,
 6,bda3,1,1.110, 0 , 0 ,1,0.995,
 0,bda4,1,0.485, 0 , 0 ,1,0.278,
 2,bda5,1,0.605, 0 , 0 ,4,0.245,
 3,bda6,1,0.516, 0 , 0 ,4,0.604,
 7,bda7,4,0.407, 0 , 0 ,4,0.400,
 5,bda8,4,0.382, 0 , 0 ,4,0.447,
 4,bda9,4,0.354, 0 , 0 ,4,0.334,
 6,bda2,1,0.632, 0 , 0 ,4,0.365,
 7,bda3,1,0.535, 0 , 0 ,4,0.449,
 3,bda4,1,0.659, 0 , 0 ,1,0.470,
 4,bda5,1,0.657, 0 , 0 ,1,0.897,
 2,bda6,1,1.123, 0 , 0 ,1,0.839,
 1,bda7,4,0.397, 0 , 0 ,1,0.309,
 0,bda8,4,0.986, 0 , 0 ,1,2.244,
 5,bda9,4,1.059, 0 , 0 ,1,1.694,
 3,bda2,1,0.483, 0 , 0 ,4,0.599,
 4,bda3,1,0.528, 0 , 0 ,1,0.281,
 0,bda4,1,0.456, 0 , 0 ,4,0.339,
 2,bda5,1,0.912, 0 , 0 ,1,0.723,
 1,bda6,1,0.599, 0 , 0 ,1,0.802,
 6,bda7,4,0.369, 0 , 0 ,4,0.215,
 5,bda8,4,0.412, 0 , 0 ,4,0.215,
 7,bda9,4,0.403, 0 , 0 ,4,0.197,
 0,bda2,1,1.065, 0 , 0 ,1,1.284,
 4,bda3,1,0.424, 0 , 0 ,4,0.690,
 2,bda4,4,0.432, 0 , 0 ,1,0.495,
 6,bda5,1,0.580, 0 , 0 ,4,0.301,
 1,bda6,1,1.510, 0 , 0 ,1,0.485,
 7,bda7,4,0.432, 0 , 0 ,1,0.260,
 3,bda8,4,0.412, 0 , 0 ,4,1.548,
 5,bda9,4,0.728, 0 , 0 ,1,0.290,
 5,bda2,4,0.451, 0 , 0 ,1,0.331,
 3,bda3,1,0.512, 0 , 0 ,4,0.328,
 4,bda4,1,0.524, 0 , 0 ,4,0.276,
 2,bda5,1,0.730, 0 , 0 ,4,0.262,
 6,bda6,1,0.568, 0 , 0 ,1,0.236,
 1,bda7,1,1.683, 0 , 0 ,4,0.512,
 0,bda8,4,0.466, 0 , 0 ,4,0.318,
 7,bda9,4,0.434, 0 , 0 ,1,0.510,
 3,bda2,1,0.506, 0 , 0 ,1,0.471,
 5,bda3,1,1.121, 0 , 0 ,4,0.209,
 1,bda4,1,0.455, 0 , 0 ,1,0.331,
 0,bda5,1,1.441, 0 , 0 ,4,0.432,
 6,bda6,1,1.082, 0 , 0 ,1,0.353,
 2,bda7,1,0.802, 0 , 0 ,1,0.404,
 4,bda8,4,0.343, 0 , 0 ,4,0.435,
 7,bda9,4,0.614, 0 , 0 ,1,0.343,
 
