nonsense, comment,Comment,,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\Head_ADDF.csv,Header,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\AudioAdapt.exe
Stim/,StimDir,Stim/,DataDir
1,ITI,0.5,ISI,0.3,AISI,3,MaximumWait
8,Number Of Trials,14,NumberOfPasses,1,NumberOfBlocks
D,Right Button Label

Played at Trial, WaveFile, ,RT,BNGU,RT,WKHA,RT,

2,bda2, 0 , 0 ,1,0.522,1,0.564,
 4,bda3, 0 , 0 ,1,0.525,1,0.438,
 1,bda4, 0 , 0 ,1,0.648,1,0.627,
 7,bda5, 0 , 0 ,1,0.470,1,0.488,
 0,bda6, 0 , 0 ,4,0.511,4,0.436,
 3,bda7, 0 , 0 ,4,0.704,4,0.465,
 6,bda8, 0 , 0 ,4,0.463,4,0.692,
 5,bda9, 0 , 0 ,4,0.452,4,0.910,
 2,bda2, 0 , 0 ,1,0.513,1,0.384,
 7,bda3, 0 , 0 ,1,0.554,1,0.384,
 6,bda4, 0 , 0 ,1,1.278,1,0.448,
 5,bda5, 0 , 0 ,1,0.524,1,0.340,
 0,bda6, 0 , 0 ,1,1.197,1,0.429,
 3,bda7, 0 , 0 ,1,0.469,4,0.420,
 1,bda8, 0 , 0 ,1,0.590,4,0.386,
 4,bda9, 0 , 0 ,4,0.508,4,0.451,
 4,bda2, 0 , 0 ,1,0.447,1,0.551,
 2,bda3, 0 , 0 ,1,0.782,1,0.506,
 1,bda4, 0 , 0 ,1,0.596,1,0.510,
 7,bda5, 0 , 0 ,1,0.357,1,0.624,
 0,bda6, 0 , 0 ,1,0.983,4,0.523,
 6,bda7, 0 , 0 ,4,0.815,4,0.651,
 3,bda8, 0 , 0 ,4,0.364,4,0.402,
 5,bda9, 0 , 0 ,4,0.501,4,0.621,
 5,bda2, 0 , 0 ,1,0.429,1,0.405,
 2,bda3, 0 , 0 ,1,0.450,1,0.569,
 6,bda4, 0 , 0 ,1,0.548,1,0.411,
 0,bda5, 0 , 0 ,1,0.445,1,0.541,
 3,bda6, 0 , 0 ,1,0.483,4,0.604,
 1,bda7, 0 , 0 ,1,0.832,4,0.536,
 7,bda8, 0 , 0 ,4,0.589,4,0.488,
 4,bda9, 0 , 0 ,4,0.533,4,0.708,
 3,bda2, 0 , 0 ,1,0.396,1,0.374,
 2,bda3, 0 , 0 ,1,0.358,1,0.612,
 4,bda4, 0 , 0 ,1,0.430,1,0.385,
 5,bda5, 0 , 0 ,1,0.578,4,0.829,
 7,bda6, 0 , 0 ,4,0.463,4,0.433,
 0,bda7, 0 , 0 ,4,0.568,4,0.423,
 6,bda8, 0 , 0 ,4,0.440,4,0.462,
 1,bda9, 0 , 0 ,4,0.489,4,0.628,
 3,bda2, 0 , 0 ,1,0.457,1,0.528,
 4,bda3, 0 , 0 ,1,0.507,1,0.325,
 5,bda4, 0 , 0 ,1,0.447,1,0.400,
 7,bda5, 0 , 0 ,1,0.477,1,0.558,
 6,bda6, 0 , 0 ,1,0.429,4,0.492,
 2,bda7, 0 , 0 ,1,0.445,4,0.408,
 0,bda8, 0 , 0 ,4,0.513,4,0.397,
 1,bda9, 0 , 0 ,4,0.452,4,0.445,
 3,bda2, 0 , 0 ,1,0.418,1,0.417,
 4,bda3, 0 , 0 ,1,0.415,1,0.369,
 5,bda4, 0 , 0 ,1,0.485,1,0.580,
 2,bda5, 0 , 0 ,1,0.761,1,0.926,
 7,bda6, 0 , 0 ,1,0.442,4,0.409,
 0,bda7, 0 , 0 ,1,0.417,4,0.408,
 1,bda8, 0 , 0 ,4,0.385,4,0.513,
 6,bda9, 0 , 0 ,4,0.380,4,0.395,
