:DF:ID:,Comment,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\Head_IDDF.csv,Header
500,ITI,3000,MaximumWait
8,Number Of Trials,18,NumberOfPasses,1,NumberOfBlocks
B,Left Button Label,D,Right Button Label
Played at Trial,AudioWaveFile1,SVIA,RT,SPAC,RT,,RT,
3,bda2.wav,1,437,1,479,0,0,
4,bda3.wav,1,583,1,518,0,0,
1,bda4.wav,1,412,1,495,0,0,
5,bda5.wav,1,680,1,754,0,0,
6,bda6.wav,4,661,1,513,0,0,
2,bda7.wav,4,612,4,489,0,0,
0,bda8.wav,4,572,4,627,0,0,
7,bda9.wav,4,422,4,463,0,0,
6,bda2.wav,1,644,1,482,0,0,
4,bda3.wav,1,529,1,486,0,0,
2,bda4.wav,1,440,1,461,0,0,
3,bda5.wav,1,582,1,786,0,0,
5,bda6.wav,4,383,4,1018,0,0,
1,bda7.wav,4,338,4,442,0,0,
7,bda8.wav,4,507,4,585,0,0,
0,bda9.wav,4,413,4,653,0,0,
1,bda2.wav,1,395,1,420,0,0,
0,bda3.wav,1,485,1,683,0,0,
5,bda4.wav,1,402,1,434,0,0,
7,bda5.wav,4,928,1,765,0,0,
4,bda6.wav,4,491,4,920,0,0,
6,bda7.wav,4,410,4,471,0,0,
2,bda8.wav,4,633,4,518,0,0,
3,bda9.wav,4,520,4,648,0,0,
1,bda2.wav,1,623,1,640,0,0,
2,bda3.wav,1,638,1,532,0,0,
6,bda4.wav,1,646,1,397,0,0,
4,bda5.wav,4,526,4,1348,0,0,
7,bda6.wav,4,474,4,655,0,0,
5,bda7.wav,4,394,4,532,0,0,
3,bda8.wav,4,440,4,592,0,0,
0,bda9.wav,4,390,4,471,0,0,
1,bda2.wav,4,404,1,422,0,0,
6,bda3.wav,1,500,1,574,0,0,
3,bda4.wav,1,546,1,452,0,0,
5,bda5.wav,4,325,1,510,0,0,
2,bda6.wav,4,805,4,496,0,0,
0,bda7.wav,4,338,4,440,0,0,
4,bda8.wav,4,423,4,470,0,0,
7,bda9.wav,4,608,4,433,0,0,
4,bda2.wav,1,541,1,525,0,0,
1,bda3.wav,1,344,1,376,0,0,
6,bda4.wav,1,425,1,465,0,0,
2,bda5.wav,1,526,1,893,0,0,
3,bda6.wav,4,344,4,454,0,0,
5,bda7.wav,4,475,4,513,0,0,
0,bda8.wav,4,529,4,525,0,0,
7,bda9.wav,4,591,4,501,0,0,
1,bda2.wav,1,482,1,665,0,0,
3,bda3.wav,1,387,1,564,0,0,
4,bda4.wav,1,537,1,841,0,0,
0,bda5.wav,1,646,1,629,0,0,
7,bda6.wav,4,428,4,500,0,0,
6,bda7.wav,4,437,4,485,0,0,
2,bda8.wav,4,481,4,809,0,0,
5,bda9.wav,4,433,4,543,0,0,
0,bda2.wav,1,392,1,380,0,0,
3,bda3.wav,1,371,1,441,0,0,
7,bda4.wav,1,330,1,458,0,0,
6,bda5.wav,1,406,4,769,0,0,
2,bda6.wav,4,557,4,458,0,0,
1,bda7.wav,4,700,4,379,0,0,
4,bda8.wav,4,324,4,518,0,0,
