:DF:ID:,Comment,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\Head_IDDF.csv,Header
500,ITI,3000,MaximumWait
8,Number Of Trials,18,NumberOfPasses,1,NumberOfBlocks
B,Left Button Label,D,Right Button Label
Played at Trial,AudioWaveFile1,,RT,,RT,CPAR,RT,
4,bda2.wav,0,0,0,0,1,432,
1,bda3.wav,0,0,0,0,1,403,
7,bda4.wav,0,0,0,0,1,319,
3,bda5.wav,0,0,0,0,1,321,
6,bda6.wav,0,0,0,0,1,1014,
5,bda7.wav,0,0,0,0,4,416,
2,bda8.wav,0,0,0,0,4,283,
0,bda9.wav,0,0,0,0,4,353,
6,bda2.wav,0,0,0,0,1,291,
4,bda3.wav,0,0,0,0,1,383,
1,bda4.wav,0,0,0,0,1,266,
0,bda5.wav,0,0,0,0,1,353,
2,bda6.wav,0,0,0,0,1,266,
5,bda7.wav,0,0,0,0,4,369,
7,bda8.wav,0,0,0,0,4,308,
3,bda9.wav,0,0,0,0,4,386,
2,bda2.wav,0,0,0,0,1,384,
0,bda3.wav,0,0,0,0,1,462,
1,bda4.wav,0,0,0,0,1,375,
5,bda5.wav,0,0,0,0,1,493,
3,bda6.wav,0,0,0,0,1,349,
7,bda7.wav,0,0,0,0,1,479,
4,bda8.wav,0,0,0,0,4,742,
6,bda9.wav,0,0,0,0,4,412,
6,bda2.wav,0,0,0,0,1,253,
4,bda3.wav,0,0,0,0,1,538,
5,bda4.wav,0,0,0,0,4,270,
0,bda5.wav,0,0,0,0,1,278,
7,bda6.wav,0,0,0,0,1,382,
3,bda7.wav,0,0,0,0,4,168,
2,bda8.wav,0,0,0,0,4,342,
1,bda9.wav,0,0,0,0,4,326,
1,bda2.wav,0,0,0,0,1,607,
7,bda3.wav,0,0,0,0,1,418,
0,bda4.wav,0,0,0,0,4,360,
5,bda5.wav,0,0,0,0,1,462,
4,bda6.wav,0,0,0,0,1,219,
2,bda7.wav,0,0,0,0,4,580,
3,bda8.wav,0,0,0,0,4,384,
6,bda9.wav,0,0,0,0,4,465,
7,bda2.wav,0,0,0,0,1,280,
6,bda3.wav,0,0,0,0,1,419,
0,bda4.wav,0,0,0,0,1,561,
4,bda5.wav,0,0,0,0,1,438,
1,bda6.wav,0,0,0,0,1,973,
5,bda7.wav,0,0,0,0,4,602,
2,bda8.wav,0,0,0,0,4,532,
3,bda9.wav,0,0,0,0,4,474,
1,bda2.wav,0,0,0,0,1,496,
6,bda3.wav,0,0,0,0,1,555,
0,bda4.wav,0,0,0,0,1,392,
7,bda5.wav,0,0,0,0,1,796,
5,bda6.wav,0,0,0,0,1,536,
4,bda7.wav,0,0,0,0,4,934,
3,bda8.wav,0,0,0,0,4,553,
2,bda9.wav,0,0,0,0,4,586,
1,bda2.wav,0,0,0,0,1,518,
5,bda3.wav,0,0,0,0,1,526,
6,bda4.wav,0,0,0,0,4,1363,
0,bda5.wav,0,0,0,0,1,719,
4,bda6.wav,0,0,0,0,4,510,
3,bda7.wav,0,0,0,0,1,676,
2,bda8.wav,0,0,0,0,4,473,
7,bda9.wav,0,0,0,0,4,916,
3,bda2.wav,0,0,0,0,1,434,
4,bda3.wav,0,0,0,0,1,410,
5,bda4.wav,0,0,0,0,1,399,
0,bda5.wav,0,0,0,0,1,890,
1,bda6.wav,0,0,0,0,1,1193,
7,bda7.wav,0,0,0,0,1,453,
6,bda8.wav,0,0,0,0,4,490,
2,bda9.wav,0,0,0,0,4,977,
