:DF:ID:,Comment,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\Head_IDDF.csv,Header
500,ITI,3000,MaximumWait
8,Number Of Trials,18,NumberOfPasses,1,NumberOfBlocks
B,Left Button Label,D,Right Button Label
Played at Trial,AudioWaveFile1,,RT,GBIS,RT,,RT,
6,bda2.wav,0,0,1,521,0,0,
7,bda3.wav,0,0,1,420,0,0,
4,bda4.wav,0,0,1,498,0,0,
3,bda5.wav,0,0,1,500,0,0,
0,bda6.wav,0,0,4,650,0,0,
1,bda7.wav,0,0,4,480,0,0,
5,bda8.wav,0,0,1,759,0,0,
2,bda9.wav,0,0,4,581,0,0,
4,bda2.wav,0,0,1,628,0,0,
5,bda3.wav,0,0,1,516,0,0,
1,bda4.wav,0,0,1,398,0,0,
3,bda5.wav,0,0,1,514,0,0,
6,bda6.wav,0,0,1,558,0,0,
2,bda7.wav,0,0,4,519,0,0,
7,bda8.wav,0,0,1,454,0,0,
0,bda9.wav,0,0,4,403,0,0,
3,bda2.wav,0,0,1,405,0,0,
2,bda3.wav,0,0,1,363,0,0,
5,bda4.wav,0,0,1,359,0,0,
6,bda5.wav,0,0,1,402,0,0,
0,bda6.wav,0,0,1,454,0,0,
1,bda7.wav,0,0,4,420,0,0,
4,bda8.wav,0,0,4,447,0,0,
7,bda9.wav,0,0,4,331,0,0,
2,bda2.wav,0,0,1,321,0,0,
0,bda3.wav,0,0,1,421,0,0,
6,bda4.wav,0,0,1,362,0,0,
5,bda5.wav,0,0,1,530,0,0,
7,bda6.wav,0,0,1,871,0,0,
4,bda7.wav,0,0,4,333,0,0,
3,bda8.wav,0,0,1,308,0,0,
1,bda9.wav,0,0,1,427,0,0,
4,bda2.wav,0,0,1,406,0,0,
1,bda3.wav,0,0,1,401,0,0,
2,bda4.wav,0,0,1,310,0,0,
0,bda5.wav,0,0,1,445,0,0,
3,bda6.wav,0,0,1,447,0,0,
7,bda7.wav,0,0,4,669,0,0,
5,bda8.wav,0,0,4,450,0,0,
6,bda9.wav,0,0,4,455,0,0,
5,bda2.wav,0,0,1,528,0,0,
2,bda3.wav,0,0,1,404,0,0,
3,bda4.wav,0,0,1,415,0,0,
7,bda5.wav,0,0,1,405,0,0,
1,bda6.wav,0,0,1,446,0,0,
6,bda7.wav,0,0,4,488,0,0,
0,bda8.wav,0,0,4,403,0,0,
4,bda9.wav,0,0,4,380,0,0,
1,bda2.wav,0,0,1,466,0,0,
4,bda3.wav,0,0,1,415,0,0,
