:DF:ID:,Comment,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\Head_IDDF.csv,Header
500,ITI,3000,MaximumWait
8,Number Of Trials,18,NumberOfPasses,1,NumberOfBlocks
B,Left Button Label,D,Right Button Label
Played at Trial,AudioWaveFile1,,RT,,RT,HFRE,RT,
4,bda2.wav,0,0,0,0,1,654,
7,bda3.wav,0,0,0,0,1,660,
1,bda4.wav,0,0,0,0,1,584,
5,bda5.wav,0,0,0,0,1,623,
0,bda6.wav,0,0,0,0,4,983,
3,bda7.wav,0,0,0,0,4,864,
6,bda8.wav,0,0,0,0,4,444,
2,bda9.wav,0,0,0,0,4,486,
3,bda2.wav,0,0,0,0,1,510,
0,bda3.wav,0,0,0,0,1,459,
1,bda4.wav,0,0,0,0,1,751,
6,bda5.wav,0,0,0,0,1,949,
2,bda6.wav,0,0,0,0,4,1270,
5,bda7.wav,0,0,0,0,4,405,
4,bda8.wav,0,0,0,0,4,404,
7,bda9.wav,0,0,0,0,4,491,
5,bda2.wav,0,0,0,0,1,509,
2,bda3.wav,0,0,0,0,1,425,
4,bda4.wav,0,0,0,0,1,540,
0,bda5.wav,0,0,0,0,4,936,
1,bda6.wav,0,0,0,0,4,1874,
7,bda7.wav,0,0,0,0,4,1162,
3,bda8.wav,0,0,0,0,4,531,
6,bda9.wav,0,0,0,0,4,401,
5,bda2.wav,0,0,0,0,1,728,
1,bda3.wav,0,0,0,0,1,401,
6,bda4.wav,0,0,0,0,1,408,
4,bda5.wav,0,0,0,0,1,739,
3,bda6.wav,0,0,0,0,4,666,
2,bda7.wav,0,0,0,0,4,1406,
7,bda8.wav,0,0,0,0,4,563,
0,bda9.wav,0,0,0,0,4,393,
2,bda2.wav,0,0,0,0,1,368,
3,bda3.wav,0,0,0,0,1,380,
4,bda4.wav,0,0,0,0,1,792,
7,bda5.wav,0,0,0,0,1,458,
6,bda6.wav,0,0,0,0,4,627,
0,bda7.wav,0,0,0,0,4,470,
1,bda8.wav,0,0,0,0,4,419,
5,bda9.wav,0,0,0,0,4,405,
5,bda2.wav,0,0,0,0,1,405,
0,bda3.wav,0,0,0,0,1,377,
1,bda4.wav,0,0,0,0,1,381,
7,bda5.wav,0,0,0,0,1,499,
6,bda6.wav,0,0,0,0,4,478,
4,bda7.wav,0,0,0,0,4,472,
3,bda8.wav,0,0,0,0,4,393,
2,bda9.wav,0,0,0,0,4,407,
6,bda2.wav,0,0,0,0,1,424,
1,bda3.wav,0,0,0,0,1,445,
4,bda4.wav,0,0,0,0,1,399,
5,bda5.wav,0,0,0,0,1,472,
3,bda6.wav,0,0,0,0,4,763,
7,bda7.wav,0,0,0,0,4,389,
2,bda8.wav,0,0,0,0,4,393,
0,bda9.wav,0,0,0,0,4,431,
7,bda2.wav,0,0,0,0,1,539,
1,bda3.wav,0,0,0,0,1,520,
6,bda4.wav,0,0,0,0,1,481,
4,bda5.wav,0,0,0,0,1,462,
2,bda6.wav,0,0,0,0,1,490,
