:DF:ID:,Comment,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\Head_IDDF.csv,Header
500,ITI,3000,MaximumWait
8,Number Of Trials,18,NumberOfPasses,1,NumberOfBlocks
B,Left Button Label,D,Right Button Label
Played at Trial,AudioWaveFile1,,RT,,RT,JCIA,RT,
2,bda2.wav,0,0,0,0,1,398,
5,bda3.wav,0,0,0,0,1,612,
6,bda4.wav,0,0,0,0,1,1553,
4,bda5.wav,0,0,0,0,1,597,
7,bda6.wav,0,0,0,0,1,467,
1,bda7.wav,0,0,0,0,1,520,
3,bda8.wav,0,0,0,0,1,444,
0,bda9.wav,0,0,0,0,1,540,
6,bda2.wav,0,0,0,0,1,264,
4,bda3.wav,0,0,0,0,1,270,
5,bda4.wav,0,0,0,0,1,379,
2,bda5.wav,0,0,0,0,1,230,
1,bda6.wav,0,0,0,0,1,409,
7,bda7.wav,0,0,0,0,1,436,
3,bda8.wav,0,0,0,0,4,482,
0,bda9.wav,0,0,0,0,4,407,
2,bda2.wav,0,0,0,0,1,233,
7,bda3.wav,0,0,0,0,1,171,
5,bda4.wav,0,0,0,0,1,228,
1,bda5.wav,0,0,0,0,1,294,
0,bda6.wav,0,0,0,0,1,345,
3,bda7.wav,0,0,0,0,1,209,
6,bda8.wav,0,0,0,0,4,349,
4,bda9.wav,0,0,0,0,4,219,
3,bda2.wav,0,0,0,0,1,1005,
5,bda3.wav,0,0,0,0,1,692,
1,bda4.wav,0,0,0,0,1,396,
6,bda5.wav,0,0,0,0,1,243,
4,bda6.wav,0,0,0,0,4,320,
2,bda7.wav,0,0,0,0,1,477,
7,bda8.wav,0,0,0,0,4,499,
0,bda9.wav,0,0,0,0,1,234,
5,bda2.wav,0,0,0,0,1,383,
6,bda3.wav,0,0,0,0,1,573,
2,bda4.wav,0,0,0,0,1,400,
1,bda5.wav,0,0,0,0,1,362,
7,bda6.wav,0,0,0,0,1,340,
3,bda7.wav,0,0,0,0,4,552,
0,bda8.wav,0,0,0,0,4,610,
4,bda9.wav,0,0,0,0,4,319,
6,bda2.wav,0,0,0,0,1,341,
1,bda3.wav,0,0,0,0,1,375,
2,bda4.wav,0,0,0,0,1,406,
7,bda5.wav,0,0,0,0,1,256,
0,bda6.wav,0,0,0,0,1,273,
3,bda7.wav,0,0,0,0,1,289,
5,bda8.wav,0,0,0,0,4,360,
4,bda9.wav,0,0,0,0,4,246,
6,bda2.wav,0,0,0,0,1,225,
0,bda3.wav,0,0,0,0,1,435,
5,bda4.wav,0,0,0,0,1,567,
4,bda5.wav,0,0,0,0,4,159,
3,bda6.wav,0,0,0,0,1,186,
7,bda7.wav,0,0,0,0,1,193,
1,bda8.wav,0,0,0,0,4,211,
2,bda9.wav,0,0,0,0,1,298,
3,bda2.wav,0,0,0,0,1,393,
2,bda3.wav,0,0,0,0,1,419,
0,bda4.wav,0,0,0,0,1,300,
1,bda5.wav,0,0,0,0,1,365,
4,bda6.wav,0,0,0,0,1,380,
7,bda7.wav,0,0,0,0,1,453,
6,bda8.wav,0,0,0,0,4,545,
5,bda9.wav,0,0,0,0,4,346,
2,bda2.wav,0,0,0,0,1,405,
1,bda3.wav,0,0,0,0,1,482,
4,bda4.wav,0,0,0,0,1,405,
6,bda5.wav,0,0,0,0,1,418,
5,bda6.wav,0,0,0,0,4,407,
0,bda7.wav,0,0,0,0,1,284,
7,bda8.wav,0,0,0,0,4,370,
3,bda9.wav,0,0,0,0,4,394,
2,bda2.wav,0,0,0,0,1,397,
7,bda3.wav,0,0,0,0,1,312,
0,bda4.wav,0,0,0,0,1,397,
6,bda5.wav,0,0,0,0,1,276,
3,bda6.wav,0,0,0,0,1,302,
1,bda7.wav,0,0,0,0,1,273,
4,bda8.wav,0,0,0,0,4,384,
5,bda9.wav,0,0,0,0,4,345,
0,bda2.wav,0,0,0,0,1,241,
3,bda3.wav,0,0,0,0,1,362,
6,bda4.wav,0,0,0,0,1,460,
2,bda5.wav,0,0,0,0,1,269,
4,bda6.wav,0,0,0,0,4,1086,
1,bda7.wav,0,0,0,0,1,326,
5,bda8.wav,0,0,0,0,4,507,
7,bda9.wav,0,0,0,0,4,461,
6,bda2.wav,0,0,0,0,1,288,
3,bda3.wav,0,0,0,0,1,385,
1,bda4.wav,0,0,0,0,1,256,
0,bda5.wav,0,0,0,0,1,611,
2,bda6.wav,0,0,0,0,1,525,
5,bda7.wav,0,0,0,0,1,387,
4,bda8.wav,0,0,0,0,1,652,
7,bda9.wav,0,0,0,0,4,379,
3,bda2.wav,0,0,0,0,1,483,
0,bda3.wav,0,0,0,0,1,317,
2,bda4.wav,0,0,0,0,1,324,
1,bda5.wav,0,0,0,0,1,509,
5,bda6.wav,0,0,0,0,1,426,
7,bda7.wav,0,0,0,0,1,268,
6,bda8.wav,0,0,0,0,4,768,
4,bda9.wav,0,0,0,0,4,401,
