:DF:ID:,Comment,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\Head_IDDF.csv,Header
500,ITI,3000,MaximumWait
8,Number Of Trials,18,NumberOfPasses,1,NumberOfBlocks
B,Left Button Label,D,Right Button Label
Played at Trial,AudioWaveFile1,blin,RT,,RT,,RT,
4,bda2.wav,1,765,0,0,0,0,
2,bda3.wav,1,604,0,0,0,0,
5,bda4.wav,1,933,0,0,0,0,
6,bda5.wav,1,790,0,0,0,0,
0,bda6.wav,4,1196,0,0,0,0,
3,bda7.wav,1,1035,0,0,0,0,
7,bda8.wav,4,750,0,0,0,0,
1,bda9.wav,4,524,0,0,0,0,
3,bda2.wav,1,690,0,0,0,0,
7,bda3.wav,1,571,0,0,0,0,
2,bda4.wav,1,571,0,0,0,0,
4,bda5.wav,1,613,0,0,0,0,
5,bda6.wav,4,1135,0,0,0,0,
1,bda7.wav,4,817,0,0,0,0,
0,bda8.wav,4,642,0,0,0,0,
6,bda9.wav,4,476,0,0,0,0,
7,bda2.wav,1,851,0,0,0,0,
0,bda3.wav,1,516,0,0,0,0,
6,bda4.wav,1,606,0,0,0,0,
3,bda5.wav,1,882,0,0,0,0,
2,bda6.wav,4,505,0,0,0,0,
5,bda7.wav,4,559,0,0,0,0,
1,bda8.wav,4,535,0,0,0,0,
4,bda9.wav,4,767,0,0,0,0,
3,bda2.wav,1,717,0,0,0,0,
7,bda3.wav,1,625,0,0,0,0,
6,bda4.wav,1,645,0,0,0,0,
1,bda5.wav,1,752,0,0,0,0,
0,bda6.wav,4,832,0,0,0,0,
2,bda7.wav,4,728,0,0,0,0,
4,bda8.wav,4,671,0,0,0,0,
5,bda9.wav,4,510,0,0,0,0,
6,bda2.wav,1,571,0,0,0,0,
3,bda3.wav,1,602,0,0,0,0,
1,bda4.wav,1,593,0,0,0,0,
0,bda5.wav,1,567,0,0,0,0,
7,bda6.wav,4,645,0,0,0,0,
5,bda7.wav,4,574,0,0,0,0,
2,bda8.wav,4,689,0,0,0,0,
4,bda9.wav,4,597,0,0,0,0,
7,bda2.wav,1,724,0,0,0,0,
0,bda3.wav,1,714,0,0,0,0,
3,bda4.wav,1,725,0,0,0,0,
4,bda5.wav,1,766,0,0,0,0,
2,bda6.wav,4,532,0,0,0,0,
1,bda7.wav,4,705,0,0,0,0,
6,bda8.wav,4,717,0,0,0,0,
5,bda9.wav,4,626,0,0,0,0,
7,bda2.wav,1,566,0,0,0,0,
4,bda3.wav,1,833,0,0,0,0,
6,bda4.wav,1,523,0,0,0,0,
0,bda5.wav,1,581,0,0,0,0,
5,bda6.wav,4,649,0,0,0,0,
1,bda7.wav,4,697,0,0,0,0,
2,bda8.wav,4,543,0,0,0,0,
3,bda9.wav,4,712,0,0,0,0,
2,bda2.wav,1,647,0,0,0,0,
6,bda3.wav,1,549,0,0,0,0,
7,bda4.wav,1,536,0,0,0,0,
5,bda5.wav,1,647,0,0,0,0,
1,bda6.wav,4,926,0,0,0,0,
3,bda7.wav,4,851,0,0,0,0,
4,bda8.wav,4,569,0,0,0,0,
0,bda9.wav,4,483,0,0,0,0,
3,bda2.wav,1,606,0,0,0,0,
