:DF:ID:,Comment,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\Head_IDDF.csv,Header
500,ITI,3000,MaximumWait
8,Number Of Trials,18,NumberOfPasses,1,NumberOfBlocks
B,Left Button Label,D,Right Button Label
Played at Trial,AudioWaveFile1,DMCL,RT,,RT,,RT,
0,bda2.wav,1,992,0,0,0,0,
7,bda3.wav,1,565,0,0,0,0,
4,bda4.wav,1,620,0,0,0,0,
1,bda5.wav,1,543,0,0,0,0,
2,bda6.wav,1,860,0,0,0,0,
6,bda7.wav,4,959,0,0,0,0,
5,bda8.wav,4,463,0,0,0,0,
3,bda9.wav,4,953,0,0,0,0,
5,bda2.wav,1,442,0,0,0,0,
3,bda3.wav,1,406,0,0,0,0,
2,bda4.wav,1,588,0,0,0,0,
6,bda5.wav,1,1040,0,0,0,0,
4,bda6.wav,4,624,0,0,0,0,
1,bda7.wav,4,683,0,0,0,0,
0,bda8.wav,4,699,0,0,0,0,
7,bda9.wav,4,394,0,0,0,0,
2,bda2.wav,1,762,0,0,0,0,
5,bda3.wav,1,564,0,0,0,0,
1,bda4.wav,1,562,0,0,0,0,
7,bda5.wav,1,1355,0,0,0,0,
3,bda6.wav,4,768,0,0,0,0,
0,bda7.wav,4,520,0,0,0,0,
6,bda8.wav,4,623,0,0,0,0,
4,bda9.wav,4,812,0,0,0,0,
6,bda2.wav,1,398,0,0,0,0,
4,bda3.wav,1,534,0,0,0,0,
2,bda4.wav,4,883,0,0,0,0,
1,bda5.wav,1,614,0,0,0,0,
7,bda6.wav,4,685,0,0,0,0,
5,bda7.wav,4,683,0,0,0,0,
0,bda8.wav,4,698,0,0,0,0,
3,bda9.wav,4,663,0,0,0,0,
1,bda2.wav,1,626,0,0,0,0,
4,bda3.wav,1,523,0,0,0,0,
2,bda4.wav,1,1053,0,0,0,0,
0,bda5.wav,4,548,0,0,0,0,
7,bda6.wav,4,495,0,0,0,0,
5,bda7.wav,4,578,0,0,0,0,
3,bda8.wav,4,587,0,0,0,0,
6,bda9.wav,4,449,0,0,0,0,
2,bda2.wav,1,658,0,0,0,0,
6,bda3.wav,1,873,0,0,0,0,
3,bda4.wav,1,621,0,0,0,0,
7,bda5.wav,1,914,0,0,0,0,
5,bda6.wav,4,907,0,0,0,0,
1,bda7.wav,4,1029,0,0,0,0,
0,bda8.wav,4,1166,0,0,0,0,
4,bda9.wav,4,1491,0,0,0,0,
6,bda2.wav,1,712,0,0,0,0,
0,bda3.wav,1,705,0,0,0,0,
2,bda4.wav,1,1123,0,0,0,0,
5,bda5.wav,4,1125,0,0,0,0,
3,bda6.wav,4,918,0,0,0,0,
4,bda7.wav,4,620,0,0,0,0,
7,bda8.wav,4,477,0,0,0,0,
1,bda9.wav,4,847,0,0,0,0,
7,bda2.wav,1,462,0,0,0,0,
6,bda3.wav,1,925,0,0,0,0,
4,bda4.wav,1,573,0,0,0,0,
3,bda5.wav,4,730,0,0,0,0,
2,bda6.wav,4,717,0,0,0,0,
0,bda7.wav,4,854,0,0,0,0,
1,bda8.wav,4,672,0,0,0,0,
5,bda9.wav,4,931,0,0,0,0,
7,bda2.wav,1,1156,0,0,0,0,
3,bda3.wav,1,1072,0,0,0,0,
1,bda4.wav,1,990,0,0,0,0,
0,bda5.wav,1,1083,0,0,0,0,
6,bda6.wav,4,661,0,0,0,0,
5,bda7.wav,4,886,0,0,0,0,
2,bda8.wav,4,942,0,0,0,0,
4,bda9.wav,4,851,0,0,0,0,
2,bda2.wav,1,754,0,0,0,0,
0,bda3.wav,4,1028,0,0,0,0,
5,bda4.wav,1,880,0,0,0,0,
6,bda5.wav,4,741,0,0,0,0,
4,bda6.wav,4,734,0,0,0,0,
7,bda7.wav,4,1056,0,0,0,0,
3,bda8.wav,4,990,0,0,0,0,
1,bda9.wav,4,911,0,0,0,0,
1,bda2.wav,1,998,0,0,0,0,
0,bda3.wav,1,662,0,0,0,0,
7,bda4.wav,1,795,0,0,0,0,
2,bda5.wav,1,744,0,0,0,0,
5,bda6.wav,4,1082,0,0,0,0,
3,bda7.wav,4,891,0,0,0,0,
6,bda8.wav,4,721,0,0,0,0,
4,bda9.wav,4,700,0,0,0,0,
0,bda2.wav,1,575,0,0,0,0,
2,bda3.wav,1,508,0,0,0,0,
1,bda4.wav,1,488,0,0,0,0,
3,bda5.wav,4,816,0,0,0,0,
7,bda6.wav,4,901,0,0,0,0,
5,bda7.wav,4,686,0,0,0,0,
6,bda8.wav,4,906,0,0,0,0,
4,bda9.wav,4,574,0,0,0,0,
1,bda2.wav,1,683,0,0,0,0,
4,bda3.wav,1,571,0,0,0,0,
0,bda4.wav,1,491,0,0,0,0,
6,bda5.wav,4,291,0,0,0,0,
2,bda6.wav,4,817,0,0,0,0,
3,bda7.wav,4,605,0,0,0,0,
7,bda8.wav,4,352,0,0,0,0,
5,bda9.wav,1,543,0,0,0,0,
3,bda2.wav,1,634,0,0,0,0,
1,bda3.wav,1,747,0,0,0,0,
4,bda4.wav,1,980,0,0,0,0,
7,bda5.wav,4,493,0,0,0,0,
5,bda6.wav,4,452,0,0,0,0,
0,bda7.wav,4,771,0,0,0,0,
2,bda8.wav,4,624,0,0,0,0,
6,bda9.wav,4,527,0,0,0,0,
1,bda2.wav,1,763,0,0,0,0,
7,bda3.wav,1,910,0,0,0,0,
0,bda4.wav,1,608,0,0,0,0,
4,bda5.wav,4,483,0,0,0,0,
6,bda6.wav,4,404,0,0,0,0,
2,bda7.wav,4,683,0,0,0,0,
3,bda8.wav,4,926,0,0,0,0,
5,bda9.wav,4,238,0,0,0,0,
5,bda2.wav,1,621,0,0,0,0,
7,bda3.wav,1,619,0,0,0,0,
1,bda4.wav,1,1078,0,0,0,0,
3,bda5.wav,4,735,0,0,0,0,
2,bda6.wav,4,453,0,0,0,0,
0,bda7.wav,4,748,0,0,0,0,
6,bda8.wav,4,427,0,0,0,0,
4,bda9.wav,4,742,0,0,0,0,
7,bda2.wav,1,617,0,0,0,0,
5,bda3.wav,1,439,0,0,0,0,
4,bda4.wav,1,547,0,0,0,0,
2,bda5.wav,4,776,0,0,0,0,
6,bda6.wav,4,905,0,0,0,0,
3,bda7.wav,4,833,0,0,0,0,
1,bda8.wav,4,618,0,0,0,0,
0,bda9.wav,4,617,0,0,0,0,
3,bda2.wav,1,522,0,0,0,0,
1,bda3.wav,1,665,0,0,0,0,
7,bda4.wav,1,613,0,0,0,0,
4,bda5.wav,1,807,0,0,0,0,
2,bda6.wav,4,456,0,0,0,0,
5,bda7.wav,4,819,0,0,0,0,
6,bda8.wav,4,936,0,0,0,0,
0,bda9.wav,4,403,0,0,0,0,
