:DF:ID:,Comment,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\Head_IDDF.csv,Header
500,ITI,3000,MaximumWait
8,Number Of Trials,18,NumberOfPasses,1,NumberOfBlocks
B,Left Button Label,D,Right Button Label
Played at Trial,AudioWaveFile1,EMOR,RT,,RT,RWON,RT,
6,bda2.wav,1,643,0,0,1,1268,
0,bda3.wav,1,444,0,0,1,1087,
1,bda4.wav,1,322,0,0,1,1072,
2,bda5.wav,1,876,0,0,1,958,
7,bda6.wav,1,955,0,0,1,905,
3,bda7.wav,1,977,0,0,1,950,
4,bda8.wav,4,1112,0,0,4,2436,
5,bda9.wav,4,418,0,0,4,652,
0,bda2.wav,1,609,0,0,1,758,
2,bda3.wav,1,558,0,0,1,545,
5,bda4.wav,1,454,0,0,1,649,
7,bda5.wav,1,825,0,0,1,610,
6,bda6.wav,4,486,0,0,4,677,
4,bda7.wav,4,637,0,0,4,577,
1,bda8.wav,4,367,0,0,4,541,
3,bda9.wav,4,437,0,0,4,542,
7,bda2.wav,1,390,0,0,1,645,
6,bda3.wav,1,286,0,0,1,572,
4,bda4.wav,1,459,0,0,1,659,
5,bda5.wav,4,748,0,0,1,992,
3,bda6.wav,4,664,0,0,1,1042,
0,bda7.wav,4,700,0,0,4,748,
2,bda8.wav,4,560,0,0,4,613,
1,bda9.wav,4,404,0,0,4,463,
6,bda2.wav,1,494,0,0,1,595,
5,bda3.wav,1,396,0,0,1,611,
2,bda4.wav,1,514,0,0,1,577,
7,bda5.wav,1,559,0,0,1,576,
1,bda6.wav,4,268,0,0,1,609,
0,bda7.wav,4,491,0,0,4,836,
3,bda8.wav,4,500,0,0,4,399,
4,bda9.wav,4,668,0,0,4,508,
1,bda2.wav,1,1085,0,0,1,601,
3,bda3.wav,1,508,0,0,1,509,
5,bda4.wav,1,729,0,0,1,724,
7,bda5.wav,1,566,0,0,4,708,
4,bda6.wav,1,973,0,0,4,529,
0,bda7.wav,4,458,0,0,4,523,
6,bda8.wav,4,557,0,0,4,471,
2,bda9.wav,1,567,0,0,4,407,
3,bda2.wav,1,578,0,0,1,482,
5,bda3.wav,1,672,0,0,1,505,
4,bda4.wav,1,485,0,0,1,523,
1,bda5.wav,1,1278,0,0,1,562,
0,bda6.wav,4,927,0,0,4,541,
6,bda7.wav,4,470,0,0,4,413,
2,bda8.wav,4,484,0,0,4,450,
7,bda9.wav,4,403,0,0,4,400,
6,bda2.wav,1,448,0,0,1,474,
4,bda3.wav,1,599,0,0,1,510,
0,bda4.wav,1,372,0,0,1,551,
3,bda5.wav,4,808,0,0,1,704,
1,bda6.wav,4,801,0,0,1,666,
5,bda7.wav,4,580,0,0,4,382,
7,bda8.wav,4,776,0,0,4,434,
2,bda9.wav,4,686,0,0,4,519,
2,bda2.wav,1,461,0,0,1,695,
5,bda3.wav,1,569,0,0,1,570,
0,bda4.wav,1,485,0,0,1,543,
3,bda5.wav,4,299,0,0,1,560,
6,bda6.wav,4,1395,0,0,4,520,
4,bda7.wav,4,527,0,0,4,519,
1,bda8.wav,4,841,0,0,4,489,
7,bda9.wav,4,691,0,0,4,366,
3,bda2.wav,1,791,0,0,1,588,
0,bda3.wav,1,697,0,0,1,475,
5,bda4.wav,1,609,0,0,1,624,
2,bda5.wav,1,874,0,0,4,1279,
1,bda6.wav,4,686,0,0,4,573,
7,bda7.wav,4,564,0,0,4,609,
4,bda8.wav,4,410,0,0,4,506,
6,bda9.wav,4,491,0,0,4,547,
3,bda2.wav,1,331,0,0,1,640,
7,bda3.wav,1,500,0,0,1,646,
2,bda4.wav,1,923,0,0,1,573,
1,bda5.wav,4,618,0,0,4,505,
4,bda6.wav,4,808,0,0,4,790,
5,bda7.wav,4,502,0,0,4,449,
0,bda8.wav,4,508,0,0,4,477,
6,bda9.wav,4,525,0,0,4,510,
5,bda2.wav,1,521,0,0,1,512,
7,bda3.wav,1,551,0,0,1,525,
4,bda4.wav,1,535,0,0,1,556,
6,bda5.wav,4,491,0,0,1,1283,
2,bda6.wav,4,355,0,0,4,653,
3,bda7.wav,4,557,0,0,4,477,
0,bda8.wav,4,317,0,0,4,575,
1,bda9.wav,4,461,0,0,4,487,
5,bda2.wav,1,587,0,0,1,506,
6,bda3.wav,1,554,0,0,1,538,
4,bda4.wav,1,711,0,0,1,504,
7,bda5.wav,4,251,0,0,1,628,
3,bda6.wav,1,276,0,0,1,786,
2,bda7.wav,4,338,0,0,4,450,
1,bda8.wav,4,414,0,0,4,516,
0,bda9.wav,4,71,0,0,4,469,
2,bda2.wav,1,594,0,0,1,494,
4,bda3.wav,1,599,0,0,1,486,
5,bda4.wav,1,571,0,0,1,466,
6,bda5.wav,4,931,0,0,4,620,
3,bda6.wav,1,660,0,0,4,468,
7,bda7.wav,4,1009,0,0,4,444,
1,bda8.wav,4,995,0,0,4,463,
0,bda9.wav,4,590,0,0,4,587,
5,bda2.wav,1,762,0,0,1,412,
3,bda3.wav,1,777,0,0,1,577,
7,bda4.wav,1,729,0,0,1,484,
4,bda5.wav,4,884,0,0,1,704,
6,bda6.wav,1,1281,0,0,1,796,
1,bda7.wav,4,568,0,0,4,472,
0,bda8.wav,4,622,0,0,4,400,
2,bda9.wav,4,704,0,0,4,466,
7,bda2.wav,1,665,0,0,1,520,
4,bda3.wav,1,858,0,0,1,555,
2,bda4.wav,1,782,0,0,1,473,
5,bda5.wav,1,1046,0,0,1,648,
0,bda6.wav,1,1707,0,0,4,1004,
1,bda7.wav,4,678,0,0,4,517,
3,bda8.wav,4,563,0,0,4,334,
6,bda9.wav,4,400,0,0,4,525,
6,bda2.wav,1,453,0,0,1,530,
0,bda3.wav,1,726,0,0,1,585,
2,bda4.wav,1,684,0,0,1,519,
4,bda5.wav,1,1478,0,0,4,497,
3,bda6.wav,4,503,0,0,4,483,
7,bda7.wav,4,849,0,0,4,465,
5,bda8.wav,4,954,0,0,4,322,
1,bda9.wav,4,565,0,0,4,477,
5,bda2.wav,1,619,0,0,1,606,
7,bda3.wav,1,1089,0,0,1,502,
2,bda4.wav,1,440,0,0,1,514,
3,bda5.wav,4,789,0,0,1,492,
1,bda6.wav,1,1411,0,0,4,489,
4,bda7.wav,4,640,0,0,4,465,
6,bda8.wav,4,507,0,0,4,472,
