:DF:ID:,Comment,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\Head_IDDF.csv,Header
500,ITI,3000,MaximumWait
8,Number Of Trials,18,NumberOfPasses,1,NumberOfBlocks
B,Left Button Label,D,Right Button Label
Played at Trial,AudioWaveFile1,,RT,,RT,BPAR,RT,
0,bda2.wav,0,0,0,0,1,1683,
4,bda3.wav,0,0,0,0,1,1012,
6,bda4.wav,0,0,0,0,1,653,
1,bda5.wav,0,0,0,0,1,702,
7,bda6.wav,0,0,0,0,1,998,
3,bda7.wav,0,0,0,0,1,708,
5,bda8.wav,0,0,0,0,1,1217,
2,bda9.wav,0,0,0,0,4,693,
1,bda2.wav,0,0,0,0,1,652,
2,bda3.wav,0,0,0,0,1,1210,
7,bda4.wav,0,0,0,0,1,1605,
0,bda5.wav,0,0,0,0,1,673,
5,bda6.wav,0,0,0,0,4,731,
3,bda7.wav,0,0,0,0,4,757,
4,bda8.wav,0,0,0,0,4,698,
6,bda9.wav,0,0,0,0,4,702,
0,bda2.wav,0,0,0,0,1,698,
6,bda3.wav,0,0,0,0,1,671,
3,bda4.wav,0,0,0,0,1,555,
1,bda5.wav,0,0,0,0,1,629,
2,bda6.wav,0,0,0,0,1,992,
4,bda7.wav,0,0,0,0,4,1185,
7,bda8.wav,0,0,0,0,4,662,
5,bda9.wav,0,0,0,0,4,575,
6,bda2.wav,0,0,0,0,1,679,
2,bda3.wav,0,0,0,0,1,986,
4,bda4.wav,0,0,0,0,1,594,
7,bda5.wav,0,0,0,0,1,835,
3,bda6.wav,0,0,0,0,1,689,
0,bda7.wav,0,0,0,0,1,1046,
5,bda8.wav,0,0,0,0,4,735,
1,bda9.wav,0,0,0,0,4,827,
0,bda2.wav,0,0,0,0,1,1027,
2,bda3.wav,0,0,0,0,1,990,
3,bda4.wav,0,0,0,0,1,1147,
5,bda5.wav,0,0,0,0,1,1577,
4,bda6.wav,0,0,0,0,1,751,
1,bda7.wav,0,0,0,0,4,1876,
7,bda8.wav,0,0,0,0,4,1014,
6,bda9.wav,0,0,0,0,4,955,
2,bda2.wav,0,0,0,0,1,619,
1,bda3.wav,0,0,0,0,1,897,
5,bda4.wav,0,0,0,0,1,860,
0,bda5.wav,0,0,0,0,4,1714,
3,bda6.wav,0,0,0,0,1,735,
7,bda7.wav,0,0,0,0,1,824,
6,bda8.wav,0,0,0,0,4,1089,
4,bda9.wav,0,0,0,0,4,1608,
3,bda2.wav,0,0,0,0,1,511,
6,bda3.wav,0,0,0,0,1,757,
5,bda4.wav,0,0,0,0,1,816,
1,bda5.wav,0,0,0,0,1,1494,
2,bda6.wav,0,0,0,0,1,500,
7,bda7.wav,0,0,0,0,4,1472,
0,bda8.wav,0,0,0,0,1,1485,
4,bda9.wav,0,0,0,0,4,667,
2,bda2.wav,0,0,0,0,1,626,
5,bda3.wav,0,0,0,0,1,742,
1,bda4.wav,0,0,0,0,1,384,
7,bda5.wav,0,0,0,0,1,618,
0,bda6.wav,0,0,0,0,1,634,
3,bda7.wav,0,0,0,0,1,633,
6,bda8.wav,0,0,0,0,1,618,
4,bda9.wav,0,0,0,0,4,627,
2,bda2.wav,0,0,0,0,1,655,
3,bda3.wav,0,0,0,0,1,649,
6,bda4.wav,0,0,0,0,1,635,
7,bda5.wav,0,0,0,0,1,624,
1,bda6.wav,0,0,0,0,1,677,
0,bda7.wav,0,0,0,0,4,931,
5,bda8.wav,0,0,0,0,1,878,
4,bda9.wav,0,0,0,0,4,532,
6,bda2.wav,0,0,0,0,1,567,
2,bda3.wav,0,0,0,0,1,659,
3,bda4.wav,0,0,0,0,1,693,
1,bda5.wav,0,0,0,0,4,1256,
0,bda6.wav,0,0,0,0,1,840,
5,bda7.wav,0,0,0,0,4,1243,
4,bda8.wav,0,0,0,0,4,1757,
7,bda9.wav,0,0,0,0,4,1081,
6,bda2.wav,0,0,0,0,1,615,
7,bda3.wav,0,0,0,0,1,622,
5,bda4.wav,0,0,0,0,1,586,
1,bda5.wav,0,0,0,0,1,655,
2,bda6.wav,0,0,0,0,4,1421,
0,bda7.wav,0,0,0,0,1,725,
4,bda8.wav,0,0,0,0,4,1593,
3,bda9.wav,0,0,0,0,4,791,
5,bda2.wav,0,0,0,0,1,818,
3,bda3.wav,0,0,0,0,1,664,
1,bda4.wav,0,0,0,0,1,578,
4,bda5.wav,0,0,0,0,1,650,
0,bda6.wav,0,0,0,0,1,960,
6,bda7.wav,0,0,0,0,1,705,
7,bda8.wav,0,0,0,0,4,482,
2,bda9.wav,0,0,0,0,4,521,
0,bda2.wav,0,0,0,0,1,565,
1,bda3.wav,0,0,0,0,1,874,
6,bda4.wav,0,0,0,0,1,477,
5,bda5.wav,0,0,0,0,1,448,
2,bda6.wav,0,0,0,0,1,528,
7,bda7.wav,0,0,0,0,1,524,
4,bda8.wav,0,0,0,0,4,568,
3,bda9.wav,0,0,0,0,4,491,
0,bda2.wav,0,0,0,0,1,509,
2,bda3.wav,0,0,0,0,1,969,
7,bda4.wav,0,0,0,0,1,1162,
1,bda5.wav,0,0,0,0,1,1047,
5,bda6.wav,0,0,0,0,1,906,
4,bda7.wav,0,0,0,0,1,854,
3,bda8.wav,0,0,0,0,4,680,
6,bda9.wav,0,0,0,0,4,642,
6,bda2.wav,0,0,0,0,1,745,
1,bda3.wav,0,0,0,0,1,644,
3,bda4.wav,0,0,0,0,1,603,
2,bda5.wav,0,0,0,0,1,620,
5,bda6.wav,0,0,0,0,1,1053,
7,bda7.wav,0,0,0,0,4,1138,
0,bda8.wav,0,0,0,0,4,991,
4,bda9.wav,0,0,0,0,4,679,
1,bda2.wav,0,0,0,0,1,640,
7,bda3.wav,0,0,0,0,1,1134,
6,bda4.wav,0,0,0,0,1,597,
4,bda5.wav,0,0,0,0,1,690,
2,bda6.wav,0,0,0,0,1,630,
0,bda7.wav,0,0,0,0,4,1172,
3,bda8.wav,0,0,0,0,4,653,
