:DF:ID:,Comment,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\Head_IDDF.csv,Header
500,ITI,3000,MaximumWait
8,Number Of Trials,18,NumberOfPasses,1,NumberOfBlocks
B,Left Button Label,D,Right Button Label
Played at Trial,AudioWaveFile1,,RT,,RT,ECUN,RT,
1,bda2.wav,0,0,0,0,1,580,
4,bda3.wav,0,0,0,0,1,1248,
5,bda4.wav,0,0,0,0,4,547,
3,bda5.wav,0,0,0,0,4,693,
6,bda6.wav,0,0,0,0,4,775,
0,bda7.wav,0,0,0,0,4,715,
2,bda8.wav,0,0,0,0,4,627,
7,bda9.wav,0,0,0,0,4,1174,
6,bda2.wav,0,0,0,0,1,513,
5,bda3.wav,0,0,0,0,1,549,
3,bda4.wav,0,0,0,0,1,727,
1,bda5.wav,0,0,0,0,4,502,
4,bda6.wav,0,0,0,0,4,415,
7,bda7.wav,0,0,0,0,4,507,
0,bda8.wav,0,0,0,0,4,600,
2,bda9.wav,0,0,0,0,4,458,
7,bda2.wav,0,0,0,0,1,379,
1,bda3.wav,0,0,0,0,1,518,
4,bda4.wav,0,0,0,0,1,487,
0,bda5.wav,0,0,0,0,4,493,
6,bda6.wav,0,0,0,0,4,469,
5,bda7.wav,0,0,0,0,4,470,
3,bda8.wav,0,0,0,0,4,335,
2,bda9.wav,0,0,0,0,4,448,
3,bda2.wav,0,0,0,0,1,511,
0,bda3.wav,0,0,0,0,1,603,
1,bda4.wav,0,0,0,0,1,652,
5,bda5.wav,0,0,0,0,4,412,
6,bda6.wav,0,0,0,0,4,420,
2,bda7.wav,0,0,0,0,4,522,
4,bda8.wav,0,0,0,0,1,764,
7,bda9.wav,0,0,0,0,4,403,
1,bda2.wav,0,0,0,0,1,556,
6,bda3.wav,0,0,0,0,1,462,
4,bda4.wav,0,0,0,0,1,524,
3,bda5.wav,0,0,0,0,4,690,
7,bda6.wav,0,0,0,0,1,684,
0,bda7.wav,0,0,0,0,4,431,
5,bda8.wav,0,0,0,0,4,447,
2,bda9.wav,0,0,0,0,4,496,
7,bda2.wav,0,0,0,0,1,470,
1,bda3.wav,0,0,0,0,1,620,
4,bda4.wav,0,0,0,0,1,644,
2,bda5.wav,0,0,0,0,1,435,
5,bda6.wav,0,0,0,0,4,475,
0,bda7.wav,0,0,0,0,4,525,
6,bda8.wav,0,0,0,0,4,440,
3,bda9.wav,0,0,0,0,4,302,
7,bda2.wav,0,0,0,0,1,614,
6,bda3.wav,0,0,0,0,1,518,
1,bda4.wav,0,0,0,0,1,761,
4,bda5.wav,0,0,0,0,4,1187,
3,bda6.wav,0,0,0,0,4,384,
5,bda7.wav,0,0,0,0,4,530,
0,bda8.wav,0,0,0,0,4,718,
2,bda9.wav,0,0,0,0,4,400,
5,bda2.wav,0,0,0,0,1,531,
0,bda3.wav,0,0,0,0,1,402,
2,bda4.wav,0,0,0,0,1,491,
4,bda5.wav,0,0,0,0,1,841,
3,bda6.wav,0,0,0,0,4,417,
6,bda7.wav,0,0,0,0,4,353,
7,bda8.wav,0,0,0,0,4,814,
1,bda9.wav,0,0,0,0,4,456,
7,bda2.wav,0,0,0,0,1,637,
4,bda3.wav,0,0,0,0,1,577,
1,bda4.wav,0,0,0,0,1,875,
2,bda5.wav,0,0,0,0,4,543,
5,bda6.wav,0,0,0,0,4,342,
6,bda7.wav,0,0,0,0,4,407,
0,bda8.wav,0,0,0,0,4,870,
3,bda9.wav,0,0,0,0,4,418,
1,bda2.wav,0,0,0,0,1,539,
6,bda3.wav,0,0,0,0,1,685,
2,bda4.wav,0,0,0,0,1,722,
3,bda5.wav,0,0,0,0,4,722,
7,bda6.wav,0,0,0,0,4,517,
0,bda7.wav,0,0,0,0,4,448,
4,bda8.wav,0,0,0,0,4,871,
5,bda9.wav,0,0,0,0,4,629,
1,bda2.wav,0,0,0,0,1,502,
3,bda3.wav,0,0,0,0,1,442,
6,bda4.wav,0,0,0,0,1,973,
5,bda5.wav,0,0,0,0,4,1015,
0,bda6.wav,0,0,0,0,4,606,
2,bda7.wav,0,0,0,0,4,759,
7,bda8.wav,0,0,0,0,4,690,
4,bda9.wav,0,0,0,0,4,494,
1,bda2.wav,0,0,0,0,1,1250,
6,bda3.wav,0,0,0,0,1,498,
2,bda4.wav,0,0,0,0,1,457,
0,bda5.wav,0,0,0,0,4,930,
4,bda6.wav,0,0,0,0,4,444,
3,bda7.wav,0,0,0,0,4,509,
7,bda8.wav,0,0,0,0,4,430,
5,bda9.wav,0,0,0,0,4,903,
4,bda2.wav,0,0,0,0,1,460,
6,bda3.wav,0,0,0,0,1,472,
0,bda4.wav,0,0,0,0,1,580,
3,bda5.wav,0,0,0,0,4,461,
2,bda6.wav,0,0,0,0,4,413,
5,bda7.wav,0,0,0,0,4,429,
7,bda8.wav,0,0,0,0,4,534,
1,bda9.wav,0,0,0,0,4,726,
6,bda2.wav,0,0,0,0,1,560,
7,bda3.wav,0,0,0,0,1,439,
2,bda4.wav,0,0,0,0,1,459,
5,bda5.wav,0,0,0,0,4,555,
3,bda6.wav,0,0,0,0,4,337,
0,bda7.wav,0,0,0,0,4,486,
4,bda8.wav,0,0,0,0,4,794,
1,bda9.wav,0,0,0,0,4,574,
2,bda2.wav,0,0,0,0,1,438,
4,bda3.wav,0,0,0,0,1,501,
3,bda4.wav,0,0,0,0,1,787,
6,bda5.wav,0,0,0,0,1,1240,
0,bda6.wav,0,0,0,0,4,599,
1,bda7.wav,0,0,0,0,4,362,
7,bda8.wav,0,0,0,0,4,374,
5,bda9.wav,0,0,0,0,4,460,
1,bda2.wav,0,0,0,0,1,607,
6,bda3.wav,0,0,0,0,1,547,
2,bda4.wav,0,0,0,0,1,434,
7,bda5.wav,0,0,0,0,4,483,
4,bda6.wav,0,0,0,0,1,720,
5,bda7.wav,0,0,0,0,1,716,
3,bda8.wav,0,0,0,0,4,509,
0,bda9.wav,0,0,0,0,4,400,
3,bda2.wav,0,0,0,0,1,547,
1,bda3.wav,0,0,0,0,1,491,
7,bda4.wav,0,0,0,0,1,629,
5,bda5.wav,0,0,0,0,4,449,
0,bda6.wav,0,0,0,0,4,597,
2,bda7.wav,0,0,0,0,4,931,
6,bda8.wav,0,0,0,0,4,493,
4,bda9.wav,0,0,0,0,4,530,
7,bda2.wav,0,0,0,0,1,531,
1,bda3.wav,0,0,0,0,1,565,
6,bda4.wav,0,0,0,0,1,707,
4,bda5.wav,0,0,0,0,4,558,
3,bda6.wav,0,0,0,0,4,824,
0,bda7.wav,0,0,0,0,4,561,
5,bda8.wav,0,0,0,0,4,717,
2,bda9.wav,0,0,0,0,4,491,
